sentiment_scores	genuineness_scores	summary
0.99634373	0.8322269	excellent
0.99277973	0.7568993	lumia 521 user impressions
0.09743208	0.47851807	phone is slow
0.9943509	0.78143907	big smartphone 
0.08395314	0.7310485	not as expected
0.024545759	0.65530396	its a temporary phone
0.037679017	0.6837199	item not working
0.9918190999999998	0.8955546999999998	unlocked smartphone for half the price
0.9928879	0.75155413	amazing experience
0.042004287	0.7087332	is it me 
0.56131536	0.55453926	not so great
0.9997370000000001	0.83060944	lumia 520
0.02457413	0.6640315999999999	this is not an unlocked phone at t scam
0.9411792999999999	0.46474227	digitel venezuela
0.9613571	0.7862624	nokia lumia 520 unlocked
0.65870917	0.51183754	itsssssss okaaaaaaay
0.2220419	0.2889217	turn off buy their own
0.9961194	0.79020226	good
0.99668586	0.7075411	great phone
0.9205899	0.69895077	very happy
0.8684552	0.6431699000000001	excellent product 
0.9988267	0.8505398999999999	best you can get for the price and battery lasts a lot nokia 
0.38075507	0.6911081	ordered 2 and they seem pretty good
0.044184625	0.5507524	phone came with the round prong european charger instead of flat american ones 
0.99887425	0.80959994	great phone for the price
0.8962258	0.63143384	great value
0.9936556999999999	0.6945256	delivery took a very long time to arrive otherwise everything else was perfect using usps was not a great move 
0.9952398000000001	0.7172826999999999	nice phone
0.9964284999999999	0.83215547	nice phone nice price
0.98446417	0.8594069999999999	worked great
0.9964284999999999	0.83215547	really really nice phone
0.9719268	0.7593853	who says nokia does not exist
0.42439663	0.5925969	good windows phone
0.055453688	0.5780339	doesn t work
0.8747018	0.743402	simple and easy to use
0.9843011	0.76861924	really good cellphone
0.99389064	0.82194525	it s a cell phone but it better then a cell phone 
0.016536504	0.5634655	not satisfied
0.88031936	0.5999081	very good phone
0.5726106	0.15542194	empty content
0.023392767000000002	0.46256949999999997	dissapointed with this product
0.9708688	0.7445085	timely
0.8226098	0.7046023	good unlocked smart phone for a reasonable price please read for useful tips you need to know 
0.019207567	0.4290561	this phone is aweful
0.98619246	0.8571763000000001	the nokia lumia 520 is the best phone in this price range
0.9470245999999999	0.6782374	perfect for travelers
0.9754503000000001	0.8664163	great for travel
0.846102	0.610057	ni phone
0.07885310000000001	0.5874619000000001	not truly unlocked
0.0061909854000000005	0.50005746	disappointed
0.97428036	0.7140875	excellent phone very cheap and comes fully unlocked
0.019747257	0.46071179999999995	terrible frauds stay away 
0.904648	0.76871216	replaces more expensive samsung galaxy iiis
0.38084325	0.63962126	i was like duh 
0.97053087	0.5894435	me ha funcionado excelente en vzla me agarra hasta 4g 
0.99543244	0.87228775	excellent battery nice size fun phone
0.99757695	0.7486781	works nice and good price
0.84793174	0.5243824	needs a better camera 
0.028670937	0.5405953	totally useless 
0.081475735	0.6532224	it s not unlocked 
0.68614906	0.702128	not all there 
0.68193066	0.65197086	good
0.98242104	0.751209	seller and phone meet expectations
0.022564381	0.6880394000000001	the phone that i got is locked 
0.5308833000000001	0.5620622	great features
0.009967953	0.36613983	worthless
0.50643814	0.5260326	it worth
0.7986260000000001	0.7996732	awesome but 
0.2112594	0.48521325	bad deal
0.13862687	0.6363194000000001	horrible 
0.9915838	0.6410528	great product
0.9953028	0.7528994999999999	awesome 
0.94767165	0.83130443	have one but go phone version
0.61786395	0.54249424	one star
0.8265035	0.82301253	nokia lumia 520 rm 915 unlocked excellent phone 
0.909331	0.7562721	great phone
0.03769377	0.33335266	dont purchase
0.9995794	0.88763905	does what is says on the tin 
0.64144754	0.7475537	ok for the price
0.38010259999999996	0.39716166	not the perfect cellphone
0.999624	0.8028499	love this seller
0.36270925	0.5519179	nice phone missing the camera flash though
0.034447162999999996	0.5126739	nnot as described
0.84485173	0.854259	nokia lumia 520 8gb factory unlocked wp8
0.9907738000000001	0.8167869000000001	it is unlocked 
0.9898094999999999	0.9348936999999999	price performance sd card a terrific value 
0.9690448	0.72789526	this phone has been a true pleasure to own
0.73385346	0.7816436	great budget phone
0.9726565999999999	0.78030705	functions and price to quality ratio great
0.6735399000000001	0.80203295	wp8 on the cheap 
0.9973598	0.79149425	great product
0.14187762	0.73560804	good phone for the price plenty of power but terrible camera 
0.99602115	0.7532978	perfect smartphone 
0.9620074000000001	0.7344036999999999	nokia lumia 520
0.2083033	0.31601384	one star
0.49525526	0.7060236999999999	very happy with this phone which i use both in the usa uk on different networks 
0.01730296	0.4009031	its not a new one and a rusty
0.9956825999999999	0.8227919	everything as advertised
0.35143858	0.5659416	excellent considering the price
0.9679491	0.60490197	excellent phone but no headphones
0.97333884	0.82518625	top budget smartphone
0.99254745	0.81338906	unlocked phone italian 
0.9801719000000001	0.60339606	amazinggg 
0.36115968	0.5448135000000001	missing basic apps 
0.008265078	0.56863385	locked phone
0.97713685	0.8734877000000001	i love it address calendar are automatically synced with 
0.12298539	0.46414435	unlocked phone
0.008973688	0.66151994	the phone i received was not unlocked but was in fact locked
0.75800574	0.6813184	if you just need a phone
0.83728707	0.6849649	bought this for international travel
0.91844845	0.65569234	good phone for basic usage
0.017957926000000003	0.5499151999999999	not unlocked
0.0243918	0.5376184	keeps stuck in resuming daily
0.7787202	0.31223541	good
0.38057864	0.5206857	battery life is poor
0.6645698	0.43956554	three stars
0.7892456	0.7823214	works in the usa
0.35373873	0.5306339	playing russian roulette with your money update got the phone fixed
0.4264568	0.6632222	item delivered on time and was unlocked
0.0031486153999999997	0.42382538	stay away from this 
0.98986065	0.7091798	great phone
0.9858425999999999	0.57059723	great product
0.9990224	0.8583241	nokia lumia 520 windows phone intuitve fast fun
0.24755508	0.7013286	fantastic phone
