sentiment_scores	genuineness_scores	summary
0.32342657	0.48243168	good sound but doesn t connect
0.39239275	0.6307353	come on bluetooth it s the 21st century please just work 
0.97151387	0.81950104	very good especially for the price 
0.9991975000000001	0.90029085	best bluetooth headphones 
0.122124046	0.6814174	great sound but not for a gym 
0.23582041	0.5933105	if you lead an active lifestyle these are not for you 
0.9748044	0.88561726	the best bt headset you can get under 100 
0.31104153	0.43782166	not for ipad air
0.9661248	0.7827879	great headsets stylish and performant 
0.9898790000000001	0.63308954	nice headphones
0.21276689	0.615904	just ok
0.32909834	0.5047384	wow
0.9150207	0.7811735	better than what i expected
0.009906799	0.62301385	cheap tinny sound for such a mid range price
0.045074344	0.65909356	a blow out waiting to happen 
0.23705107	0.6266552	a bad fit for me
0.36427355	0.49233454	disappointed cheaply made and poor sound quality
0.05017689	0.6612574999999999	won t stop charging won t turn on bluetooth sound isn t very remarkable
0.6109933000000001	0.7547819	airfi bluetooth stereo headphones with microphone
0.89689684	0.8111856	awesome just awesome 
0.96456015	0.9084065999999998	best value pair of headphones 
0.8817813	0.78132486	overall a good product to consider good sound good noise cancelling not too much leakage but not the most comfortable
0.9983703000000002	0.7403444	great headphones
0.44498432	0.59282434	girly but decent
0.99946094	0.84130585	great set of headphones
0.061710954000000005	0.32698435	not as expected
0.0675925	0.28749835	as far as i can tell this is totally useless
0.51688164	0.63923705	lightweight indeed
0.04424146	0.70105594	caution mic interups headphones 
0.60286134	0.7481475999999999	sound artifacts via bluetooth 
0.61372596	0.6803505999999999	for the price hard to get better 
0.63056076	0.5064423	good sounding headphones
0.99379027	0.8115642	great headphones for the price
0.12952337	0.6826511	couldn t get the mic to work with pc
0.92607486	0.77069473	awesome headphones 
0.015240341000000001	0.5983951999999999	couldn t perform reliably 
0.41552898	0.6381897	nice starter investment
0.6378236999999999	0.7504374	handy but 
0.41629449999999996	0.70733994	way better than they should be at this price point 
0.17418817	0.45508420000000005	they re great when they work 
0.16826227	0.7062984999999999	didn t work with the kindle fire hd 8 9
0.25912616	0.6647294	sound controls yes usability no
0.95107156	0.84853905	like these for my uses but don t think they would be good for athletics
0.932309	0.81237626	great product
0.9093111999999999	0.75998855	mee electronics air fi af32 bluetooth head set
0.18599951	0.59636503	decent quality
0.23182437	0.7765869000000001	bad purchase will not recharge and no indicator lights
0.8566531	0.8409812	these sound great and hold a charge pretty good
0.5519012	0.69494075	proprietary charging cable
0.9980478000000002	0.7992686999999999	best headphones purchase yet
0.5751826999999999	0.70025885	wont sync after 2 months
0.433746	0.63307804	exceeded my expectations
0.9993032	0.8535473	excellent value
0.8454421999999999	0.88751066	audiophile looking for a bluetooth headset buy this 
0.81656635	0.83208746	not beats audio quality but perfect for the price
0.9770191999999999	0.73035854	great blue tooth headphones
0.99011004	0.7579638000000001	great bluetooth headphones
0.8579068000000001	0.87292856	rarely does a company support their products so well 
0.11107739999999999	0.6305393	disappointing
0.15577221	0.5046695999999999	poor sound quality
0.88810873	0.77810943	solid headphones for a 5th the price
0.58929896	0.7593013000000001	should ve went for the skull candy
0.24225491	0.49906012	choppy audio
0.02375999	0.50924027	not impressed
0.8222915999999999	0.64265376	small in size but totally worth it 
0.87433374	0.80266666	fine headphones
0.0012871027	0.34339840000000005	did not work 
0.5527236	0.73250985	broken
0.28316873	0.68486667	good product 
0.09248766	0.5958985	not great when exercising
0.99505544	0.79348254	she loves it 
0.41781726	0.74425715	great product and company really stands behind its product
0.9833566999999999	0.8583821	great headphones
0.1171056	0.69971275	charging fail
0.8615289	0.77445304	four months of use and no problems
0.96523786	0.7226441	love these headphones
0.99409705	0.8324024999999999	wow beyond my expectations 
0.35968623	0.6656384	amazon return policy is great 
