sentiment_scores	genuineness_scores	summary
0.7401154000000001	0.835807	does it s job sturdily
0.26432568	0.5349993000000001	car holder for iphone
0.95732856	0.82449436	pretty darn cool
0.94861054	0.82203174	works great
0.9196571	0.74872226	works exactly as expected 
0.99712753	0.8270320999999999	great product
0.94507587	0.678305	love it 
0.9864470999999999	0.78866863	great car mount for the latest smartphones
0.9907905	0.7806655	great product 
0.2693055	0.8276478	if using with large phone samsung galaxy note 3 read
0.99830127	0.81745607	product delivers as advertised
0.9924430000000001	0.7984772	perfect for my mini cooper
0.9367206	0.7324995	a better mounting location
0.07097998	0.52431446	oops 
0.100759715	0.62845033	disappointed
0.9971789000000001	0.74678457	works perfectly 
0.93008846	0.8116076	very good product
0.13769385	0.66224223	spring broke
0.6252433000000001	0.7876268	not accurate description
0.9994933000000001	0.88278735	great car dock for htc one
0.6487497	0.8537539000000001	great idea 
0.06455544	0.5192978	phone holder
0.78141665	0.76049733	great product
0.9875048000000001	0.8578795	works great
0.99640757	0.89397717	perfect for google nexus 7
0.093964666	0.5733590000000001	horrible kept falling off windshield
0.67919004	0.5362591	trying to return 
0.8148714	0.77672684	great price great product
0.9953129000000001	0.8335940000000001	the best phone holder i ve ever owned 
0.00012770295	0.3792592	poor
0.0032372177000000004	0.68951887	this thing is a piece of junk
0.07381439	0.60371506	had high hopes
0.9982377	0.7963901999999999	awesome holder
0.8438135	0.7817301999999999	item as described
0.9095171999999999	0.8417164	cd s what are those 
0.49848828	0.8810549999999999	fine with an s4 better than the mountek
0.7550626	0.81826925	fits in my honda civic 12 sadly my galaxy s2 skyrocket with extended battery doesn t fit 
0.999288	0.8378165000000001	works great
0.85832316	0.89900815	good quality works fine
0.9766562	0.63342345	sticks well
0.07410237	0.7564576999999999	suction cup works great but the device holder falls apart 
0.15947196	0.5830281	doesn t stay attached very well
0.99603796	0.85684955	perfect fit for samsung galaxy
0.98040235	0.83576345	great for galaxy ii with otterbox case
0.27534503	0.53343374	falls out of cd slot update
0.9909928	0.82591724	exactly what i was looking for 
0.63220036	0.82530856	great product but consider installing upside down
0.69367963	0.74689573	fits a 2003 hyundai sonata but not a 2006 ford escape
0.17975727	0.5880380000000001	good idea execution needs work 
0.9823209	0.86196834	exactly what i needed 
0.05351761	0.35911942	useless
