summary	sentiment	genuineness
Five Stars	0.995452	0.5668153
Great Set, Great Price, Great Delivery	0.9990885	0.95598996
Best food storage so far!	0.98852646	0.8901
Glass storage dishes	0.99154836	0.9097825
Best dishes for storage!	0.98966753	0.85212004
Containers are nice, but one item is missing lid	0.55505437	0.81481767
like Pyrex, but this review is for the 20-piece set coz can't find place for it	0.8780309	0.8325988
Great cooking/baking set!!	0.9997304	0.9288518
Arrived Broken - TWICE	0.22234592	0.73561984
Multi functional, safe, durable	0.9250646	0.9062995
very smal pieces	0.2453168	0.61999846
good product	0.6420342	0.73135155
Pyrex aint what it used to be!	0.61486286	0.8067653
Not all the same color	0.07834211	0.6626608
Missing lid!!!	0.03344841	0.5291221
Poorly packaged	0.15079767	0.6954787
Great Glass Containers, Watch the Tops Though	0.46887767	0.8602142
Nice enough set	0.8720474	0.6168209
al momento de conservar	0.87831587	0.24085794
lid	0.33607036	0.6849733
Wonderful Product	0.13169846	0.723462
The lids don't fit	0.052905943	0.7097767
great for leftovers	0.85009944	0.8918181
Great product, glass is very durable and difficult to break	0.99809533	0.9374344
Quality Set	0.9935382	0.9216328
PERFECT FOR MY USE!	0.9744245	0.888152
excellent food storage but not for liquids	0.92417806	0.887212
ok	0.46719623	0.7871357
Sturdy and safe	0.9902012	0.89537287
Misleading	0.0018789129	0.60247344
Good for storing, heating - not for traveling	0.07963671	0.8608239
Exactly what I was looking for!	0.99176425	0.9460439
Sanitary and healthy.	0.097433016	0.4959681
Cracked not long after purchase	0.0064145406	0.74778193
This is my second set	0.9910053	0.94321024
good deal for some needed storage containers	0.47701195	0.5710453
Bake or store or serve and best of all it won't stain like plastic!	0.4092883	0.83303547
A very good value and good product	0.99858296	0.9447967
The Picture is Misleading	0.050614014	0.7506912
AWESOME!!!! WORTH EVERY PENNY!!!!!!,	0.9886231	0.8907975
I liked it...	0.3515382	0.54936063
Missing lid	0.4917047	0.668726
Durable plastic lids, tough durable glass.	0.98650837	0.87817025
round lids didn't fit	0.3566677	0.7213973
awesome product	0.98247045	0.8737971
These things are pretty heavy	0.51138693	0.7922307
Good lunch bowls	0.78022325	0.8626298
Good price, did not explode	0.47848606	0.78100556
Great for storing food. Glass is far better and safer than plastic.	0.97620016	0.8840451
Love Them!	0.9627779	0.8700079
The answer to kitchen organization	0.99739194	0.9400213
Been months, and still like new	0.6193503	0.664398
Great set!	0.97699463	0.68614405
lids dont fit	0.35723603	0.46847245
pyrex	0.87569225	0.73114145
Great for storage.. but covers get a little baggy over time	0.985089	0.8668052
13-Piece Round Set	0.0402351	0.4149405
Lids don't fit!	0.07228256	0.60129875
dangerous product	0.002519965	0.72054857
glass is shearing off around the rims	0.0014597873	0.8059466
Could be better	0.06326724	0.69054705
Don't Buy This!	0.052813508	0.56155634
good product, good company	0.29640713	0.72197443
good	0.384206	0.6529903
Make the move	0.7939038	0.83690137
Disappointed!	0.024095446	0.7654413
good ones...	0.98823047	0.9249746
Lids lose their seal quickly	0.4792869	0.8307394
Great, but...	0.01850574	0.82929677
good product - but misleading description!	0.5910972	0.7802594
Good	0.7304031	0.13417234
Like them a lot	0.91122997	0.6687446
Just what I needed!	0.99532604	0.87848663
title - Product feature mismatch	0.05024065	0.79323554
Poor Quality	0.11044885	0.7456555
Too many too small items	0.5190073	0.70627236
No Problem With Lid	0.9094043	0.847726
So glad I got these	0.29510203	0.83932596
Not very Big	0.42318192	0.25467464
Not a bad product...	0.7884168	0.8697234
Not quite perfect.	0.19446315	0.4600426
good product but lids did not fit	0.3444592	0.7945204
Great storage	0.54569554	0.87608963
Excellent food storage	0.9882329	0.8525073
Excellent Food Storage Containers (and Plastic Alternative)	0.9729478	0.94390804
Great Containers	0.78848255	0.48351756
Great storage set	0.9578849	0.8739706
I wish I had read the negative reviews	0.64048	0.8548602
pyrex lid	0.016074145	0.7865884
No more plastic	0.8976424	0.8329322
Pyrex storage sets are Top Notch!	0.99615496	0.86812603
Product quality	0.8941416	0.839374
Cheap US manufactured garbage	0.16657321	0.78092843
Probably would have shopped around had I known..	0.21769957	0.45765042
Thick, solid and durable	0.98188144	0.83115494
waste	0.10459128	0.6589221
Good item	0.9217167	0.6763222
Pyrex 14-Piece Storage Set with Lids	0.9971945	0.8802121
Smaller than expected	0.03825754	0.5924414
Avoid it!	0.08437429	0.6804427
Blue lids aren't what they used to be	0.9643315	0.889406
Penny wise, pound foolish	0.17089674	0.6699137
most excellent	0.99440706	0.7788132
A must have in the kitchen!	0.995996	0.8720559
Can't go wrong with a pyrex containers	0.15468818	0.7762792
Glass is nice, but leaky lids are a problem!	0.3915859	0.82679486
I couldn't put the cap on top of small bows. Too tight!!! not convenient at all.	0.055314776	0.6174505
Love my Pyrex	0.96110904	0.85936844
The best bake-serve-and-store containers!	0.99810237	0.9401403
use this and be safe	0.779737	0.848306
Cheap, but know their weaknesses...	0.8214544	0.9029485
Was too busy going to store, so bought this set thru Amazon.	0.1090073	0.7325729
great!	0.94594085	0.8385789
Made in the USA	0.9843853	0.9179326
Pyrex..glass city.	0.020043755	0.53565705
Another Explosion-Beware	0.68545574	0.8357573
Service was fast, customer service great..... shipping didn't go so well	0.08551584	0.7172124
Missing a cover	0.63837904	0.72773004
good value	0.9975011	0.91716933
Awesome!	0.9867878	0.8947696
LOVE this set!	0.45013285	0.6955321
Not good	0.0048750523	0.52946466
Air tight!	0.98944	0.87918663
AWFUL.....	0.68626404	0.19092986
Pyrex good for oven, fridge, micro	0.989225	0.5311921
only half the containers i ordered were delivered!	0.2670854	0.4447595
High Quality Glass Storage	0.9110712	0.8273008
Great Set	0.99590224	0.92877495
works perfect	0.9853183	0.8564286
bowls	0.61730474	0.6570999
