sentiment_scores	genuineness_scores	summary
0.16531458	0.58721405	scratches very easly
0.5821685000000001	0.7240003	good enough
0.9967632	0.7539776	great price great quality
0.9716759	0.80907995	no regrets looks fits great 
0.88568354	0.76253444	pretty satisfied
0.013525605	0.4826031	crappy product 
0.9973401	0.8597292999999999	simple installation and great scratch guard
0.896561	0.7709220999999999	easy and idiot proof
0.8977924	0.8694596	incredibly easy application screen is a touch sticky
0.9937146000000001	0.8330912	great product 
0.9983594000000001	0.7486801	best screen protector ever
0.9955113000000001	0.78341556	awesome
0.99378556	0.79039294	easy to install
0.99052453	0.76150024	optimum product
0.99725103	0.8494216	awesome screen protector 
0.7756312	0.72014076	nice screen protector
0.7616438	0.6138851	they work
0.8717634	0.8144312	good screen protector for the money
0.99700636	0.80750775	great screen protector for the s4
0.6952067	0.7109779	works just fine
0.16773427	0.5933641	beware 3 different products one set of reviews
0.9368559000000001	0.7997068	easy to install no bubbles no dust 
0.87581253	0.7857164000000001	excellent product realistic price
0.98275846	0.63883966	just as advertized 
0.23127073	0.43234342	need a replacement screen protector
0.99960124	0.8639244	great screen protector
0.85894716	0.59762204	great price
0.984836	0.6936422	its great 
0.0311625	0.37358728	ok
0.972841	0.65908945	good
0.9756777	0.766616	amazing 
0.8942876000000001	0.8162607	clear easy to put on doesn t interfere with swiping screen 
0.9978174000000001	0.83171093	i love it
0.99369055	0.65735745	thanks 
0.52196604	0.6872471	good with a slim fit case
0.576619	0.7063038	worth the buy
0.9940976	0.8551426999999999	excellent product
0.9590718	0.7186066	nice product
0.9937604999999999	0.70727396	the best 
0.99755657	0.82213306	super great screen protector
0.7756424	0.5263728	great item no bubble 
0.8467299	0.85134333	very easy application great level of protection 
0.9345902	0.7400108	protect it
0.8290873	0.7528425	great product 
0.3630262	0.7889035	good protector different use
0.68918896	0.7118109	very protective 
0.5287736999999999	0.5658076999999999	revisited great company to work with
0.9658245000000001	0.8404371999999999	samsung galaxy s4 best screenprotector i ve ever used on any phone
0.9394027	0.82248974	went on fine happy
0.44623852	0.59338903	would buy again 
0.19203829999999997	0.09739411	it is ok
0.9277426	0.6740788000000001	awsome
0.28326002	0.22805142	a must have 
0.11612629999999999	0.4375733	works
0.96166545	0.80066764	great screen proctectors
0.9274806000000001	0.84869504	this is most complete screen protector kit dont waste your time this triple pack is the one
0.9583583000000001	0.77009386	galaxy s4 screen cover
0.99756753	0.86123556	easy on works great 
0.91928124	0.7416358000000001	great screen cover would recommend it 
0.99128604	0.73924065	best one yet
0.92262995	0.67961437	excellent quality
0.99750257	0.9018142	review for invisible hd defender
0.0139012635	0.4870028	not all that 
0.98153734	0.8200969000000001	awesome 
0.76725304	0.7700679	works great
0.5751939	0.56647414	protect from scratches but not from impact 
0.9911843000000001	0.84227103	screen protectors
0.99539304	0.8218040000000001	hd defender review
0.97499824	0.80180097	placing this screen saver on the phone was so easy 
0.8790208	0.7977503	works very well take your time 
0.9974856	0.800616	easy to apply
0.94891745	0.83433104	solid screen protector
0.9914839	0.8224993	excellent screen protector
0.88050675	0.7852150999999999	good fit good price nice surface 
0.9885715	0.8475528	great screen protector all around used on galaxy 4 reviewed after 3 weeks of use 
0.06588867	0.5573643	scratches too easily looks bad quickly
0.9947636000000001	0.78935754	good product buy it now 
0.99329805	0.72256064	the best protection screen for s4
0.9405191999999999	0.7583681999999999	great product
0.48288748	0.5227175999999999	came as expected
0.118863046	0.47188443	it is like a vacum to dust
0.9760953000000001	0.72791046	good 
0.9449120999999999	0.758109	great protector 
0.9493821	0.7940583000000001	military grade high impact version
0.84839535	0.5926616	dont bother
