sentiment_scores	genuineness_scores	summary
0.81603163	0.8002739999999999	effective slim attractive already saved the phone once
0.25223726	0.72398376	the case is solid for the money but there are better options out there 
0.98435175	0.82587856	great case
0.9962802	0.76662517	great case amazing price 
0.9960189	0.8511956	love this 
0.9998174999999999	0.8361301	very satisfied
0.7778665	0.79522824	love it 
0.58996713	0.6523025	pretty color costs more
0.99337006	0.8520309000000001	love it 
0.9935412	0.8818853999999999	perfect fit
0.94042933	0.7712933000000001	first case
0.92034173	0.7997247	tiniest headphone jack
0.96329904	0.7596616999999999	great case 
0.6770276	0.8011060999999999	size matters
0.017158478	0.4672563	not a good buy
0.5908163000000001	0.7347727	perfect case 
0.9716118	0.7552287	i love it 
0.93657917	0.8213688	perfect case
0.9862255999999999	0.8171081	perfect case
0.94956493	0.75094783	light weight case 
0.9898281999999999	0.82994354	great case
0.9959812	0.84286356	secure case and slim
0.7379133000000001	0.8338194999999999	this is the case i m keeping
0.796938	0.76900804	great fit not too bulky
0.99840313	0.7870643	great case
0.99484277	0.86858034	it simply works 
0.9957696	0.8826964	great case great price
0.7417271	0.7263626	doesn t get better than this 
0.9904933000000001	0.7970428	love this case 
0.55800736	0.71094286	clear case for s5
0.1263597	0.30230203	eh
0.99841666	0.91730714	one of the better cases if not the best for samsung galaxy s4
0.98981977	0.82052314	perfect fit
0.9221845999999999	0.80986476	classy
0.29689336	0.5031977	horrible cover save yourself the headache
0.98692703	0.8546995999999999	simple gorgeous
0.963577	0.82057834	i really really like this cover
0.9002121999999999	0.8262528	beautiful
0.07886249	0.5863178000000001	best value for case
0.12911874	0.39630264	not for the s4 active
0.8105266999999999	0.80365616	eh it s an add on
0.9805964	0.8942504000000001	good case
0.90919113	0.761149	good fit and feel just enough protection without being bulky 
0.42873967	0.30798727	you will need this for your phone
0.9928911	0.8635895	amazing looking case 
0.9628585999999999	0.8349103000000001	best case i ve had
0.9805795	0.8141805	great case for a good price 
0.954586	0.75974834	good case 
0.21581906	0.36568034	get what you pay for
0.8812938	0.77610826	can t beat it for the price 
0.9987849	0.8287370999999999	great product great price 
0.98570573	0.8055748	fits without a fight 
0.9261036	0.7917152	very impressed 
0.99319506	0.7460153	great case
0.99452806	0.7347569	perfect
0.77787936	0.76407325	works as promised
0.9064635	0.8257336	fits feels and works perfectly 
0.0032392740000000003	0.60024184	cheap quality
0.7306012	0.757725	not enough grip for my taste
0.9507905000000001	0.7390114000000001	nice
0.6656456000000001	0.7938164000000001	can t get better for the price
0.090381145	0.5893146	great case but power button is terrible
0.99526143	0.8083424	a job well done
0.77245903	0.6070637	good
0.81426525	0.7750272	simple and slim
0.6045878	0.8113859	excellent fit and finish nicer than expected 
0.6681901	0.88376683	i want to say i love it but 
0.9621228999999999	0.809629	great case 
0.099776655	0.74068046	bad fit for headphones
0.99989974	0.8811138000000001	fits perfectly geart color and very durable 
0.9979521	0.8117124	nice case with style
0.0017977655	0.7242683000000001	not durable 
0.34041956	0.6152356	excellent form factor not the best protection or durability 
0.9129449000000001	0.8656950999999999	best case i have come across so far
0.9947071	0.83885866	good look 
0.98226774	0.75827575	exactly as described and fast shipping
0.6227783	0.5325725	good slim case
0.8375919	0.7591415	not too much bulk to the case and a nice lip
0.814107	0.71465373	great case 
0.8769945	0.8581408000000001	unique look but not a great case
0.9927002	0.748762	perfect 
0.99953115	0.7859684	awesome phone case 
0.97856724	0.7878934	nice case
0.41552824	0.61963737	can t press buttons 
0.9806901	0.7942383000000001	better than expected
0.015259832	0.5571477	faulty 
0.9632324000000001	0.85978675	really great case
0.99580526	0.8588485999999999	poetic atmosphere case for samsung galaxy 4
0.9986708000000001	0.8888841999999999	great case 
0.13200694	0.5812565	they sent a used one while i paid for a new one 
0.19185099	0.53683513	white gets dingy
0.020447522	0.5100667999999999	lovely case but fagile
0.89009637	0.7930145000000001	great product a case for those who would want to handle their gs4 in a normal way
0.93085384	0.671773	snug and super awesome quality
0.97323954	0.79343605	snug fit and decent protection while remaining slim an excellent case for under 10 bucks 
0.977209	0.8816712999999999	solid and premium case 
0.99765635	0.84520996	perfect case
0.00014859438	0.43196905	junk
0.8817735000000001	0.76465434	great product
0.99719226	0.78729606	picture perfect
0.13250333	0.75538576	cute but poor functionality
0.98625517	0.82419205	great case
0.9575771000000001	0.86618066	excellent quality and protection case
0.68606687	0.74154824	slippery but good fit
0.08906907	0.5505589	great protection but the case makes phone slippery 
0.9962989999999999	0.8263197	awesome
0.98634624	0.8387699000000001	slick 
0.8724619	0.8618771999999999	works like a charm 
0.98712784	0.7496556	poetic atmosphere case for samsung galaxy s iv
0.98496884	0.78158855	good case
0.9974917999999999	0.81448597	great value for the price
0.13389337	0.34686056	 
0.00080770254	0.5087364000000001	junk
0.9817412	0.8498143	lovely not pricey case
0.89394116	0.7756374	super protective case without the bulk 
