sentiment_scores	genuineness_scores	summary
0.983034	0.7625363000000001	great skin case for iphone
0.017617433999999998	0.6819795999999999	do not waste your money
0.04945779	0.371305	it works
0.6009171999999999	0.754397	rubberized has its ups and downs
0.9564703999999999	0.8506345	perfect for my needs
0.015392631	0.52690524	otto iphone case
0.47979972	0.5889384	otterbox for iphone
0.09178606	0.7935109	tramples functionality of your phone
0.21781471	0.6322621	asht
0.014589012	0.7185378000000001	covers sensor
0.73456156	0.68755233	otterbox phone armour
0.55061513	0.80003387	worthless after 3 months
0.52192026	0.715398	not so great 
0.9530299000000001	0.76044244	great product
0.91966766	0.78688014	nice case at first
0.09424132	0.77360386	this case doesn t last 
0.02033493	0.5073647	description
0.9949331	0.8100145000000001	simply outstanding
0.607969	0.7645850000000001	nice case collects lint
0.012422502	0.63040924	does not fit at all bad product 
0.9993055000000001	0.73536515	nice fit 
0.9362166	0.77538204	stoked 
0.9851171000000001	0.846244	great iphone case 
0.15584853	0.49683046	not what i expected
0.73611355	0.8001706999999999	it s ok but does stretch
0.7069937	0.71493256	i hate this case
0.33933556	0.6135134	falls off belt clip constantly
0.98677814	0.78533506	iphone accessories
0.99271756	0.8327358	others recommended otterbox to me and now i ll do the same
0.011790395	0.5873759	misleading i thought this was the actual case
0.18638334	0.63117266	fair but not great
0.17848682	0.48434499999999997	perfect
0.67891634	0.68520045	cheap
0.051371872	0.49196425	lite duty
0.95406806	0.8373138000000001	great case 
0.9715437	0.76153475	no question the best
0.017719537	0.5995443	terrible product
0.0052275658	0.3885775	not an otterbox
0.6213946	0.6472180999999999	unfortunately i didn t realize until after i used this item 
0.99669594	0.82272077	perfect fit and fell
0.018715798999999998	0.53241813	blocks phone sensors
0.05667180000000001	0.6080171	interferes with proximity sensor in 3gs
0.030973643	0.5485637	sticky residue
0.9966254999999999	0.7986531	great
0.9975790999999999	0.9082171	excellent case and it s easy to apply the screen protector
0.8938994	0.7036529	don t be fooled by the name
0.0037671924	0.4197701	screen protector is a joke
0.94466984	0.6696166	it s great 
0.40923092	0.1530197	that s an awfully nice iphone youse got sure would be a shame fer sumpin ta happin to it like
0.89455885	0.81578064	pretty nice case
0.22014031	0.35108802	otterbox case
0.11602467	0.37413055	otterbox
0.9930062	0.7992429	excellent deal 
0.55517256	0.76611686	important things you should know about this product
0.9777945	0.796692	otterbox rox
0.99423903	0.76262957	pretty good
0.011724442	0.58876073	not for iphone 4 as listed
0.98606724	0.8573953000000001	good protection great fit
0.9994949000000001	0.89854324	otterbox need i say more 
0.6106701999999999	0.82259715	great case second purchase 
0.31558228	0.7689699999999999	good for protection but not user friendly 
0.9935174999999999	0.8881425999999999	great for the phone safety challenged 
0.8178784	0.40009022	great
0.9691595	0.8598287	great value functional 
0.013075769	0.541864	wrong item
0.4644242	0.6516244000000001	not even my daughter can destroy my iphone now
0.02444163	0.6514884	technical problems
0.6977343	0.70319045	good cover plastic film a problem
0.22473887	0.7439799	stretched out
0.14275202	0.61768204	lasted 2 weeks 
0.72024435	0.7757236999999999	good protection overall
0.9780928	0.8674523999999999	don t be fulled by it s softness it s sturdy 
0.25929463	0.43255484	worthless product
0.058020175	0.7532504	not a good fit
0.6622699000000001	0.5894941	great product 
0.99558616	0.7559308000000001	nice case
0.8994223	0.6096398000000001	great product 
0.66524404	0.8161391	relatively satisfied with this case 
0.23069450000000002	0.3403527	does not fit iphone 4
0.10616800000000001	0.42246413	perfect protection
0.13757765	0.105581105	not what i thought
0.9190143	0.79647243	useless against impact okay to protect against pocket rash
0.10612944	0.2512219	wrong product
0.05758542	0.6449651999999999	do not get this cover if you want your phone to work
0.8464731	0.7961495	best case i ever had 
0.3829744	0.5406102	somewhat ok 
0.34327316	0.25061238	why
0.9866188	0.82057357	great little case
0.4118749	0.65952426	arrived broken
0.10678238	0.53503597	ehhhhh 
0.3879112	0.49127555	the non swimming otter case
0.9806799999999999	0.80503684	great item 
0.39145696	0.49736723	not what we expected
0.98684585	0.7996335	awesome deal 
0.99494463	0.7422380999999999	otterbox impact
0.9423379000000001	0.7723034000000001	sent the wrong item but no complaints here
0.9788530000000001	0.7867321999999999	pretty good cover
0.7674433	0.69372356	not good 
0.0507299	0.47794480000000006	not happy
0.8865055000000001	0.6856684000000001	received promptly item received was as stated perfect deal 
0.69625866	0.64947045	not what expected
0.17599636	0.77164114	interferes with phone use after a month
0.9932879000000001	0.8131246999999999	best iphone case
0.27966365	0.6908319	bulky and not pocket friendly
0.997188	0.71007454	iphone car charger
0.057952523	0.6101057	false advertising 
0.9274084999999999	0.78725815	one solid case
0.9849406999999999	0.8282776	this case saved me 500 
0.032132924	0.542585	2 stars
0.9963358	0.74475014	great case for anyone
0.9584754999999999	0.93150896	great value but precise cut outs fail with time
0.05676946	0.5863913000000001	great texture but the cutouts aren t precise enough
0.72039586	0.7282791999999999	not a complete order
0.02416706	0.58717036	worst fitting case ever 
0.70944756	0.3920557	nice product if you like black on the back 
0.034899503	0.69085515	disappointing iphone 3 otter case 
0.012884945	0.64274645	great for the first few weeks but not for me i returned mine 
0.9458947	0.5139079000000001	works great
0.9053993	0.68950194	good buy 
0.6467215000000001	0.6750809	great
0.054055423	0.75340676	great at first
0.6800189999999999	0.6665982	want your iphone to survive a clumsy person
0.9803989	0.76396585	good case great price
0.11205971	0.7123496	only if you dont use your camera
0.96868217	0.607533	otterbox without the bulk
0.99624324	0.6809025	simply outstanding case
0.9703814000000001	0.8692085999999999	protects my phone but blocks features
0.7675514	0.8837434000000001	fantastic case even better value
