sentiment_scores	genuineness_scores	summary
0.8424236999999999	0.77943164	great slim product perfect for the girl who doesn t carry a purse 
0.9983175	0.77680695	love it 
0.984506	0.6226253	love this wallet case
0.99396837	0.82925427	people ask where i got it
0.9556106	0.8293849	convenient and simple
0.9352971999999999	0.7236918000000001	great and stylish
0.057786465	0.5750141	hurts my finger
0.99915874	0.8025893	awesome 
0.6480807	0.7536600999999999	close to a perfect wallet case 
0.9971004000000001	0.8308736999999999	this has been a fantastic case 
0.89746916	0.54720676	nice case cool look and rugged 
0.9756366	0.83407855	huge fan
0.99758387	0.87528574	this is the best phone case ever 
0.9954245999999999	0.71401274	the search is finally over 
0.99819034	0.66417783	love it 
0.8992485	0.62127477	i love it
0.85625315	0.76487255	perfect 
0.69831944	0.5421414999999999	picture is a bit misleading
0.55370754	0.34919903	love it
0.9745891	0.6511167	very convenient 
0.9555943000000001	0.6359722	great gift for my son 
0.057498753	0.40614706	ugly and cheap looking
0.9697565	0.75928867	exactly as expected
0.08231327	0.4030617	adequate
0.0067379475	0.4868309	holds down lock button
0.9621593	0.6733196	brilliant
0.39910877	0.63954675	no cover on the front
0.0064228773	0.6742778	not as good as advertised
0.5405074000000001	0.6675412	update june stains the back of my phone brown
0.07018909	0.613614	great idea great design mediocre execution
0.9887153000000001	0.86979985	buying a second one in another color
0.9966202	0.8126348000000001	durable and long lasting case
0.99426377	0.7861835	the best
0.6007724	0.7234469	sharp edges good design
0.9798703000000001	0.8325447	excellent
0.9986195	0.801425	wouldn t buy anything else
0.075989395	0.41536492	just as described minus room for cash 
0.070043355	0.48629716	ok wallet card case
0.97310346	0.81729466	best case ever
0.03302294	0.6261934	did not fit correctly
0.99606097	0.6891969	perfect case
0.3356179	0.25472873	unable to rate item
0.8762450999999999	0.76847124	best slim card case
0.9642588	0.77394795	drop the wallet this is amazing 
0.99870896	0.7831979	great wallet case
0.99163353	0.7805799	great look and durable 
0.9367636	0.7484518	happy with it
0.9739241	0.8770406999999999	the perfect case 
0.974937	0.7488413	this is the one
0.97291386	0.81492513	quality product slightly bulky
0.8887929	0.8020941	holds 4 cards
0.019186795	0.5071895000000001	not good
0.8376861999999999	0.6808166	worth the price 
0.95001435	0.74697614	works great so far
0.7266895	0.7583354999999999	a 5 star product 
0.5273876999999999	0.60037804	almost perfect 
0.9906764000000001	0.7058033	great case 
0.9538201999999999	0.6813741999999999	description of item
0.98182774	0.85939586	just what i was looking for 
0.9862472	0.8207753000000001	worth every penny
0.1274687	0.52128494	in my opinion there are better cases you could buy 
0.43417826	0.73828655	awesome case and protected my phone in a big drop everything i wanted and more 
0.8823049000000001	0.6985821999999999	hate carrying a wallet
0.99864006	0.79897016	love this case 
0.8970435999999999	0.86767614	great case
0.9851835999999999	0.76686776	great 
0.95123714	0.6740408	useful when needed
0.58269954	0.73805606	i like it a lot only one problem
0.9946954	0.72715306	shazam 
0.075123966	0.6161654000000001	good but wallet gets loose over short time
0.78209364	0.7416111	compared to otterbox 
0.9833944	0.74605757	love it 
0.9988849	0.80582964	my second one 
0.47945659999999996	0.45583370000000006	i use it all the time
0.17402714	0.55229276	cm4 vs speck smartflex
0.98171794	0.7991718000000001	great case
0.99906623	0.75964844	i ll never go without having a wallet case again after this one 
0.90188134	0.529121	no need for a wallet
0.90388846	0.7459479999999999	will never go back to lifeproof after this case
0.9970817	0.6765445999999999	perfect size storage capacity
0.9981767	0.81207514	best for business folks fits like a leather glove and very durable like a wallet 
0.6050694000000001	0.5986126	seems to work great
0.1589236	0.5635213000000001	high quality holds up well
0.92197835	0.58246565	excellent wallet case combo
0.9736688	0.7432264000000001	simplifies my pockets
0.92069805	0.60219777	perfect 
0.99955213	0.8330972	qcard case
0.032355636	0.60192716	attractive but not terribly functional 
0.07911137	0.44098919999999997	not worth the high price ok but not that ok
0.9263209000000001	0.6168047	item exactly as advertised
0.91259456	0.6705146	decent 
0.9827572	0.6586776999999999	great
0.6568469	0.6770146	super duper case 
0.5127301	0.4650785	flimsy
0.9777353000000001	0.8089767	i ve been waiting for this case
0.8940369	0.798772	a nice slick case
0.07986337	0.6334072	darker than the picture
0.9937537000000001	0.73707056	great customer recovery on defective item thank you
0.9949809000000001	0.84841746	great case
0.99747705	0.8008555	its the best case i got for the i phone 5s
0.054272532000000005	0.5970032	low quality product would rate it more highly at 1 4 of the price 
0.88579226	0.62521327	fantastic product 
0.98127115	0.76412845	perfect
0.9352370999999999	0.6776446999999999	best thing ever 
0.87626964	0.63812494	cm4 is great
0.94908357	0.84832907	great for a couple of cards
0.99820495	0.7475027	great product
0.53942907	0.36473563	it has a good feel
0.01865372	0.49340686	not bad but plastic looks cheap 
0.99616635	0.7129599	perfect pocket purse
0.020959735	0.65737855	looks cheap feels cheap
0.9816995000000001	0.7858175000000001	nice phone and wallet case
0.97272897	0.5818208	i am in love
0.96872175	0.64557004	amazing 
0.27132112	0.46104681	so i love the idea 
0.98299634	0.7725768	for the traveler
0.1467081	0.5841553	sent it back
0.8216403	0.7289628	best credit card holder there is 
0.9889954	0.83208835	very good 
0.9577824	0.6386188	great case although cards get scratched over time
0.9981333	0.725414	great case
0.9982655	0.7972448000000001	worth every penny 
0.2432721	0.6513194	loved my case for the iphone4 loving this one as well
0.8999748	0.78600895	love this case 
0.9787394	0.8003334	good but stretches
0.99141586	0.7499865	perfect for my 16 year old
0.99782157	0.7618788000000001	great case
0.017937124	0.5799496	overpriced
0.9937729	0.7311555999999999	was skeptical but now so glad i got it 
0.7461840000000001	0.7232970000000001	slight bunching up along edges of screen protector
0.97691566	0.69536346	great gift idea for the clutterbug
0.91417146	0.7202619	this case has become a must have a great conversation starter
0.9406533000000001	0.5839260000000001	well done 
0.8980312	0.7218427	great case very compact and stylish
0.24130371	0.6185483	good value
0.9982993	0.82657325	great case keeps phone safe looks great very functional
0.98932207	0.8176547	great case
0.61573756	0.569476	perfect for minimalist
0.22087699	0.6279471999999999	won t last 
0.16503432	0.539646	almost perfect
0.9971971	0.7438351	upgrade is just as lovely 
0.97162735	0.6887770999999999	exactly right 
0.03205356	0.6152156	works great
0.95039856	0.78279567	perfect case for everyday use
0.99508345	0.71305305	genius idea 
0.3185027	0.6672406	hmmm 
0.8908091999999999	0.645628	love it still
