sentiment_scores	genuineness_scores	summary
0.51670116	0.6027154	ok
0.9827992	0.8982867	protectiive cover
0.08283979	0.58431506	ok all right
0.006198316999999999	0.55622333	screen protector horrid
0.9980943999999999	0.7658936	otter box commuter review
0.101445794	0.61116725	garbage
0.5247425	0.3119093	otterbox commuter case
0.013746887	0.45856658	cracked in less than a year customer service pretend to be stupid
0.38483772	0.6426076999999999	already broken 
0.71497756	0.7038808000000001	love the color
0.14739168	0.6015488	i do not like the item
0.9854903	0.71680343	great 
0.0048024654	0.6254668000000001	junk
0.14581418	0.23986077	we order wrong thing
0.80266523	0.67031693	great protection
0.8548661	0.73928326	not bad
0.05415842	0.6683866	otter box defendor
0.9963424000000001	0.7903414000000001	great as expected
0.0017765164	0.39977497	one mad mama 
0.6336144	0.5487805	protects the phone well but
0.795433	0.65884167	great
0.16675079	0.5508907	otterbox quality
0.3195118	0.63375676	its okay but not what i expected
0.008847981999999999	0.5549881	cannot be a real otterbox
0.0052402318	0.45293292	no access to headphone jack
0.54887706	0.6196064	dark light teal
0.99382496	0.79191685	great product
0.016885966000000002	0.5889276999999999	didn t last 4 months
0.33392608	0.6122707	broke twice go with speck 
0.97525686	0.6840429	good cover
0.01212281	0.5701951	not original
0.0044972003	0.34582514	i hate this it is not the otterbox i am used to it got dirty in 24 hours pics are not detailed enough
0.8038366	0.71547514	i like it 
0.053231925	0.62616557	not a good buy
0.07350668	0.37319088	otter box
0.01176995	0.592856	awful 
0.04573610400000001	0.34148449999999997	returned
0.02151981	0.6667057	otterbox commuter
0.9882884	0.8328626	awesome cover and not bulky
0.2767788	0.5964656999999999	great case odd color
0.28958148	0.48468809999999996	it was okay till it broke 
0.99670637	0.78478515	completely satisfied
0.002043724	0.7053339	poor quality
0.6140095	0.80679184	interesting otter okay to good
0.41275847	0.62299424	double dutch
0.010174096	0.39145159999999996	sucks
0.068131775	0.5919267	does not fit
0.29813755	0.3125158	purple freak loves this 
0.0021132529000000002	0.59666854	don t buy won t last a month
0.94992304	0.60194093	came within timeframe and met expectations
0.044057727000000005	0.5141047000000001	do not purchase
0.18754065	0.23057112	i did not like
0.058914423	0.38419884	poor value
0.57265717	0.8311752	looks better than performs
0.8368211	0.7623435000000001	great product
0.78057146	0.8564603000000001	so far so good
0.010895848	0.54362905	horrible
0.0061434507	0.57113457	disappointing
0.9995037	0.8816643	great case for a great phone 
0.92766607	0.61760575	not what i wanted i have one on my phone but
0.9916673	0.74491143	iphone cover 
0.13666734	0.5365686	i was extmemly dissatisfied 
0.49257457	0.6044248000000001	otter box
0.071670175	0.3683582	not what i expected but what could i expect 
0.9976119000000001	0.7305111999999999	great item 
0.50453955	0.44964397	a little slow
0.01962936	0.7088531	greg
0.037959337	0.67116076	horrendous waste of money
0.44483992	0.34153459999999997	case is very good and serves my needs
0.015190898999999999	0.85201097	it s a cheap chineese fake
0.19033056	0.678612	commuter
0.98913616	0.75234234	great 
0.043641567	0.49628922	not the case for me
0.113533825	0.45975366	meh
0.06291672599999999	0.52993876	purple and white otter box
0.9082744	0.7680094	what i needed
0.9765308000000001	0.77982545	otterbox fine
0.96520907	0.74976087	pretty good
