sentiment_scores	genuineness_scores	summary
0.39168006	0.5852866	worse than expected
0.31778914	0.5048136999999999	not satisfied
0.01325798	0.7781638000000001	caseology slim for nexus 5
0.36782056	0.33961236	not so impressed
0.94705516	0.79604566	good useful and value for money
0.18768445	0.61446464	just ok
0.7559625	0.7397602	decent case neat looking but a little bulky
0.9120282	0.8191931	the must have nexus 5 case 
0.20563462	0.5588514	sparkly
0.49874490000000005	0.7144555	very nice case and pretty in design
0.03547746	0.75170237	do not buy 
0.65704775	0.74164915	some problems that can be fixed
0.21730563	0.6374845	good case edges peel
0.5359071999999999	0.7923029	sturdy but has minor issue with camera flash
0.020164669	0.5376113	won t buy again
0.78316295	0.77956104	just as described 
0.99922323	0.84794086	i love this case 
0.998075	0.87157613	great product high quality and easy to fit
0.9820206	0.7750196999999999	find another
0.117890954	0.6877946	caseology slim fit for the n5
0.9744431999999998	0.82146716	nice case
0.95002913	0.61635226	wife likes the texture and color
0.08396619599999999	0.5424508000000001	you won t fool anyone but it is a great cover 
0.71176314	0.81355894	on the fence about this case read on and get a honest opinion 
0.11024663	0.56204057	interferes with functioning of the phone
0.16499507	0.49103382	okay 
0.1990009	0.55011857	upset
0.31612986	0.6489143	ok case but i can t too bulky by the power button 
0.75188184	0.6993373	great case for the nexus 4
0.5851857	0.5887689	just right
0.9731133	0.79138935	great feel and more secure
0.96973693	0.70231855	great cover
0.09738544	0.5794588	a terrible case that isn t worth the money better off paying a little more for something else 
0.993132	0.7458629	solid case
0.009079605	0.5949614000000001	does not fit phone well impossible to press buttons
0.7470401999999999	0.7394359	tried google official case as well as a spigen this fits best 
0.19845158	0.6379921	great case 
0.05782491	0.6894824	i just have it because it was a gift 
0.9948665999999999	0.8520118	i heart caseology i heart leather i heart 
0.013756096	0.54119015	awful customer service 
0.82848823	0.7644472	nice case fits the phone well good protection without adding too much bulk
0.9514476000000001	0.8552475	caseology continues to impress me
0.6852318000000001	0.74474514	it s alright
0.0015583932	0.58075225	not as advertised
0.06698301400000001	0.6254510999999999	unable to use side buttons
0.95564705	0.7843768	good case
0.92985773	0.82930493	great deal for a quality product 
0.026405542999999997	0.56145847	doesn t protect the screen
0.29352236	0.5374441999999999	caseology slim fit flexible tpu case for lg google nexus 4
0.37008983	0.61991626	overall bulky case
0.9972021999999999	0.7447666000000001	amazingly cute 
0.11699957	0.47646980000000005	major design flaw
0.9839982	0.8251251000000001	case for nexus 4
0.9545152	0.74433005	good case
0.9465610999999999	0.8113052	stylish and functional
0.02642113	0.46248904	bad cutouts
0.8160291999999999	0.79510355	good job
0.97942084	0.5422321	must get case 
0.98903096	0.72681063	great case
0.04460457	0.76667523	marginal case lots of better options out there 
0.09294909	0.5048351	nice looking and durable
0.12603265	0.7492696	case has major problem and is not as pictured
0.38729975	0.61740136	okay for the money 
0.58721405	0.77224964	amazing case
0.32864434	0.6507071999999999	exactly as advertised
0.08709657	0.63921785	fine product modn annoyingly begs for feedback
0.06556487	0.71134764	nice material but terrible design 
0.20371118	0.5490964	nice look poor design
0.8739254999999999	0.7441064000000001	good protective case
0.11060274	0.50513136	blocks camera flash
0.008030713	0.3232302	crap fitment is poor the cutout for the power button sd slot is too small impossible to press with my fattie finger 
0.989668	0.7705773	nice
0.8633325999999999	0.6510795	good leather case
0.030316352999999997	0.34772074	bad customer service
0.5297772	0.65875953	revised model has cutout design
0.9991	0.8673458000000001	love it
0.9976726999999999	0.7213596	caseology lg google nexus 5
0.061368912000000005	0.5023148000000001	poor fit
0.24008587	0.7355198000000001	good protection but blocks the flash
0.54300976	0.7749468	nothing slim about this case
0.106796175	0.4256653	works but not as expected
0.95561016	0.7692039	awesome delivery time
0.8787668	0.74679697	case has perfect fit and looks great
0.99699706	0.8618561	great case protects and allows full operation
0.18091786	0.59539604	it was great at first but the white color turns yellowish 
0.057955652	0.5885263000000001	ruins the camera flash
0.038312763	0.63177985	good case but beware of camera flash issues 
0.05775827	0.40433773	okay
0.09008163	0.67668974	not bad for protection but recessed headphone port and awkward cutouts for power button volume rocker 
0.08029085400000001	0.66901386	the case doesn t have mercury logo on the back beware of the counterfeit product 
