summary	sentiment	genuineness
Finally, a tablet with a stylus good enough for drawing.	0.11974981	0.7069071
Extremely Pleased	0.1419283	0.4728892
The greatest Tablet on the Market!	0.99757236	0.8765499
Wow, it can do that?	0.93318003	0.810681
Excellent	0.99064493	0.87219906
Best tablet out there!	0.99136275	0.8398451
Samsung Galaxy Note 10.1 16 GB	0.92298925	0.60697865
great job! very pleased.	0.087265536	0.34957603
going back to the ipad 2	0.18931004	0.46646506
Great piece of hardware, but lacks software	0.23001605	0.838568
Love it or look elsewhere	0.98758715	0.9672711
Best tablet	0.84156805	0.5551244
Great in some ways	0.45332795	0.5950623
WOW	0.5287204	0.44168198
fantastic	0.9936253	0.731783
AMAZING TABLET	0.9954283	0.73935616
one of the best powerhouses!!!!!	0.917582	0.7067848
A tablet to be in your wishlist	0.98816854	0.7548759
Didn't get headphones	0.19216853	0.27324674
Just Great compared to new IPAD	0.9940137	0.88434047
Excellent Tab, Almost Complete Laptop Replacement	0.87319773	0.8594648
Awesome device	0.6342328	0.43710318
Still Getting Use To	0.7892762	0.5902882
Bank Directors Reporting	0.9499435	0.28555664
Great Tablet!	0.97816247	0.7742252
Absolutely great	0.98413163	0.79322934
great machine !!!!!!!!	0.9955615	0.70420486
I freaking love this Tablet !!!	0.98529345	0.90781695
Fantastic product A+	0.9689989	0.78676903
Really like it	0.6875702	0.8856589
I'm glad I waited	0.9883273	0.73492223
"All great, but can't open many e-mails"" not designed for mobile device"""	0.9205492	0.57832706
Its just i wanted	0.9855686	0.6719942
Almost Greatness!	0.9568968	0.4528194
Laptop Replacement	0.9984061	0.9319197
Portable Notebook	0.97038144	0.78808075
Great tablet but	0.9673218	0.6270983
I'm finished, finally.	0.5198634	0.3613671
Lame	0.12166543	0.43529597
Perfect tablet	0.94821256	0.6956131
More productive with this!	0.9672093	0.58179003
Super Price Great Samsung tablet, I had the Note 8.0 for 3 weeks and I had to have the 10.1 it's an amazing tablet.	0.997938	0.7946682
Quick and easy to use	0.86183774	0.56294477
I never write reviews but	0.9698788	0.92187816
Student Review for a good Tablet. It's not perfect but great for what I need.	0.9155745	0.9645595
Totally pleased	0.79072285	0.7276221
wonderful tablet	0.91016275	0.8636554
Great tablet for the sketcher/hobbyist artist, with a few caveats	0.8810665	0.97785383
New may be better	0.8825478	0.8460991
Great tablet	0.9830009	0.72514534
I love my SG	0.8613618	0.8227649
My first Samsung tablet from an IOS user	0.94167155	0.9072834
Not as Expected	0.17391393	0.41533402
Good price - love it	0.9729128	0.70228386
Very nice unit	0.9984144	0.7412536
I love it!	0.98836714	0.6614646
Note 10.1	0.46096542	0.4400626
Blown away -- everything I hoped for!	0.92739034	0.98482764
My Note 10.1 Compendium	0.9763116	0.9883762
Fantastic, Best Tablet for College Students	0.9621147	0.60336614
Best Tab I have used	0.8618697	0.7326811
excelent product	0.9908022	0.7346672
Best purchase	0.99312335	0.8122493
Love the features	0.99615675	0.6092727
Better Than the IPad!	0.99701655	0.82712156
best tablet money there is...Samsung forever !!!	0.9732676	0.6906467
Delighted by this tablet	0.99516076	0.8172649
Purchased as a Valentines Gift	0.99817634	0.81768
It rocks	0.983013	0.8294292
Laptop Replacement!!!	0.9979735	0.90658224
Samsung galaxy tablet. Awesome. Love it. So easy to use, more convenient then the  computer monitor. Very pleased.	0.97228235	0.4108378
samsung galaxy note 10.1	0.83055884	0.6024697
The paper killer!	0.9031721	0.88321877
Great gift.	0.9876637	0.6219445
No regrets whatsoever!	0.98669946	0.8831019
Love the Note	0.84641916	0.81220543
Love but there are material issues	0.62403464	0.7725569
The S Pen is amazing!	0.9374446	0.85236627
6 Weeks later and I'm still thrilled	0.977099	0.8036553
Dream come true	0.99312854	0.8305602
FANTASTIC!!!!!!!	0.97616106	0.8631715
Sweet Mother of God	0.9453673	0.8044361
Awesome!  Easy enough to operate even for a newbee	0.97253144	0.6417173
great	0.6486718	0.27524248
An extremely awesome and capable value	0.9956754	0.8209082
Note 10.1 32gb  Okay but. . .	0.924932	0.8622628
Love it!	0.995663	0.8587075
awesome	0.98469996	0.665722
My first tablet experience	0.9586836	0.8092748
Everything I wanted and then some.	0.88553244	0.96757597
Amazing!	0.95724154	0.76826257
Galaxy note tablet, limited comparison	0.92876333	0.8910263
This is a great tablet.	0.9859637	0.8061257
I gotta tablet!	0.9848616	0.8098101
Beautiful and feature packed	0.9883786	0.7419483
Great tablet.	0.84424895	0.7451278
Samsung Galaxy Note 10.1 (16GB, White) from Amazon Warehouse Deals	0.9460973	0.8998766
Awesome item for the price-Better than IPADS	0.9601565	0.8109729
Great Product	0.9211025	0.64897656
great tablet	0.9894705	0.5668542
updates not in the cards	0.14095248	0.19673964
beware	0.38784546	0.73757976
Yep, I love it	0.97377044	0.7750331
Lives up to expectations	0.964733	0.9359686
Love, love, love	0.78117675	0.61755836
If You Want to Write with a Stylus This is the Tablet to Buy	0.68857944	0.8491245
Flash Player??	0.26136026	0.31646848
Love it!	0.89410925	0.8611436
Great productivity tablet, specially if you are invested deeply into the google ecosystem	0.9759546	0.9489553
Not perfect, but excellent nonetheless	0.9326227	0.96158886
Galaxy Note 10.1	0.930956	0.8459065
