sentiment_scores	genuineness_scores	summary
0.8420556999999999	0.7609011	tricky but well worth it 
0.74634594	0.70179963	first screen protector i ve had that doesn t peel off 
0.93620175	0.636598	overall very pleased 
0.8100636999999999	0.6468969	feels smooth 
0.98732316	0.86232686	works great and easy to install
0.46224487	0.77666426	the good and the bad and really bad my experience 
0.7752422	0.56896853	body armor for your screen 
0.99740493	0.74436796	excellent product
0.7532731	0.74771637	i ll never use a plastic screen protector again 
0.99685043	0.8056441999999999	1 word amazing 
0.9915431	0.79511786	excellent
0.99314487	0.8074055	great product highly recommended 
0.05157292	0.40033102	two stars
0.9007584000000001	0.5982173000000001	best screen protector i ve ever used in the last 10 years 
0.9729853999999999	0.8033279000000001	nothing beats the smooth interface of glass 
0.9965812	0.6975102	just like you re touching the original screen 
0.006389171	0.31741968	terrible 
0.14092505	0.5843746999999999	instructions not accurate may cause you to damage the adhesive during install
0.76341295	0.78170806	good stuff
0.9791776	0.8653209999999999	the best screen protector period 
0.98147565	0.8049164000000001	nice and easy
0.013802916	0.59312516	poor over all quality of main item
0.99609673	0.83198273	pleased with the screen protector installed well 
0.9953517	0.879034	premium product affordable price
0.5026073	0.64523697	looks great stressful install very brittle
0.9837148000000001	0.88198984	the absolute best screen protector much better than plastic screen protectors
0.8525709	0.6306948	looks and feels great but 
0.3014772	0.67207205	superb customer service but air bubble would not disappear 
0.20018297	0.46898296	do not buy 
0.9980268	0.9246674000000001	highly impressed definitely recommended 
0.98124754	0.7363672	awesome screen protector
0.97033197	0.7613929	looks great and easy to install
0.4241526	0.5980585	broke within a month
0.39443317	0.6253727	breaks buy another repeat
0.9939444	0.6422318	best protector ever 
0.9987779	0.813285	tech armor nation 
0.00016593933000000002	0.31711155	mierda
0.035379082	0.39738047	missing
0.9815509	0.82815486	get one of these
0.019451648000000002	0.55257237	improper advertisement and horrendous customer service stay away 
0.12772688	0.37169218	worst product i have bought on amazon
0.9885026	0.8095389000000001	best out there
0.9880544	0.83242947	pretty effn awesome
0.040548533	0.5218227	tech armor marketing bomb 
0.67025393	0.5812324999999999	great product
0.19506994	0.47124928	adheasive issues 
0.9819187	0.70543563	tech armor nation
0.48745415	0.55955297	good product
0.966571	0.65784925	good fit decent price
0.008910209	0.7528319	poor quality
0.98987305	0.7625772	tech armor has done it again 
0.99757004	0.82085556	fast delivery
0.9907315000000001	0.8535792999999999	best screen protector
0.9566498999999999	0.8009097	superb quality
0.00669384	0.3917175	horrible fit 
0.94734234	0.68006086	great screen protector
0.9800087	0.7937770000000001	kool product
