sentiment_scores	genuineness_scores	summary
0.618868	0.37302798	just what i expected from elago 
0.040201664	0.59579504	elago s4 breathe2
0.07408747	0.5745965999999999	thin but doesn t fit well
0.46311670000000005	0.63078034	very pretty
0.9768591	0.75815105	amazeballs 
0.97314334	0.7585622	a perfect fit and sleek design
0.28541023	0.5427768	love the color not really the case
0.04082939	0.617788	product was broken when i received it
0.05771035	0.5161555999999999	not good at all
0.9925029000000001	0.7646221	excellent 
0.9848515	0.86258346	excellent case
0.98355615	0.7485274000000001	works great
0.95518804	0.78555673	great case
0.003715545	0.5401602	poor product do not waste your money
0.10859683	0.56820625	does not actually fit an iphone
0.46540874	0.63107026	broke in my pocket
0.8831370999999999	0.77008307	scratch proof 
0.051745385	0.57390153	decorative case not a case for protection
0.8663058000000001	0.684497	design matters
0.861801	0.77051514	looks beautiful fits perfectly 
0.98308575	0.7222886	fills the bill 
0.98715043	0.8149729	feels like there isn t a case at all 
0.40915716	0.74504274	good
0.46996462	0.6786358	good deal
0.99028516	0.7509432	great value
0.13223359	0.73648196	breathe 2 version places form over function in other words not good 
0.8491786	0.81851953	nice slim case
0.53475994	0.7333192	extra thin durable too
0.9831870999999999	0.7987204999999999	love have bought several in different colors 
0.85184264	0.78799176	husband loves it 
0.8830643	0.7357944000000001	perfect cover
0.9943745	0.87849486	perfect phone case 
0.021400422000000002	0.5221486	not worth the buy i dont recommend it
0.9257434999999999	0.8155639	awesome design
0.9501741	0.85008776	beautiful case but keeping in mind it s meant for looks
0.9950631999999999	0.81338155	best snap on case for the iphone
0.3785963	0.5491564999999999	fits well
0.26421162	0.36181199999999997	cheap plastic case
0.8726746999999999	0.8131288000000001	sharp super thin 
0.31790113	0.6704161999999999	not a snug fit
0.5191905	0.42370296	very good thin and solid 
0.5008210999999999	0.45180693	the best cosmetic case
0.9919131999999999	0.798036	my all time favorite 
0.98068845	0.7749598000000001	love these
0.9985229999999999	0.779932	finally the case i ve been looking for 
0.9050372999999999	0.78195596	a case designed to blend with iphone s aesthetic
0.98887146	0.71153855	sea blue case
0.7983861999999999	0.70760655	skinny and tight 
0.9884267	0.74576265	great case and looks cool
0.9952277	0.74355507	happy 
0.9993356	0.84278345	great product 
0.9986453000000002	0.84415305	amazing
0.58163285	0.59757507	money well spent
0.9515048	0.9206413	nice case 3 4 aesthetic 1 4 protection
0.9712327	0.7780602	sturdy
0.9855001	0.8465028	outstanding thin case
0.99519837	0.71684813	looks and fits great on iphone 4
0.9958821	0.7911471999999999	great iphone case 
0.97322536	0.5985621	fits great
0.9721281999999999	0.6663135	elago
0.3285657	0.74249744	not well made
0.9702904	0.83196473	great case color brighter than picture
0.9512174000000001	0.89060843	if you hate cases this one s for you
0.9443109000000001	0.8957753	great thin and light case 
0.94974136	0.60730356	just awsome
0.9984073	0.79639566	my summer iphone cover
0.9992021999999999	0.87677026	excellent product
0.9871305	0.8397903	great lightweight case
0.9842998	0.7860714	love the look of this case
0.6137183	0.6682554	exactly what i wanted
0.9872794	0.7377683	great product and a great price
0.3608033	0.68801284	not up to elago s usual standard
0.9406402	0.76382154	love this case
0.9224936	0.83194447	well constructed with a slim profile
0.59279543	0.6017335	corners sometimes bend
0.9122465	0.7659366	slimline vented case slides in and out of pocket easily
0.9214518	0.6376181	appears to be good 
0.9985347	0.83948267	i love it
0.9736662	0.8072640999999999	great case for the money 
0.87670624	0.8210368	looks nice but not protective
0.040379196	0.49895364	disappointed
0.9276530999999999	0.7555735	nice case
0.005224049000000001	0.62524426	it doesn t snap to the phone
0.5554880999999999	0.5571893	cute
0.98091096	0.7726062	great product
0.08276358	0.56209075	not too durable
0.53008753	0.66877484	looks good doesn t slip
0.9947654	0.81911933	solid simple iphone 4 4s case 
0.5760927	0.71893275	cute slim for the price point
0.9543048000000001	0.8132842	sleek case
0.94715476	0.7382003	great case cute and practical 
0.99079895	0.80634815	review of elago s4 breathe2
0.9842153	0.8980179	aesthetically it s a gorgeous case
0.9909370999999999	0.84239936	best iphone case ever 
0.9981034	0.8348084000000001	perfect for my 4s 
0.34011698	0.47969145	not fit well
0.39285555	0.36569124	case arrived damaged was a pos anyway
0.90063727	0.67245436	exact same color and shine
0.11518061	0.5753534	best cases
0.36774307	0.61513925	nice texture
0.96752954	0.846986	great slim fit
0.22032039999999997	0.7105008	good product
0.4317759	0.6767864	loved it but already cracked
0.026891707999999997	0.6221116999999999	lacking
0.9689474	0.8101895	beautiful
0.72069466	0.6967621999999999	teal elago breathe2 case
0.8990277	0.75163937	sleek and modern
0.989503	0.6817696	excellent case i4s
0.002546221	0.6502695	0 stars if possible
0.23716679	0.68649477	case feels nice but it doesn t fit my 4s
0.4105553	0.51346177	no protection very slippery 
