sentiment_scores	genuineness_scores	summary
0.89989376	0.64019394	great screen protector
0.43241996	0.53165424	better visual less smudges
0.9931898000000001	0.86446655	works well difficult to install perfectly 
0.98872215	0.8119736	excellent quality
0.24616796	0.28249055	i have ordered for clear matte but received clear invisible
0.40464735	0.54805285	good protector if you have the luck to get one 100 ok
0.9885278000000001	0.7614310000000001	unlike any of my previous phones
0.9920360999999999	0.75758797	good
0.9868353999999999	0.81540895	extremely pleased
0.28058147	0.34575248	good quality good price
0.2788239	0.5189094	decent screen protector
0.99259704	0.72502303	good one
0.95891553	0.78132284	great screen protector 
0.97528714	0.8328996999999999	the best fit and easy installation
0.28789163	0.46105123	firsttimeuser
0.97297645	0.71176165	great product
0.99456954	0.7226826999999999	feels like glass 
0.648984	0.7104951999999999	good wtih good price
0.99532855	0.82776153	halo screen protector
0.5433939	0.5935628000000001	not slippery
0.98350203	0.826507	as good as it gets
0.94965076	0.8453294	good for the value 
0.7048725	0.5775988000000001	clear and high quality
0.31464034	0.5366419	great and great price
0.9903278	0.7369366999999999	so simple even my clumsy self can do it 
0.88134617	0.80849063	i m liking it 
0.9942628000000001	0.80247426	easy and working well so far
0.9828026	0.7539276999999999	worth the price it s been offered
0.64965636	0.65979224	pretty good product for the price
0.99326515	0.8568119000000001	excellent easy to apply no bubbles 
0.9921428	0.7430722	great screen protector 
0.8438299000000001	0.8026348000000001	works great 
0.88667697	0.6566793000000001	easy to use and quick to arrive
0.27963507	0.5459109000000001	economical and work well
0.008375585	0.42735457	was not as described
0.78234273	0.6571018	it is fit for my nexus 4
0.49671835	0.61585724	quality product is hard to install properly
0.045330256	0.48125315	horrible quality difficult to apply lots of bubbles
0.047140657999999995	0.43327093	not up to mark
0.91643405	0.75954676	easy to install
0.036260486	0.3826304	does not fit nexus 4 
0.60511863	0.634505	good screen protector
0.79771864	0.6964441	work great protected my phone
0.52893054	0.5404182	fine an air tight room 
0.92983204	0.73150843	nexus 4 protector review
0.82539386	0.710856	just what i need
0.8040130999999999	0.6774271	excellent protector
0.9665055	0.8203234	great buy
0.16647777	0.44639799999999996	hard to apply works fine
0.49614498	0.52679515	plasticy protector 
0.7671361999999999	0.42325458	really good
0.40247756	0.7133278000000001	works 
0.95625997	0.7548161999999999	a great screen protector for the nexus 4
0.9817366	0.66476935	best dry application screen protector for nexus 4
0.92479	0.7262685000000001	good purchase
0.88399434	0.7822478	cant beet the price
0.9913586	0.83858246	execellent quality for a superb price
0.878915	0.7541912	these are the sps you want to buy for your nexus 4 
0.043133944	0.41478074	don t buy this product
0.8835082000000001	0.8156705	was looking for a screen protector and it works
0.9252804	0.684732	3 pieces
0.9205036	0.74448943	pleasently suprised with affordable halo screen protector 
0.96369326	0.7694286	awesome
0.9413581	0.6861393	quality product
0.8861271999999999	0.7991275999999999	almost perfect
0.90067786	0.7034904000000001	as good as any 
0.9861595999999999	0.7532333000000001	nice protector
0.9847347	0.84523046	easy to apply looks great
0.9302113000000001	0.8180668000000001	awesome product
0.97861266	0.56542933	easy great product 
0.9573596999999999	0.7819754	work great once installed
0.36229762	0.5900306	100 terrible 
0.6898989000000001	0.64753485	works great
0.867893	0.69492984	smudge and fingerprint
0.65878254	0.47007042	great screen protector
0.99047846	0.8475123	light and works well
0.9945754000000001	0.8432877000000001	easy to apply 
0.1446824	0.49409359999999997	good except for one issue
0.9835476000000001	0.7391944	works great
0.9581178	0.79195476	good deal
0.11634597	0.5701632	halo screen protector
0.9185241	0.7619736999999999	good and easy to apply proector for nexus 4
0.9767530999999999	0.8534318000000001	very slick you don t even notice it s there 
0.9405530999999999	0.83233273	great screen protector
0.9738521000000001	0.68069196	nice sturdy screen protector
0.6621597	0.5810797	perfect for my nexus 4 
0.995957	0.8563725	perfect fit
0.5447732	0.5968259	good value
0.9043385	0.83262193	weird cut
0.19394895	0.47317228	not bad
0.41295020000000005	0.38990477	screen protector review
0.33355838	0.5663953	great quality screen protector impossible to install
0.8060553	0.7136558000000001	seems like a decent screen protector but immensely hard to apply and some were dirty
0.08725646	0.45727822	screen protector is really small
0.99724257	0.87916106	keep the packing tape handy 
0.6248744	0.7205628000000001	doesnt fit quite right
0.83640695	0.7126213	great protector 
0.111753404	0.60102004	i gave up 
0.91215134	0.5440563	gets the job done
0.99254787	0.8361613999999999	great screen protector
0.9525058000000001	0.6541071999999999	does the job
0.9966123	0.8619019	great screen protectors fantastic value
0.994618	0.8451152	easy installation
0.9451909	0.8242530999999998	great screen protector quality i highly recommend it 
0.49985155	0.59599054	does the trick
0.8647796	0.7041079	very difficult to apply
0.9988120999999999	0.9064481	excellent product 
0.99081695	0.8524514999999999	nice protector
0.7076043000000001	0.5960664000000001	screen mostly protected
0.7714335	0.7597991	good screen protector some flawed 
0.9448941999999999	0.6576847	no complains
0.96897596	0.77739775	the first screen protector that worked the first time 
0.005560725999999999	0.4383379	impossible to apply utter waste of time and money
0.23278731	0.5061376	great screen protector if you can get it to line up juuuust right 
0.29336017	0.6760371000000001	great instant screen protector at very little cost
0.7113451999999999	0.7966503	easy install
0.98712677	0.7369397	halo screen
0.99508137	0.815739	good screen protector
0.99628365	0.8682066999999999	the best
0.91146857	0.7265403	fit well
0.9857551	0.78064585	great fit on the raised edges
