sentiment_scores	genuineness_scores	summary
0.9993392	0.8029368	loved it so much that i got a second one for my firends
0.9795651	0.686717	rich sound 
0.016311586	0.39613503	just useless
0.93986785	0.81853414	i love this 
0.99653995	0.8012239999999999	great buy 
0.9984021000000001	0.8434613000000001	exactly as described
0.75405526	0.8304879000000001	annoying controls
0.5893678000000001	0.73052645	it is what it is
0.9749015	0.8101472	the little ball that could 
0.98460627	0.78983724	excellent impulse purchase
0.9998826999999999	0.7788956	great sound 
0.99613494	0.8251561	for the price this has the best sound clarity and loudness that i ve heard yet 
0.47796109999999997	0.75517523	volume buttons fussy
0.940456	0.8673774	no cons come to mind 
0.9954132	0.8299226000000001	perfect room speaker
0.011787862	0.5668019	stopped working save your money
0.047342837	0.55153966	a great product at the first sight
0.9745482	0.7568048	amazing sounds packed into a small package
0.9619133	0.65342975	geat design great sound
0.99772656	0.87650764	great little speaker
0.9966185	0.8211514999999999	great 
0.32368255	0.6916083000000001	great product not so great company
0.31948352	0.7876922	good speaker bad buttons
0.99475896	0.7950927	little powerhouse
0.21720469	0.55159885	sounds good 
0.83804333	0.7974558	good speaker with minor drawbacks
0.9683521	0.79516125	great but bit light on bass
0.26895759999999996	0.69183767	doesn t work out of the box 2nd one works great 
0.9979523000000001	0.580379	gogroove bluesync or3 oirtabke wireless speaker
0.019923776	0.40350586	i wanted to like it
0.5848306	0.19862181	it was a gift and the recipient liked it
0.9154725	0.8268643	great battery good buy
0.8321171999999999	0.7536516	great product
0.9905202	0.7754058000000001	great speaker
0.56885606	0.75067115	great little speaker update it died
0.37223467	0.7850100999999999	nice doesn t take a lot of abuse
0.9593905	0.82064974	very good sound for a small packed device
0.90808177	0.75321007	great sound
0.95329785	0.7704446999999999	this thing is perfect all around almost
0.99426365	0.9071125	the little speaker that could
0.99351686	0.8912252	great sound in a small package 
0.6307365	0.64248604	great sound
0.9972155999999999	0.8519546999999998	i made the right choice
0.8280877000000001	0.7583326	seriously flawed spec frequency range 20hz 20khz
0.40352714	0.57459795	a bit too big and heavy
0.9824371999999999	0.83061635	amazing sound and battery life
0.8708148000000001	0.79740393	kind of a let down
0.9974896999999999	0.8580776	love this speaker 
0.53047246	0.60811263	you simply can t beat it for the money
0.50423074	0.62473893	cool beans yo 
0.98892903	0.8937771999999999	sounds very good and it just works 
0.43838975	0.6600657	weak output and annoying volume power buttons
0.028167188	0.5547012	piece of garbage
0.8728045	0.7275632	great solid product i would definitely buy again
0.117690474	0.42935503	terrible interface ruins this otherwise average product 
0.009888916999999999	0.5643905	3 months and dead
0.5785083000000001	0.76705	impressive sound
0.7958895	0.6874013000000001	good sound 
0.04956004	0.51897305	not worth the money spent
0.99160147	0.76009333	this thing is for real 
0.9975852	0.904933	excellent portable bluetooth speaker
0.22930050000000002	0.6910335	perfect solution for summer patio listening need an upgrade for everyday home speaker 
0.9899521000000001	0.6795677	this speaker sounds great for the price 
0.9729179	0.75972706	works great
0.9820691999999999	0.76972425	the fun music ball 
0.90865153	0.77468634	when it comes to small bluetooth enabled speakers there is no better
0.9385646000000001	0.7522962	amazing
0.9963584000000001	0.7390989	great christmas gift for college student
0.98421705	0.8236022	great product love it
0.2800904000000001	0.6313493	average
0.012773453999999998	0.60739297	wish i d used it more before the return period ended
0.8864854999999999	0.8195306999999998	good clear sound manual is inaccurate though
0.18512243	0.65904313	good sound
0.008555829499999999	0.50642073	product came in defective returned to seller 
0.9980093000000001	0.83602023	awesome speeker
0.9921194	0.7818934000000001	great sound mobility
0.9092988000000001	0.7830267	one of my best purchases on amazon 
0.40293556	0.70999265	great sound poorly made 
0.9989046	0.7055321999999999	great speaker easy to use 
0.55266243	0.7562225	audio cuts off at high volume and stays mute for awhile 
0.0016674697	0.71368146	pieces of crap
0.9827769000000001	0.8111371999999999	battery lasts a long time and has good sound 
0.006534636	0.29453337	no product manual or instructions
0.95655316	0.7523875	worked perfectly
0.9240283000000001	0.7151835999999999	terrific
0.9000299	0.72890085	very good
0.8563405000000001	0.7056063	could be better 
0.95904815	0.80594754	the best portable bluetooth speaker 
0.991815	0.74226916	an amazing globe
0.0041464865	0.5457721999999999	save your money unless you want a poor quality doa item 
0.287722	0.5903275	not as loud as i expected
0.9964114	0.78264225	love this thing 
0.7679144	0.7083719	excellent range 
0.22052175	0.6684357	good but bad
0.6427409000000001	0.80009687	ok for the price
0.99051356	0.8300175999999999	best gift for music lover 
0.017767042	0.7544188000000001	good for less than a year
0.99981165	0.9033116	great sound easy to use
0.9911325000000001	0.81855804	wonderful 
0.9918075999999999	0.80638003	awesome little speaker
0.9907483	0.80543435	great device for syncing to my iphone 5 
0.06940758	0.41813576	poor sound quality
0.0029652416999999998	0.563684	great idea poorly implemented
0.60570514	0.79390794	mighty mouse 
0.31133336	0.8246671999999998	bigger sound bigger size than you might think and with more problems too 
0.9748276	0.7827141	this is perfect for me
0.99672186	0.77077353	great for the golf cart
0.9719001	0.75893795	sounds great and is very convenient 
0.9004475000000001	0.77190566	decent sound for your money
0.85284716	0.79680264	i was prepared to be underwhelmed but i m very impressed 
0.54577416	0.69799745	crazy battery life good sound
0.97975135	0.791111	great little ball of power
0.99620986	0.8231746999999999	great little speaker 
0.9997115	0.8692974	quality speaker with good sound and connection
0.18093035	0.6773089	sync glitch
0.99328923	0.74560297	perfect
0.28545874	0.65077204	quite a bit of static
0.84887815	0.8224906999999999	good speaker 
0.9654902	0.77035165	awesome lil speaker
0.96890545	0.6890799	great sound and battery life
0.98694956	0.8962995	great quality sound range and long battery life
0.9953270000000001	0.8377136000000001	great sound great value
0.9975357	0.8584446	best all around
0.9934001	0.7582389	love this speaker
0.9827001	0.75219077	great
0.05560285	0.5625061	not as loud clear sounding for the price
0.90123534	0.7028599	great speaker works with iphone 4s
0.9817431000000001	0.77765965	jhm52
0.12616009	0.5922012	fading fast
0.984734	0.7375144	nice quality bluetooth speaker great battery life 
0.05086842	0.5733465999999999	ordered two neither work
0.93492836	0.7630634	pleasantly surprised
0.8585591999999999	0.77850235	great sound but poor craftsmanship and would worry about long term use
0.9286690000000001	0.72184396	amazing value highly recommended 
0.6868503	0.7431645	what a delightful surprise in a small package
0.63496226	0.7855915	disappointment
0.028504461000000002	0.5344793999999999	run away do not walk if thinking of buying this 
0.74318695	0.68196684	hmdx jam not this crap
0.99602556	0.762848	five stars
0.9947829	0.76489073	great product
0.9885335	0.57409024	great value
0.8721405000000001	0.73364943	terrible service
0.99928033	0.82715905	excellent portable speaker
0.34146553	0.3898018	it s simple and sounds great why pay more 
0.0147738755	0.639047	doa
0.9763919	0.71586585	great purchase
0.99229383	0.8810693000000002	excellent wireless speaker 
0.9932492	0.73106277	awesome
0.058606327	0.63646275	average wireless speaker
0.4757674	0.79585594	solid speaker system but lacks 
0.85381365	0.73831344	great quality sound just two little annoyances
0.5684429	0.7278393	you get what you pay for 
0.87357986	0.81596416	exactly what i needed 
0.9908761	0.73951423	great
0.93922263	0.6970312	nifty
0.994943	0.78874946	some items deserve 6 stars
0.9888587	0.8348752	superb battery life
0.26881042	0.62018955	beeps like battery is dying
0.0021485388	0.69769984	i ordered 2 and both were defective 
0.996474	0.7379565	just right for ipad
0.99382913	0.71144855	great product 
0.99156654	0.8246667	love this little speaker 
0.9972466	0.85407186	awesome 
0.0012234747	0.7953121	six weeks of ownership and unusable
0.7086865999999999	0.812333	overall a decent product
0.9856231	0.6729016	good product and seller
0.984259	0.8416769000000001	not a show stopper but a fantastic buffer for all devices 
0.9858046999999999	0.80762506	great product
0.53676605	0.582802	it not bad for cheap speaker
0.97809684	0.79270047	loud great sound
0.98769605	0.82726884	nice little speaker
0.70090353	0.50320876	awsome speaker for just that little money
0.60155314	0.42985672	i like it wife hates it 
0.0075338185	0.7232810000000001	does not last
0.9930055	0.7793210999999999	great portable speaker
0.9084636999999999	0.7126576	pretty average
0.85547054	0.7225471	great sound that is loud enough and simple bluetooth connection
0.0066254734999999995	0.52634907	dented upon arrival and sound quality and connectivity is poor 
0.9891880999999999	0.75739497	everything it said it was at a great price
0.9033828000000002	0.8031146	great until it stops working
0.49837324	0.6473275	not the fullest of sound ok for vocals and talk
0.74722654	0.6942754	not loud enough and no bass
0.31168073	0.6951122	did not work right out of the box but seller good about the return
0.004546225	0.6580564	didn t last long
0.9941995000000001	0.773556	what amazing sound
0.9978540000000001	0.8542533999999999	awesome little speaker 
0.9966075999999999	0.7991539000000001	excellent
0.9989511000000001	0.75558084	perfect
0.02844876	0.68128526	would have scored more points were it not for annoying issue with directions 
0.6154486	0.7733984	possible faulty unit will never know 
0.98956084	0.8023387	its pretty good for the price
0.9852536	0.73169935	i love these speakers
0.9085851	0.7581456999999999	for realz really good speaker
0.05315858	0.3244118	not good sound quality
0.99924344	0.8517306999999998	awesome
0.0027967990000000004	0.45297775	dead on arrival
0.9279056999999998	0.7725462	seems great for the price so far 
0.9029376	0.6335385	great product and awesome customer service 
0.2647522	0.39979038	great sound 
0.90200293	0.6449116	best speaker i ve ever used 
0.1462914	0.43662906	poor performance 
0.058438033	0.29095864	i lost 50 dollar you thing is ok
0.9997388	0.8625573000000001	amazing rugged portable speaker delivers 
0.98561895	0.66385955	five stars
0.9968859	0.876318	stylish and sound quality is good
0.13515916	0.6116159999999999	good
0.9862228000000001	0.8193824000000001	gogroove bluetooth speaker
0.044022232	0.35329145	it did not work and no customer service
0.023917197999999997	0.2574939	your mileage may vary
0.006650209399999999	0.5251136	sound quality if very poor on top of it it does not charge return it tomorrow
0.33613014	0.502185	its okay
0.99236405	0.68478143	great sound 
0.009347022	0.7121973	worked for 1 week 
0.5348709	0.5325356	died replaced under mfr warranty
0.03237304	0.46273705	received defective unit
0.66132027	0.4771675	gogroove bluesync or3
0.8401709999999999	0.72647345	okay while it lasted
0.73793757	0.5452185	good if you get one that works
0.9971529	0.8334700999999999	great product 
0.03589222	0.34353283	gogroove
0.17775717	0.50554776	doesn t work with iphone 4s 
0.81750697	0.74695516	decent sound simple operation
0.9273151	0.79673374	i never leave home without it
0.06435767	0.51858646	good until it rolls then no support
0.1602639	0.59690404	not properly charging
0.26755565	0.66602755	alright
0.99765897	0.8622112	a great value 
0.9918392	0.683897	awesome
0.1329504	0.4480659000000001	underpowered
0.9488603999999999	0.9293575000000001	freaking great
0.9996459000000001	0.8790658000000001	the wonderful speaker orb
0.9927942	0.770961	love the speaker 
0.024557382000000003	0.6732083999999999	lasted less than one day
0.015633464	0.59575194	bad
0.14789808	0.65731823	short battery life
