summary	sentiment	genuineness
I kept reading to get to the point...	0.1293818	0.34059846
Powerful	0.9454595	0.5033149
Where do I begin....	0.7207365	0.3310189
Amazing	0.97392446	0.7024879
Love Conquers the Time-Space Continuum (Yawn!)	0.057276994	0.69342107
An engrossing read	0.47119585	0.69499934
Well Written, Moving Read	0.98837864	0.56334364
Absolutely Fantastic	0.998621	0.73962927
Underwhelmed	0.013306002	0.25964746
Not Bad For What It Is, And No Better Than It Should Be	0.31438208	0.87425655
Excellent	0.96755433	0.7194748
Characters stay with you	0.87661374	0.66956407
The Time Traveler's Wife	0.99950385	0.77851367
WHAT AN AWESOME READ!!!	0.96999365	0.74006975
Romance novel with sci-fi twist	0.07586438	0.67903143
Very Touching	0.514603	0.59827965
Old-fashioned love story with a twist	0.87658626	0.815154
Fun Fantasy	0.9090785	0.82440597
A bit of a letdown	0.00783388	0.7605413
Don't Be Misled By the Title	0.9996131	0.78776294
My new all-time favorite	0.98613656	0.76400316
Hated It	0.05093199	0.5885857
The Time Traveler's Wife (Harvest Book)	0.8225568	0.12296285
i wish i would have known	0.005830865	0.6746528
Really a Romance	0.8760307	0.8341988
Great story, but not without hindsight hiccups	0.38988832	0.7937474
Surprising	0.96765643	0.8180414
Glorious -- most favorite read since &quot;Middlesex&quot;	0.9861101	0.7707678
Great book!	0.99812526	0.52381
"""Had we but world enough and time"""	0.75755477	0.87032425
"Some of you just didn't  ""get"" it"	0.99441874	0.6800562
Worst written book I've ever read	0.0006765404	0.61194545
Okay for a first novel but needs and editor!	0.07904247	0.72172964
I laughed, I cried, it was better than cats	0.9717315	0.7622418
Starts great and fades	0.97747016	0.64116746
Room for improvement....	0.18130612	0.76330924
Leaves you thinking about it even afterwards...	0.9956779	0.75640047
Wonderful story	0.63398147	0.80522233
I don't understand why this book is so popular	0.05588694	0.6086855
Plays with your mind in a delightful way!	0.9122245	0.8702055
Confusing	0.22874525	0.4108414
Still Amazing	0.9820593	0.4131511
A good read	0.97178346	0.63167083
Critique or criticism?	0.8937067	0.6808068
Overblown by this sensible book	0.92261046	0.81334823
Could have been a charming love story	0.38011557	0.6551448
One of my favorite books so far!	0.98313797	0.7774781
It was ok, but...	0.8231987	0.7735698
Brilliantly realized	0.9223137	0.64673215
Great Book	0.9982911	0.6357686
Maybe I just don't get it	0.2687349	0.5532769
My New Favorite Book!	0.9588392	0.35218838
Amazing	0.8899771	0.60007894
loved it, loved it, loved it !!!	0.99371123	0.6209548
wonderful story, way better than the movie	0.99697566	0.62040335
I Love This Book	0.26231697	0.5772964
Whew, that was incredible!	0.99227715	0.54321855
Charming but lightweight	0.8494916	0.8074337
Pleasantly Surprised	0.9465804	0.71682936
Remarkable	0.8152967	0.7513079
give it a chance	0.86477554	0.74616265
Well done!	0.98486865	0.81294847
a poem about the book	0.9375323	0.5362502
Lack of depth ruins an intriguing concept	2.030869e-05	0.90314263
Best Book of the Last 5 Years	0.9798933	0.50034654
Bleh	0.37785223	0.6959539
Absolutely beautiful	0.9984769	0.7921742
Crude rubbish.	0.805614	0.7597256
Nice Fluff Reading	0.49586102	0.67537373
If you want to fall in love...	0.996549	0.6250914
Doesn't this remind anyone of Slaughterhouse-Five	0.73536134	0.6281643
Beautifully Written	0.97937256	0.7547335
Slow start, but worth the ending	0.2978996	0.56060827
amazing	0.98522305	0.56639767
The BEST book I have ever read !!!!	0.9968214	0.6885038
Neat concept but poor execution	0.95916075	0.6576505
Couldn't put it down	0.97712004	0.6945419
Yes, there is such a thing as adult science fiction	0.9412749	0.91413933
Hard to put down, and dangerous if you do	0.51979095	0.5816177
Remarkably enticing.	0.9962483	0.6605185
Never Found Better....	0.99583685	0.34812903
Intelligent handling of a trite premise	0.9987735	0.86224693
Couldn't lay the book down!	0.9783725	0.7448976
Let me go back and read it new again!	0.98997635	0.83639586
Terrific Love Story- Great Concept	0.95470726	0.8264355
You won't forget it.	0.96190464	0.31593484
Fantastic love story	0.9855218	0.65016526
A Modern-day fairy tale	0.7165043	0.5944393
Cool idea	0.11811613	0.6152739
Best Book Ever	0.9450087	0.27818707
Boring	0.0013914203	0.24334109
great, but....	0.81006986	0.44144073
Wow!  500 pages never seemed so short!	0.99291867	0.7297138
Smooth	0.8986391	0.6652889
All Time Favorite Book Now	0.9987295	0.7380451
Only order if you like Tragedies	0.95436656	0.7834361
Good idea, poor execution	0.015805842	0.61273795
This book was excellent!!!!!!!!!!!!!	0.9976659	0.6562919
enjoy your time	0.62104595	0.753281
astonishing, lovely, heartbreaking, powerful...	0.998606	0.75504404
Clever and thought provoking	0.80276006	0.66440254
Addictive!	0.9947225	0.6936657
Just Go With It	0.9195096	0.6480415
Mixed emotions.	0.88976145	0.64585036
Not Really Sci-Fi; More Like Groundhog Day	0.89546293	0.64526796
One of my all time favorites!	0.9930086	0.7537773
Annoying	0.01750937	0.41647276
This book hates reality.	0.016233906	0.8893285
Fire the Editor!	0.17494029	0.84452564
Wonderful love story, but some language is a little strong.	0.62686944	0.78420347
Please don't buy.	0.11064263	0.5443771
I gave it away and it wouldn't stay gone!	0.01644739	0.55088824
How is it even possible....	0.3577212	0.5653943
a new twist on romance.	0.0779008	0.5721393
A Moving Love Story	0.6881545	0.81561863
Oddly charming	0.9899276	0.8796945
Original!	0.3905519	0.52953535
Bookclub Review	0.97487813	0.78659195
beautifully heartwrenching	0.99058926	0.7872831
Does time travel come with a case of multiple personalities?	0.37798995	0.6406583
Enchanting - horrible ending though!	0.9818763	0.8301658
Unique and memorable	0.6908817	0.65748745
A book that will keep you up all night!	0.99941695	0.68868273
Wonderful!	0.79426086	0.54026055
Awesome book!	0.9962781	0.30760866
Astounding	0.99835074	0.7752987
beautiful book	0.9958334	0.7051097
Interesting but depressing	0.20288806	0.6999341
amazing	0.99713993	0.7968495
Couldn't put it down!	0.9951637	0.7484881
A captivating love story that you won't want to put down	0.9982943	0.8284764
Amazing first novel...	0.9486376	0.8012687
This is a wonderful adventure	0.9963529	0.76227754
Slow as molasses, gobs of unnecessary detail, shallow relationship, boring time travel, Nicholas Sparks not sci-fi	0.11420661	0.6921899
Amazing for a first work.	0.97830665	0.7188883
Best book of the year	0.9947266	0.7474865
Deeper than the Movie	0.9775392	0.81358004
Best book!	0.98068225	0.5996346
Well written, romantic adventure	0.7354404	0.8312483
Really Excellent	0.96620643	0.56466365
Phantasmagorical Ride....but...	0.5120738	0.6494089
Ruined by an unnecessarily depressing ending	0.13007411	0.6543662
Very Engaging	0.99423367	0.6968105
No thank you!	0.2128711	0.2716731
Perseverance Pays Off	0.41655675	0.7779824
Tricky Concept Disguishing Poor Writing	0.021490084	0.53781486
Depressive-sadistic	0.07843161	0.57259035
Time Travel Should Have Been More Believable.	0.43951896	0.6038568
A little romance, a little science fiction	0.9700033	0.90980166
Original and compelling- loved this book	0.96768314	0.71295065
You can feel the love but not the plot	0.006579566	0.870601
Excellent, excellent book	0.99093634	0.7531548
Well-written, but strangely aloof	0.7008879	0.8247524
Amazing.	0.9983728	0.75230265
So fast	0.9244928	0.116187625
Very good	0.9753922	0.05188451
It's Not Science Fiction	0.0921125	0.660116
Awesome!	0.9830456	0.7144611
LOVE THIS BOOK	0.9715154	0.6024814
