summary	sentiment	genuineness
Made in China?	0.8820851	0.76527834
Hoover Tempo Widepath Vacuum eats up dirt with gusto!	0.9649837	0.75618017
Read this before buying a $300+ vacuum cleaner	0.91087335	0.9365887
Great Vac for the Money	0.9542073	0.92108536
How to get an item from you	0.14051175	0.23613311
Excellent Value & It Works!!!	0.99258065	0.95782936
Great Vac	0.11493811	0.47660044
Excellent vacuum	0.99851996	0.8858794
Good Product	0.97559524	0.7656233
Works well for the price	0.8392387	0.8497339
A great machine,	0.9822796	0.62756974
Lightweight, powerful, reliable and incredibly inexpensive.	0.9217471	0.8967464
"A Good ""2nd floor"" vacuum choice"	0.83299327	0.92340827
A great value for my needs.	0.8149416	0.8675567
Love My Hoover Tempo Widepath	0.93330604	0.8955465
my mother's dreams of my being a good housekeeper are semi-realized	0.98943806	0.8547529
Product Pictures Incorrect	0.06914094	0.87513626
One of the best vacuum cleaners I've owned.	0.9893714	0.9013108
Great but...	0.72110224	0.8062468
Poor & Awkward Design...	0.1937542	0.8712596
ECONOMICAL	0.7713513	0.8855453
Value and power!	0.99067885	0.88436985
Great Vacuum - Great Price	0.92067957	0.84703547
Hoover Widepath vacuum - disappointing	0.33326697	0.8546247
Seems Great, Band Broke on First Use	0.8942482	0.8363714
Good apartment vacuum - brush belt broke after 30 mins	0.49224022	0.84881586
Best Value for the dollar	0.98771745	0.82781696
Reliability problems	0.5091193	0.8820194
doesn't work on bare floors	0.12587172	0.8078219
good vacuum, but don't buy the combo!	0.96124786	0.8492261
Best Value and Quality--Rare Find!	0.9995653	0.9001601
CHEAP & GREAT	0.94218254	0.77275133
never received the item	0.2941621	0.19960542
Great value!	0.8512819	0.91884506
Great vacuum for the money	0.9529307	0.85356873
Excellent!!!	0.9942788	0.78079736
Incompatible parts	0.05888902	0.6765044
Super Vacuum for the Price Range(or any Price Range!)	0.6726205	0.83713925
Can anyone help me?	0.5422571	0.36324698
Good vacuum on a budget	0.64808846	0.8197224
keeps dying	0.91570973	0.82704717
Hoover has always been the one for me.	0.9746635	0.77788895
Buy this thing! Now!	0.7755528	0.8712603
inexpensive hard worker	0.9939871	0.9032506
