sentiment_scores	genuineness_scores	summary
0.20138463	0.6479633	it s ok 
0.43349648	0.7280656999999999	searching for other options 
0.893703	0.8448976	poetic case works and looks great
0.9798713	0.82903326	super official
0.24323222	0.66809374	cool but a major flaw 
0.7631844	0.675193	good case 
0.0020365120000000003	0.6610828000000001	misleading picture
0.9992218	0.9224319	good protection yet maintains slim profile of iphone 5
0.178898	0.531224	terrible
0.9871277	0.6845218000000001	fits perfectly 
0.030117542	0.60848314	the product quality is not good the edges of the plastic that holds the rubber started leaving the edges
0.9697273000000001	0.79402834	great buy
0.12540233	0.51990503	poetic
0.9585872	0.7104493000000001	perfect case fits phone perfectly thin 
0.5593381	0.13142088	nice case
0.9854591999999999	0.8337082	amazing case
0.9860499	0.7904223000000001	great iphone 5 case
0.9463485999999999	0.84479046	preserves the beauty of iphone 5 with some minimum protection
0.0411157	0.42131102	not worth the money 
0.008852094	0.4667625	picture is misleading actual case is ugly 
0.29155946	0.71990293	better but not perfect 
0.021138668	0.58472586	save your money
0.9706745000000001	0.73648244	great case
0.9262415	0.8561907	definite pros and some cons
0.005883485	0.6621333	terrible fit
0.98165315	0.7881249	nice case
0.5882963000000001	0.61360455	simple and sober
0.09587422	0.6037853	trash that looks good from far away
0.68908745	0.8469241	perfect compliment to the iphone 5
0.19511423	0.41804734	its ok
0.99376893	0.78776276	love this case 
0.060207695	0.52833885	poetic case
0.96784323	0.7054712	slim sleek case
0.9945344	0.8150879	solid iphone 5 case
0.7580838000000001	0.7188901	good not great
0.40940857	0.698396	good quality for the price
0.059161693	0.52635896	fine until you have to remove it once
0.9957944	0.8201734	awesome
0.32319117	0.53523016	tight fit
0.96665823	0.83436215	great case for white iphone
0.21581474	0.6941130999999999	a pain to put on and take off 
0.19895309	0.71776384	description is not accurate
0.6911398	0.6798390999999999	okay
0.031618327	0.5433799	very pleased
0.9469429	0.8079394	what a case 
0.22136143	0.44306082	not red 
0.01929447	0.5885912	not a good case 
0.95861644	0.8510088	sharp lookin good fit
0.80273366	0.53357375	impossible to remove
0.9848216999999999	0.85306394	perfection
0.6951609000000001	0.80227387	excellent case for the iphone 5
0.038925946	0.38121697	gets really dirty 
0.90767866	0.74933034	great item 
0.841082	0.83744055	almost as good as a bumper 
0.9772199	0.7699778	very sturdy and clean
0.94840777	0.7232621	fits great and still shows the beauty of i phone
0.9789295	0.80833995	great case
0.9637333	0.78559035	slim snug fit
0.9238195	0.83226264	love this case 
0.66047496	0.7715863000000001	good with one major flaw
0.7354285	0.66165626	great case
0.99722457	0.8815463	perfect
0.9490299000000001	0.76500607	nice case
0.9512093	0.8541479	im a tough reviewer and this is an amazing product
0.12306559	0.64387107	too flimsy at bottom
0.5782499	0.6572081	great but i can t get it off 
0.057497084000000004	0.5959962	cannot plug into charger with case on
0.233908	0.5490713	slim design 
0.56996113	0.5811997	quite nice
0.9700081	0.86686766	mostly good
0.20028004	0.46251175	it s a really nice item
0.19329646	0.5491111999999999	eh
0.040747136	0.60556126	5c i cant even use it 
0.9361743	0.7668480999999999	awesome case 
0.00087600946	0.55949914	already in the garbage
0.9107443999999999	0.8740401	like a glove
0.5214858	0.7039229	protects against bumps but not drops
0.9939213	0.79632056	good case for the price
0.13498482	0.6389729999999999	truth
0.9827279000000001	0.83106613	best case i ve found so far 
0.8027911	0.6662437	looks cute but 1 hit and get scuffed
0.0038747490000000002	0.5443673000000001	too small wrong size
0.9205377	0.7349852	best case i ve ever owned 
0.7152271	0.7878258	why this case isn t perfect 
0.99131036	0.814675	sleek low profile case
0.9741209999999999	0.6560903	fantastic case
0.045824199999999995	0.492648	case gets dirty very easily
0.03859994	0.40589687	you break it you own it 
0.075528085	0.5152654999999999	ups 
0.31675842	0.831478	i don t understand the fascination
0.041048914	0.56508595	similar to other reviews
0.9764234	0.90638506	excellent best case i ve owned 
0.9674703000000001	0.6942434000000001	awesome
0.9970555	0.78036296	great case
0.31780738	0.63246584	hard plastic case feels cheap 
0.9961128	0.84801644	exactly what i was looking for
0.9858759	0.79760516	great case
0.9899061	0.8752447	very impressed 
0.77826434	0.72213954	study and affordable
0.059303463	0.42683014	quality
0.15523425	0.462438	don t like it
0.9913603999999999	0.78753716	good case
0.29672986	0.6227409	a minimal case but slippery as can be
0.9938530999999999	0.75953597	poetic atmosphere case
0.0037063956	0.5017145000000001	freddy g
0.20504043	0.66227376	case removal damages phone offers minimal protection
0.96860087	0.80376065	great case 
0.98298407	0.863706	love these cases
0.87652916	0.91162133	excellent compromise between protection and bulk
0.9825796999999998	0.7788956	perfect
0.99099183	0.9333868000000001	should be the official iphone 5 case
0.8361876	0.7181951	great product
0.8564153	0.7063264	nice case but
0.9370276	0.75056005	solid case
0.0020465254999999997	0.590138	be careful scratches black iphones
0.9701134	0.77189904	love this
0.644016	0.70401824	good but not great 
0.90068924	0.78808916	poetic atmosphere case
0.56446826	0.49344948	makes white iphone look like a cheap toy
0.97642255	0.74467134	good deal 
0.9713229	0.8128449999999999	poetic atmosphere nice case reasonable price
0.9972506999999999	0.83830756	great product for the price
0.7884266	0.7983284	excellent case
0.98243225	0.7395345	great case
0.98673224	0.82092524	great simple case
0.96240306	0.81402147	loved it 
0.20694298	0.598115	good case butttttt
0.031442165	0.45471300000000003	terrbile
0.008648723	0.65329635	the case was too tight hard to take out
0.8382809999999999	0.8463298	best iphone 5 case i ve seen
0.13551256	0.3998837	won t accomodate the ipod adapter
0.37365007	0.5399143	one of the best cases ever 
0.9779979999999999	0.8731286	very awesome case 
0.15123492	0.49792334	hardly to remove it
0.9879719000000001	0.8473908000000001	the perfect yes perfect case for the iphone 5
0.93554676	0.87760293	iphone 5 s best case
0.9620743	0.8489377	pleasantly surprised 
0.5163386	0.6187804	great case
0.060272455	0.58070683	think twice about the negative aspects of this case before buying 
0.015011072	0.589987	cracked and scratched in 2 weeks
0.35979408	0.6756935000000001	pretty nice but ultimately flawed
0.9096184000000002	0.7849369	nice does what it needs to do 
0.39318037	0.7446468	power button issues after 4 months
0.9324901	0.7328275	stained easy but seller worked it out for me 
0.99919766	0.92643344	best case for iphone 5
0.9847334000000001	0.79272616	nice case fast shipping
0.06438783	0.48172380000000004	you get what you paid for or less than what you paid for 
0.40146297	0.6027477	doesn t work with 30pin adapter
0.9863173000000001	0.7717071999999999	great product attentitive customer service
0.9926264000000001	0.90584713	best iphone 5 case there is and ever will be 
0.67000157	0.68954897	super skinny case provides scratch protection and a bit of drop protection
0.7537007	0.8280921	great case
0.9992366	0.7904666	amazing 
0.63921356	0.76427424	fits like a glove but lightning adapter won t fit without modification
0.26964617	0.49950036	ok
0.9985748999999999	0.8792844000000001	excellent case
0.36208308	0.7183944	great case but too tight
0.92189527	0.6930377	perfect 
0.6056520000000001	0.6317488	fits like a glove
0.98182404	0.7961967	wow i love it
0.19377792	0.26354963	lost it in postal office
0.99045444	0.77475774	just what i wanted
0.9878805	0.8781677	love this case
0.98429924	0.79679847	quality thin case
0.9992447	0.88047755	look no further
0.48891905	0.6327869	not bad
0.034237474	0.58759	frustrating
0.98277676	0.80549055	great case 
0.69909847	0.6076753	not compatible with lightning to 30 pin adapter
0.26146537	0.69232637	pretty good case for the money
0.9459584999999999	0.807539	exceeded all expectations 
0.93540883	0.884233	best of the low cost cases for the i5
0.49214172	0.77594054	 must read nice case but two major flaws
0.083559096	0.43821499999999997	perfect for my iphone 5c
0.87943816	0.7879349	fits perfect and great look
0.92877096	0.6534765	amazing
0.45423168	0.536459	watch a tutorial video
0.97694606	0.74825674	great case great price
0.12052208	0.43952495	air pockets
0.8227485999999999	0.81137514	excellent product great value 
0.5239402	0.7595722	i have an irrational love for this case
0.86094844	0.75183815	cool name good quality
0.9951309000000002	0.7989968000000001	i love this case 
0.955541	0.865374	great case for the price
0.99715424	0.8505673	beautiful durable case
0.09324711599999999	0.7261516	30 pin adaptor does not fit to allow powering up
0.6816258000000001	0.63326716	good case for a good price
0.6744635999999999	0.6944878999999999	good product
0.08041349	0.5830656	really hard to take off
0.24281672	0.46478957	case is fine seller exact deal is horrible
0.34562802	0.5629714	nice but very rigid
0.3682366	0.6837821999999999	great if you never take it off
0.9975721	0.8505985999999999	great case
0.01987037	0.6832020999999999	was dirty within the first day
0.64376664	0.73280436	overall good case with a catch 
0.9566554	0.75740445	nice case
0.79325944	0.8224591	great case for the price
0.9950033000000001	0.8722619	simplistic slim case offers good protection 
0.5141952000000001	0.73288774	amazing
0.9276406999999999	0.85234797	yeah pretty cool case
0.9636551999999999	0.88793564	a great simple case 
0.99897915	0.8269366	perfect
0.9949372	0.8788524999999999	fantastic
0.99583507	0.82927585	outstanding case for iphone 5
0.76730776	0.6998492	good protection
0.52107173	0.66197306	great case
0.5517058000000001	0.6747621	it was ehh
0.97850466	0.8180348000000001	nice and simple
0.9998306	0.83932793	as described
0.03779325	0.6188149000000001	exact deal poetic atmosphere case
0.037219286000000004	0.3382448	pulls off screen protector right away
0.64077	0.23674369	bought it for boyfriend 
0.9956001	0.77992535	fits better than a glove
0.65686923	0.6614285	average case
0.99833405	0.8912245000000001	wonderful case
0.020224124	0.5763334	this is not a good case
0.38729727	0.29298145	that s awesome
0.45643532	0.6938780999999999	amazing case
0.9751933	0.76953936	very good
0.9683726	0.8202463	perfect
0.9957349	0.88417745	wow super nice
0.06208682	0.53381264	will not stay white very long 
0.9891399	0.7711321	case is a perfect fit 
0.34259862	0.5495494000000001	plastic quality not worth the price
0.17576670000000003	0.46075678	what the is this
0.2059322	0.44685403	not sturdy
0.037310272	0.57638365	broken iphone power button
0.9991064000000001	0.8322741	amazing looking case 
0.11269882	0.5006267	rigid material very tight fit
0.94021094	0.727224	love the case makes my iphone look even better
0.99777585	0.83327776	perfect product
0.123221755	0.46388733	not for me 
0.88745624	0.32665479999999997	great
0.9524093000000001	0.71228564	great case 
0.86033803	0.62879026	excellent case 
0.8856404	0.75475836	great slim iphone 5 case but red color sometimes looks pink 
0.9865023999999999	0.8327131999999999	great case
0.1753946	0.54581034	color changes
0.8068514	0.779403	greatest iphone case ever 
0.069496036	0.37587009999999993	poetic atmosphere case
0.08925909	0.5081618	don t be fooled by the hype 
0.14290515	0.6153234000000001	absolute pos 
0.8959527	0.8286091999999998	good case at a good cost
0.7411318	0.68339175	nice case but not the same as the picture
0.9492993000000001	0.76903164	will scratch your phone 
0.16105896	0.4948651	case literally soooo tight it is very hard to come off
0.95774317	0.82814777	the poetic case for iphone 5
0.98606825	0.89574826	perfect case
0.99652815	0.9018446	great case flash no problem
0.008173257	0.43566635	this case sucks
0.9944844999999999	0.8603264000000002	perfect case 
0.73044044	0.7796291	case was great plug in holes not thought through 
0.7151524	0.48459622	bad cover
0.5646093000000001	0.5438345	it looks great
0.7403343000000001	0.7592137	exactly what it says it is
0.89337844	0.8940761999999999	amazing case for the price pros and cons
0.90896636	0.8249890999999999	great case so far very tight fit 
0.98923635	0.88352644	good 
0.9992131	0.8801849	poetic atmosphere case for iphone 5
0.31186622	0.6528335	poetic case not so good
0.014880626999999999	0.33996183	horrible 
0.97605133	0.65996474	it s good 
0.0169079	0.48414862	disapointment
0.7709857	0.8102764	fantastic value 
0.95871484	0.83689123	excellent case and a great price 
0.26225606	0.67110896	nice case except
0.996302	0.8144554	great case great price 
0.049253523	0.31402904	bad
0.99682975	0.7768425999999999	love the case
0.030641556	0.57630265	can keep your phone safe but sucks 
0.010111928000000001	0.5769134	loose casing not worth the money
0.726562	0.76855063	extremely tight peels off your screen protector
0.6147142	0.7875223000000001	for the price you can t beat this iphone 5 case
0.9592430000000001	0.6928941	love it 
0.18988588	0.7161185	meh 
0.9658918	0.73848534	love this case 
0.093349844	0.4974456	liked it until i got my 30 pin adapter
0.95172876	0.8218551	great case with some caveats
0.99018395	0.8824235999999999	very nice case
0.9852226999999999	0.7562366999999999	excellent
0.3455541	0.6935674	very nice case but way too tight
0.88434875	0.70767397	love it in every way except really hard to take off 
0.007314861	0.74060357	not a good case at all
0.8025389	0.7471468000000001	just what i wanted 
0.98764145	0.8049755999999999	perfect fit
0.46621212	0.5472017	redder than the pictures but i would like more red 
0.7925736	0.7378856	nice case 
0.04056263	0.48460007	rubber sags
0.8794588	0.8228308000000001	excellent case
0.005134195	0.5604929	horrible case for an expensive phone
0.5762003000000001	0.4719144	not for black
0.006942332	0.6413143	poor case
0.99751496	0.8540601999999999	excellent design and quality
0.9938478000000001	0.6781482	product quality
0.03492105	0.51489115	this came highly recommended but i don t like it at all
0.47927505	0.6550800999999999	ehhh 
0.8441745999999999	0.8061756	perfect for my needs
0.95769846	0.9209163	just the super slim case i was looking for 
0.052685678	0.37692529999999996	sucks 
0.0031617284	0.5370178000000001	if you can remove it safely don t buy
0.04626918	0.57356274	not good
0.94366306	0.78156835	great case
0.24052116	0.40389359999999996	get it soon 
0.99078226	0.85968655	stunningly thin 
0.9657062	0.59223473	best iphone 5s case period 
0.98314214	0.77968276	best iphone 5 case
0.94180965	0.86478776	great case for the iphone 5
0.17636645	0.35896125	so which is it iphone 5 or 5th generation 
0.18332791	0.5959734	pretty
0.9847511	0.87937856	fantastic case
0.87715936	0.42112988	no complaints so far
0.016517699	0.66438437	update poor quality
0.43724227	0.63901913	great case for a great price
0.25157243	0.56433386	note
0.004377961	0.6256864999999999	poor quality
0.9758589	0.80594194	great protection and super cute 
0.45580068	0.62226427	nice but phone damaged when removed
0.98375297	0.73892564	fits well 
0.9976207	0.8956437	buy this case
0.040653914	0.6721984000000001	the truth about this case please read 
0.59619766	0.70962536	overall a good purchase
