asin,summary,sentiment,genuineness
B00A9LVA0Y,Product was awesome,0.99755275,0.7750701
B00A9LVA0Y,Not that great the price we pay,0.73084396,0.35501015
B00A9LVA0Y,Doesn't protect the phone,0.034736603,0.5908435000000001
B00A9LVA0Y,Definitely right,0.91237223,0.7835343000000001
B00A9LVA0Y,Awesome,0.81559175,0.7235048000000001
B00A9LVA0Y,This is the one!,0.9576836999999999,0.8126898
B00A9LVA0Y,Perfect!,0.9976912,0.8224107
B00A9LVA0Y,I did not like it,0.023964494,0.50206864
B00A9LVA0Y,Exactly what I was looking for,0.94590694,0.81927395
B00A9LVA0Y,You will Luvitt,0.59577084,0.59981096
B00A9LVA0Y,UPDATED (Hoping to receive the 1day shipment soon)!! Empty packaging only - DID NOT RECEIVE THE ACTUAL CASE!!,0.16501927,0.57654625
B00A9LVA0Y,Great clear iPhone 5 case,0.9942851,0.8796796999999998
B00A9LVA0Y,Great clear case for 5S,0.98733306,0.78497386
B00A9LVA0Y,Perfect cover for the iPhone 5S,0.9922614,0.8658299
B00A9LVA0Y,I have dropped my phone 3 times and not a scratch!,0.9733794,0.8532548000000001
B00A9LVA0Y,"This case is so great, I'm buying it again!",0.84577614,0.74773014
B00A9LVA0Y,Love this case,0.92580366,0.7259955
B00A9LVA0Y,Dollar store quality,0.004298985,0.6043975
B00A9LVA0Y,Great Case!,0.98564494,0.8347595999999999
B00A9LVA0Y,Doesn't protect from dust and dirt,0.2557609,0.5500265999999999
B00A9LVA0Y,Great 5s case to show off the new phone,0.9575347,0.7323415
B00A9LVA0Y,Simple and Elegant,0.99831843,0.9065689
B00A9LVA0Y,I LUV IT!&#128525;,0.7169317,0.54273415
B00A9LVA0Y,Look no further - this is the best iPhone 5s case you will find!,0.9710255999999999,0.90707606
B00A9LVA0Y,My iphone5s Gold now looks more elegant!,0.9955156999999999,0.8029331000000001
B00A9LVA0Y,LOVE THIS CASE.  WHITE IPHONE 5 IS GORGEOUS IN IT.,0.85854745,0.8320586999999999
B00A9LVA0Y,"Bad Quality, turns yellow, not recommend at all.",0.13029283,0.42359984
B00A9LVA0Y,Great case for 5s,0.48730615,0.7368809000000001
B00A9LVA0Y,Perfectly Clear :),0.99942803,0.8798332
B00A9LVA0Y,Then it gets this gray dirty tint and it looks awful,0.013596266499999999,0.50560784
B00A9LVA0Y,A back cover feeling that there is no cover,0.9580593000000001,0.7408422
B00A9LVA0Y,Awesome,0.9898349,0.75395423
B00A9LVA0Y,Love the sleekness,0.99965453,0.89925104
B00A9LVA0Y,Works!,0.95786536,0.55736643
B00A9LVA0Y,clearview case,0.69857734,0.7504951
B00A9LVA0Y,Really? $18 for that?,0.09619963,0.45327553
B00A9LVA0Y,not sturdy enough,0.009754747,0.53536665
B00A9LVA0Y,Awful,0.34799185,0.6131213000000001
B00A9LVA0Y,Beautiful,0.9960015999999999,0.8004145
B00A9LVA0Y,"Fits well, not bulky",0.89578325,0.75813544
B00A9LVA0Y,Perfect complement for your gold Iphone 5S,0.9985455,0.84854937
B00A9LVA0Y,THE CLEAR CHOICE,0.98808503,0.8237645
B00A9LVA0Y,Perfect!,0.99781156,0.82656187
B00A9LVA0Y,Good Case,0.8207501,0.6379963000000001
B00A9LVA0Y,Trully LUVVITT!,0.8729469999999999,0.7280482
B00A9LVA0Y,"Simple, Clear, and Protective!",0.9840218000000001,0.83942056
B00A9LVA0Y,"Case is good, but not perfect",0.89121366,0.7760399
B00A9LVA0Y,I do Luvvitt!,0.91895163,0.83048207
B00A9LVA0Y,I'm writing a this review after I accidentally drop my phone on street today,0.83327603,0.71765333
B00A9LVA0Y,Highly recommend it !!,0.9688766,0.6604019
B00A9LVA0Y,Case fie Iphone 5,0.21680093,0.37240118
B00A9LVA0Y,Very well made - great fit,0.8158930999999999,0.6590548
B00A9LVA0Y,Great Low Profile Case Shows Off iPhone Design,0.9986055,0.8887076999999999
B00A9LVA0Y,Good for protection,0.9400860000000001,0.76801807
B00A9LVA0Y,Great protection,0.9932940999999998,0.8107429
B00A9LVA0Y,Great Case.. Great Company,0.9817225,0.815348
B00A9LVA0Y,Doe snot fir the new iphone 5,0.026748717,0.54610467
B00A9LVA0Y,Compact But High Quality,0.99392974,0.9228654000000001
B00A9LVA0Y,Show off that beautiful iPhone!,0.9875927999999999,0.8163513000000001
B00A9LVA0Y,Love it!,0.973497,0.8277261
B00A9LVA0Y,This is easily the best purchase I have ever made,0.061302512999999996,0.35882533
B00A9LVA0Y,Not for longterm use!,0.18982014,0.61961955
B00A9LVA0Y,Too expensive ...shop around,0.01958406,0.56557786
B00A9LVA0Y,Gorgeous case and amazing customer service,0.9646634,0.7528833
B00A9LVA0Y,Great Case,0.9643867,0.7066085
B00A9LVA0Y,Still looks great!,0.9889939,0.8355210999999999
B00A9LVA0Y,very happy,0.97548175,0.8461616
B00A9LVA0Y,"Decent case, but has a few drawbacks",0.21972701,0.5462621
B00A9LVA0Y,Great!,0.96849823,0.83190036
B00A9LVA0Y,Terrible cover!,0.07599777,0.49054518
B00A9LVA0Y,"Sleek Case, Gets Dirty Easy",0.25646004,0.6239359999999999
B00A9LVA0Y,Great,0.9790809000000001,0.81391436
B00A9LVA0Y,Becomes yellow with time!,0.014324874,0.63702327
B00A9LVA0Y,"Not-so-slim, no-so-clear, no-so-scratch resistant",0.25591820000000004,0.54562056
B00A9LVA0Y,Several Annoying Design Flaws,0.1693761,0.5229056
B00A9LVA0Y,NOT Scratch-Resistant,0.5287084,0.73670006
B00A9LVA0Y,Great case,0.8793972,0.55844635
B00A9LVA0Y,It's YELLOW!!!!!,0.14693376,0.46290445
B00A9LVA0Y,"Ok, but not quite a ""clear view""",0.48360795,0.58911854
B00A9LVA0Y,perfect for this level of protection,0.9969131999999999,0.81397486
B00A9LVA0Y,Not worth $20 for a iPhone case,0.315384,0.46596499999999996
B00A9LVA0Y,Great case for my GOLD iPhone 5s,0.9935404,0.89233655
B00A9LVA0Y,NOT CLEAR ON THE SIDES,0.0033577979,0.67874724
B00A9LVA0Y,Great Case,0.90594244,0.7191192
B00A9LVA0Y,Stylish and Protective Case!,0.9824487,0.75437057
B00A9LVA0Y,Clear only for a while ...,0.20696306,0.5574644
B00A9LVA0Y,Satisfied,0.9912164000000001,0.7202604
B00A9LVA0Y,Best cover for the iPhone 5s!,0.99885964,0.90132606
B00A9LVA0Y,Good but...,0.8803203000000002,0.66324425
B00A9LVA0Y,Simple yet Effective.,0.45885742,0.51711684
B00A9LVA0Y,Not worth the price,0.118695706,0.34685558
B00A9LVA0Y,Exactly what I wanted!,0.308773,0.7668848
B00A9LVA0Y,Great cover,0.9780129999999999,0.8595444999999999
B00A9LVA0Y,Sleek Case. Hope it does it's job!,0.509155,0.78822786
B00A9LVA0Y,Perfect!,0.9852141,0.8200741
B00A9LVA0Y,Good looking case,0.95019424,0.70408946
B00A9LVA0Y,GREAT PRODUCT!!!!!!!!,0.7322221999999999,0.6042955
B00A9LVA0Y,Great protection & lets the iPhone beauty show through...followed by yellowing after about 3 months or so,0.9646946,0.85408425
B00A9LVA0Y,Cool!,0.8985599,0.7073436
B00A9LVA0Y,MINIMAL CASE WITH MAXIMAL PROTECTION,0.95393753,0.841691
B00A9LVA0Y,Love it!!!!!!!,0.9968892,0.7978765999999999
B00A9LVA0Y,Just what I wanted,0.6007710999999999,0.6383569
B00A9LVA0Y,Great Case,0.9967600000000001,0.7838198000000001
B00A9LVA0Y,Clear case works well,0.89358974,0.75626516
B00A9LVA0Y,Sleek,0.6337206,0.6558371000000001
B00A9LVA0Y,It's okay.,0.108202934,0.5405444
B00A9LVA0Y,Works great!,0.90049195,0.79426455
B00A9LVA0Y,Luvvitt Clearview back case for the iPhone 5s,0.9417128,0.8244597
B00A9LVA0Y,UPDATE:  Needs to be re-designed,0.21349627,0.6245248000000001
B00A9LVA0Y,Great case but...,0.33431715,0.6636091
B00A9LVA0Y,Just what I was looking for,0.97445714,0.8179324
B00A9LVA0Y,It May Be Scratch-Resistant But Isn't Lint Proof,0.8593421,0.8339679
B00A9LVA0Y,Adequate,0.25895393,0.7856871999999999
B00A9LVA0Y,Quality case,0.93195486,0.8167211
B00A9LVA0Y,Love It! Perfect! Even better than their last!,0.8390707000000001,0.7717108
B00A9LVA0Y,My Gold Phone still shows Gold,0.9647101,0.8189843000000001
B00A9LVA0Y,Case looks nice. horribly muffled call quality on my 5S.,0.04248935,0.7418267
B00A9LVA0Y,"NOT very ""Scratch Resistant"" at all",0.42729425,0.5508363000000001
B00A9LVA0Y,Great slim case,0.9918833,0.83691907
B00A9LVA0Y,Cheap looking and dirty,0.0008309185499999999,0.536144
B00A9LVA0Y,Great for Gold iPhone 5S,0.92941564,0.72272825
B00A9LVA0Y,Best iPhone 5 Case Yet .,0.9746366,0.8280741
B00A9LVA0Y,Just what I was looking for!!,0.98370504,0.8563630999999999
B00A9LVA0Y,No reason not to LUVVITT!,0.9964154000000001,0.88764274
B00A9LVA0Y,Doesn't fit a 5S,0.011313288999999999,0.49653932
B00A9LVA0Y,Nice clear case,0.6439848000000001,0.73620355
B00A9LVA0Y,CHARGER DOESNT WORK WITH CASE,0.12102237,0.7185471999999999
B00A9LVA0Y,Just your average TPU case,0.8671789000000001,0.73839974
B00A9LVA0Y,Perfect case,0.9664364,0.8205756
B00A9LVA0Y,Over priced,0.5111968,0.40927708
B00A9LVA0Y,"a very nice little case, great price",0.81743675,0.7051274000000001
B00A9LVA0Y,Highly Recommended,0.99912465,0.80264723
B00A9LVA0Y,iphone 5 case on the cheap,0.98958826,0.7740736
B00A9LVA0Y,Must have,0.99542177,0.79228747
B00A9LVA0Y,The perfect fit,0.93346065,0.7586864999999999
B00A9LVA0Y,Luvvitt Clearview and Cristal review,0.69044423,0.80015177
B00A9LVA0Y,No it was not what I expected for the price ...,0.06809889999999999,0.38088518
B00A9LVA0Y,Just Right Clear iPhone Case,0.99553823,0.8894006999999999
B00A9LVA0Y,Clearview case with bumper guard,0.980416,0.80300295
B00A9LVA0Y,Works great with new iPhone,0.9958648999999999,0.8110343000000001
B00A9LVA0Y,I did not like it,0.17656234,0.5014685999999999
B00A9LVA0Y,Gold iPhone? This is the only way to go...,0.97344625,0.8708589
B00A9LVA0Y,"Has air bubbles in the clear back cover, looks cheap",0.24069774,0.55857563
B00A9LVA0Y,It works as advertise,0.9326911,0.7406849
B00A9LVA0Y,Great case! Great Price!,0.9993540999999999,0.86995506
B00A9LVA0Y,Good but too small,0.1730378,0.54612565
B00A9LVA0Y,Cheap Material,0.0527243,0.46127492
B00A9LVA0Y,Luv the Luvvitt IPhone case.,0.95789826,0.59855103
B00A9LVA0Y,LIKKEITT,0.9019026,0.707579
B00A9LVA0Y,Best cover ever!!!!,0.88712907,0.7311915
B00A9LVA0Y,I don't understand how this thing gets such good reviews!,0.026233673,0.50045687
B00A9LVA0Y,"Decent case, but overpriced and poorly qc'd",0.16646826,0.7351251999999999
B00A9LVA0Y,Beautiful,0.98514366,0.813818
B00A9LVA0Y,Needs to be adapted,0.34399682,0.5771447
B00A9LVA0Y,Doesn't hide the beauty of the phone,0.9916046999999999,0.79392636
B00A9LVA0Y,Great Case for my iPhone 5S,0.9648931999999999,0.8226874
B00A9LVA0Y,Works exactly as expected.,0.9915948,0.80394155
B00A9LVA0Y,Wow.,0.7859619999999999,0.75459296
B00A9LVA0Y,Great case!,0.98445034,0.76021063
B00A9LVA0Y,It's perfect for my iPhone 5S!,0.9989809000000001,0.90419436
B00A9LVA0Y,Nice cleR case,0.97587496,0.68982744
B00A9LVA0Y,Durable,0.9787738000000001,0.70710325
B00A9LVA0Y,it turns yellow,0.010232359,0.564416
B00A9LVA0Y,Not worth the money,0.013812393000000001,0.5709399000000001
B00A9LVA0Y,Pretty Good,0.7377994000000001,0.8042915
B00A9LVA0Y,Protection without being bulky,0.7911073000000001,0.63509315
B00A9LVA0Y,Excellent Customer Service,0.9902002000000001,0.8123969
B00A9LVA0Y,Seams on the back are rough on the hands,0.08519700000000001,0.7718275
B00A9LVA0Y,Turns into yellow,0.35263646,0.63750714
B00A9LVA0Y,Clear coverage,0.97385514,0.7642454000000001
B00A9LVA0Y,I love this iPhone 5s clear case.,0.97971296,0.80081147
B00A9LVA0Y,It was great until it needed to protect my phone.,0.38957459999999994,0.47487074
B00A9LVA0Y,Fits perfectly,0.9421010000000001,0.8372194
B00A9LVA0Y,Clear iPhone 5s case,0.86152816,0.7217121
B00A9LVA0Y,Yellow fever,0.54675317,0.38207656
B00A9LVA0Y,Lightweight and almost invisible,0.91391265,0.7598938000000001
B00A9LVA0Y,Its an OK case,0.08470428,0.7336673
B00A9LVA0Y,"Slim, sleek, functional, and attractive",0.9787101999999999,0.8962046999999999
B00A9LVA0Y,Excellent customer service from Luvvitt,0.7946342,0.66061616
B00A9LVA0Y,Luvvitt?  Of course I do.,0.9930805,0.895157
B00A9LVA0Y,Lifetime Warranty....Corrected Review...,0.72632384,0.7005299
B00A9LVA0Y,Great cover,0.99863863,0.877566
B00A9LVA0Y,"Nice fit, some imperfections",0.43409494,0.63316405
B00A9LVA0Y,LUV IT!!!,0.96700114,0.7767661
B00A9LVA0Y,Love it,0.9990802,0.76860976
B00A9LVA0Y,doesn't quite fit,0.17114305,0.57159716
B00A9LVA0Y,"Nice case, good quality.  But not designed to accommodate adapters",0.5128754,0.74241525
B00A9LVA0Y,Looks great,0.9867623999999999,0.7720606
B00A9LVA0Y,excellent minimalist case,0.97277975,0.85149837
B00A9LVA0Y,"It's OK, but redesign is needed",0.09694597,0.5195193
B00A9LVA0Y,Wow... I've never been so impressed!,0.9517305,0.7575946
B00A9LVA0Y,THE iPhone 5 Case To Buy!!!,0.99698246,0.8848504
B00A9LVA0Y,A great case that still lets you see the beauty of the actual device,0.9878843,0.7454036
B00A9LVA0Y,Great case. I definitely recommend it,0.9871211999999999,0.9141566999999999
B00A9LVA0Y,Good choice for your iphone 5S,0.8534832,0.6216560999999999
B00A9LVA0Y,Great for the price,0.9720136,0.6990276
B00A9LVA0Y,"Very nice, but sticks to screen protector on back, and scratches",0.20807251,0.54764545
B00A9LVA0Y,"Thin, but still protective - a nice clear case for showing off the iPhone",0.9439324,0.8294678
B00A9LVA0Y,"Looks great, works well",0.70302415,0.68435377
B00A9LVA0Y,Not a protector,0.21215034,0.5195833
B00A9LVA0Y,Great bargain!,0.98484004,0.78973615
B00A9LVA0Y,Really nice case for showing off your phone,0.96477795,0.87221587
B00A9LVA0Y,Was great at first... but then,0.068036884,0.5994323
B00A9LVA0Y,Love this case!,0.93322957,0.6731043999999999
B00A9LVA0Y,Clear Case,0.95568836,0.8340930000000001
B00A9LVA0Y,Bought 3 of these ...,0.9218528,0.746088
B00A9LVA0Y,"Beautiful Product, Both Covers Arrives Looking Used With Scratches",0.10278207,0.5928039
B00A9LVA0Y,good,0.9408027,0.7472489999999999
B00A9LVA0Y,"Not great, not bad",0.56968904,0.66892505
B00A9LVA0Y,Don't,0.007670969000000001,0.6040916999999999
B00A9LVA0Y,The Best Case I've Owned Yet,0.9813393,0.81096935
B00A9LVA0Y,perfect case. Durable flexible,0.9949795,0.6928806
B00A9LVA0Y,Simple and protective,0.06427058599999999,0.7545745
B00A9LVA0Y,Great product but...,0.9890679,0.9006436
B00A9LVA0Y,great case!,0.58443236,0.68203485
B00A9LVA0Y,ok,0.21624866,0.41209233
B00A9LVA0Y,Great cover!,0.44300467,0.44606936
B00A9LVA0Y,Perfect Case,0.9953118000000001,0.80940163
B00A9LVA0Y,Great for what it is,0.96464324,0.82474124
B00A9LVA0Y,Turns yellow after a month,0.29071936,0.51125085
B00A9LVA0Y,Perfect Case,0.99866265,0.82299894
B00A9LVA0Y,Great case for minimalist,0.20977908,0.54534286
B00A9LVA0Y,If you're a mininalist,0.88782287,0.80327773
B00A9LVA0Y,Very nice case,0.881394,0.81916875
B00A9LVA0Y,Five Stars,0.9918028,0.6653916999999999
B00A9LVA0Y,"Great fit, not totally clear anymore",0.076657,0.6618378
B00A9LVA0Y,Turned a yellow color after about five months :(,0.3860619,0.7521528000000001
B00A9LVA0Y,Just what I was looking for!,0.9727893,0.83845013
B00A9LVA0Y,Disappointed,0.07528505,0.6669141
B00A9LVA0Y,Great Cover,0.9339211,0.81714463
B00A9LVA0Y,Beautiful!,0.79655445,0.7609591
B00A9LVA0Y,Best all around iPhone case,0.99677217,0.79751766
B00A9LVA0Y,I am so happy I went with the clear case to let my iphone really shine,0.99661624,0.8662738000000001
B00A9LVA0Y,Scratched after one day of use.,0.19691274,0.42525575
B00A9LVA0Y,"Good quality, beautiful on white iPhone 5",0.98435843,0.9056661
B00A9LVA0Y,Not what I expected,0.04602751,0.4634670999999999
