sentiment_scores	genuineness_scores	summary
0.03485009	0.5696729	blackberry 8520
0.9508627000000001	0.7371373999999999	totally pleased 
0.19418919	0.44818392	wrong phone and parts 
0.783625	0.33872658	excelente
0.99841493	0.8055601	the reliable blackberry
0.004069507	0.7532201	refurbished blackberry not new blackberry
0.43404064	0.77512735	i would not recommend this phone 
0.07131001	0.5953055	epileptic with faulty tracking pad
0.98464847	0.79612136	excellent all good
0.8298892	0.43877962	it was realy fine but on problem it didnot have spanish 
0.517331	0.5766354	blackberry
0.99479747	0.6836386999999999	excellent product
0.69935405	0.34509507	excelente producto
0.06493366	0.48084036	excelent phone unlocked and os 5 0
0.37296394	0.57238483	just another awsome blackberry
0.0039108098	0.5491113000000001	me estafaron celular malo 
0.7845428000000001	0.42132315	bien
0.12959835	0.6193061	definitely not new 
0.6119373	0.36381286	blackberry phone
0.004809171	0.54955745	cheated
0.042064875	0.6819479	worked for a month
0.98991203	0.5175668	excelente vendedor
0.9643867	0.17134276	perfect
0.8645113999999999	0.26868227	espectacular mi blackberry
0.5732885999999999	0.33205876	excelente producto antonio ecuador 
0.25526613	0.31617979999999996	envio de fact
0.26179266	0.28519136	me vino el blackberry malo
0.9309940999999999	0.36755165	bb muy mala calidad de imagen
0.24906710000000004	0.36739016	blackberry 8520
0.42478287	0.14013925	plase help me 
0.02165538	0.6189511	the old shipment
0.16792756	0.69560546	not very good
0.55341357	0.5830214	first time blackberry user
0.13055295	0.17361692	i have a question
0.79856014	0.4206904	telefono recomendado
0.9738369	0.48263583	excelente equipo 
0.813995	0.39876673	excelente
0.31729007	0.6203691	if you want simple stay away from this phone 
0.9715773000000001	0.7190183000000001	good quality and nice blackberry
0.9777008	0.7198426	excellent
0.978891	0.7621455	another happy nephew
0.9978714	0.6754738	good product
0.28398448	0.35399118	no quede muy conforme
0.9939562	0.34864724	excelente compra lo recomiendo 
0.9792581	0.51015836	perfecto
0.82650375	0.5694285	recibido received
0.9971704	0.5250012	very good phone
0.02963543	0.6115212	disappointed
0.9944638000000001	0.8370613000000001	mi first bb
0.2785164	0.53655	great
0.021901429	0.23223883	claim 
