summary	sentiment	genuineness
"G-Box does not a ""Smart TV"" make!"	0.3386264	0.55633396
Works Better than I thought it could!	0.6909667	0.5288781
Wonderful	0.9953192	0.45626056
Save yourself the headache and just buy the Amazon Fire TV!	0.3432537	0.7340438
Waste of Money	0.07710806	0.27238947
DON'T BUY IT, QUAD CORES ARE OUT THERE AND CHEAPER!	0.724709	0.6400991
Poor quality and kludgy	0.069307774	0.5341557
Great right out of the box	0.9774795	0.6771372
awesome product	0.9447281	0.708735
G-BOX MIDNIGHT	0.9834064	0.4384598
I LOVE THIS PRODUCT	0.7971314	0.3046691
Close, so close	0.9708801	0.84948224
just has to be hard wired	0.03163891	0.42182982
Excellent Boxee replacement	0.95846343	0.7617095
Stable and powerful device	0.9003715	0.7419596
BEST one :)	0.99276394	0.8884143
Simply Awesome	0.9200983	0.40027547
My nickname for this thing is Garbage Box	0.05658096	0.35987884
gets so hot	0.8802826	0.67219645
Perfect replacement for ATV! Taste the freedom!	0.96584874	0.5053052
Don't believe the HYPE	0.03944588	0.5274318
Works as described	0.9870394	0.6987511
The BEST tech buy of the year!!!	0.9285539	0.6739918
Beautiful Device	0.9463251	0.85240716
Five Stars	0.8480449	0.12898132
G-Box MX2 media player	0.98291564	0.7453105
Awesome Device to watch XBMC without all the Headaches.	0.98492765	0.8762352
Five Stars	0.3906657	0.15908323
A wonderful device	0.90592253	0.66832787
THE. BEST VIDEO STREAMING DEVICE OUT THERE.	0.9884688	0.60811716
Delivers most of what it promises	0.6363363	0.74833
Awesome !!!	0.9656583	0.28636396
Best thing ever!!!	0.96829426	0.803801
The new Wonder Bread for Cable TV	0.9226725	0.55909324
Not what I was hoping	0.07423915	0.3944268
Updated software helps	0.8255652	0.5671171
THE BEST BOX THERE IS, FOR SURE !!!	0.99894196	0.66364217
great	0.9401344	0.5729295
Easy to set up	0.74071455	0.577966
This is the one you want	0.8786224	0.6255836
Disappointed	0.06723656	0.6124561
Happy Camper	0.94174314	0.6907587
Vast potential from a tiny Android Box	0.60322565	0.7011593
Very Cheap and does not perform well.	0.2737611	0.33240113
Very happy with it!	0.9843082	0.8527373
geat product	0.56463	0.35576046
great product need set up and some digging nothing that ...	0.92142075	0.6024374
Great for the price	0.9913612	0.7111573
Received a USED Item / Returning it was at MY Expense?	0.011959909	0.5494662
Great Purchase.	0.9372212	0.64404655
This is a great company to buy from. They give you great product and a great price. I love my gbox.	0.99704933	0.658148
Crashes and reboots itself every 2-6 hours	0.1173414	0.64719635
Great Android Tv box	0.9596296	0.73945236
In general it works great	0.62208325	0.7581168
Not bad but...	0.9140066	0.81874967
Exceeded expectations	0.8725109	0.797477
Do not use on wifi	0.29800132	0.52762604
I love this box.	0.111235276	0.61511225
Awesome XBMC android box	0.9481174	0.7270443
From Good to BAD	0.35866463	0.54853576
The Best box on the market!	0.9983682	0.6706977
Poor	0.08160613	0.39236718
freeze	0.17295857	0.40531898
ARM boxes are amazing	0.9906927	0.7432371
this little box is a monster,	0.6180362	0.27269134
$99 bucks for an excellent media center pc....it's a no brainer	0.8800793	0.8117192
Bad streaming.	0.8014469	0.3697475
God sent!	0.985261	0.7249905
Android OS Media box w.XMBC	0.766526	0.7254918
hdmi port defect	0.0013619317	0.37806827
I am very angry and cheated. Does not work!	0.0039007287	0.27860612
This is not an out of the box solution...stick with WDTV	0.013061512	0.45636368
Good alternative to Apple TV 2 but way to slow	0.8970643	0.62487245
g-box midnight	0.6167723	0.6099828
Exceed my expectations	0.1352612	0.2670537
Exellent product	0.9967135	0.7286958
Bad wifi	0.09229394	0.29459336
Excellent!!!	0.9788498	0.66824204
Extremely disappointed!	0.022758052	0.33233288
Great alternative to Roku	0.96422553	0.6851689
Hard to believe it does so much and costs so little.	0.9314897	0.7622844
It just Works	0.94984055	0.634884
Black and white	0.106217556	0.45063707
All you need TV Box	0.7170997	0.7679605
BYE Direct tv	0.99009484	0.6472116
Not Refined	0.5362795	0.6760415
This box is fantastic!!! It crushes the Roku 3!!!!	0.89536506	0.71900964
G Box Midnigth MX2	0.98289686	0.6597768
Never to buy any G-Box again.	0.84002626	0.38250867
LOVEEETTT!!!	0.996256	0.6464623
Silky smooth streaming box!!	0.8385606	0.5662714
great product	0.98891234	0.76066345
It's worth doing, I'm telling you!!	0.9804818	0.7834032
Needs work...	0.089406356	0.43576565
not ready for general public	0.12959254	0.44374976
Love it	0.8133308	0.65189743
Awesome media streaming box.	0.9664875	0.8297187
power light not working	0.14704224	0.5086997
hdmi broken	0.56806403	0.7533869
Not ready for prime time yet.	0.04020524	0.58413696
Hands Down a perfect Budget Cable Killer	0.9953335	0.68663406
Works &#8211; but not as well as it should have.	0.7703042	0.77219546
The Gbox is ok, but Id rather use XBMC on my Laptop.	0.085302286	0.40594327
cord cutting bliss	0.9681786	0.69201595
"G-Box Midnight MX2 - It's just ""Okay"" and nothing more"	0.3055838	0.7262722
Great Little Box - That is what I need	0.97954744	0.784521
It's garbage read my review people	0.25314572	0.31406632
Awesome XBMC/media box!	0.9666595	0.85974467
Superior	0.76706374	0.44582874
Good Things In Small Packages	0.98696357	0.8936064
Great TV box, robust and reliable	0.98000205	0.6170311
It stopped working...for a while	0.098305814	0.61220694
Likely the best $100 I've spent.	0.9979215	0.7077557
30 days and plop	0.0028309987	0.5344451
It's Guarantee can't be beat!	0.27892143	0.24051525
great for your money	0.9580837	0.5583457
gotta get you one	0.9809651	0.52068686
Works great	0.9139316	0.7599587
true free movies and tv shows	0.9202513	0.62342966
I have 2 of these now	0.996885	0.7577107
Very slow	0.015327253	0.3298771
Nice but has its problems	0.6284844	0.7374633
Great Android box	0.98554623	0.65707904
Good gift and fun for the kids	0.82827395	0.59437263
The best invention since the smart phone.	0.9980246	0.7641778
Not Ready For Primetime	0.07550219	0.5103307
Video quality could be better	0.49878624	0.6706935
Five Stars	0.94893885	0.24427982
a great idem	0.8918417	0.35042623
I really like this thing.	0.7194547	0.6233639
Don't waste your money	0.008090879	0.33254692
VERY POOR	0.057112843	0.37054446
Awsome....	0.9825562	0.6806374
Defective unit	0.3496185	0.66589105
Buyer Beware not a reliable device	0.010052587	0.75030875
to slooooow	0.30883077	0.6518836
games and TV show is pretty simple. I HIGHLY RECOMMEND THIS	0.840609	0.6175181
G-Box Midnight MX2 customer review	0.953346	0.6084209
love this box	0.8189292	0.5202549
Great! If it works...	0.08190406	0.49467227
Does not boot after about 3 months of use	0.0027344597	0.50763696
Awesome buy!!!	0.8738717	0.4666912
Best buy for the money in a long time.	0.9975504	0.5086834
It is so cool it's hot!	0.39590633	0.75659233
One Star	0.19593203	0.58657795
Product Setup	0.91477764	0.43960354
Best value for money Google Box	0.9925828	0.66332763
Better than Apple TV or Pivos	0.85256404	0.86723506
Great Price For What It Does	0.780438	0.78299254
Works great but forget the remote	0.21255675	0.32927564
I love it!	0.99217075	0.6635345
COMPLETE JUNK	0.0016757604	0.33307004
Great product!! If u r not familiar with this setup just google XBMC ...	0.90697116	0.56178963
Great media hub for the family!	0.9510741	0.7303182
fantastic ...	0.9169783	0.847455
there's  no  competition!	0.16674337	0.49384895
Research first if this is for you.	0.9404033	0.7971978
Awsome Product	0.94601315	0.7024335
Good stuff.	0.9295501	0.4434658
BEST PURCHASE EVER	0.9393842	0.57745135
Bad out of the box.	0.11979387	0.3407644
Difficult to use.	0.40338945	0.4453787
$ave your money and don't buy this item	0.046647348	0.55358547
Awesome purchase...say goodbye to your cable bill for good!!!	0.97906715	0.8137773
Terrible software	0.006733314	0.5626981
no 1080p support	0.21996264	0.446238
fast, reliable and affordable than other similar products!	0.9968924	0.759777
best box ever!	0.9893545	0.68342143
Unusable out of the box.  Not clear if it can ever pass the wife test.	0.5508092	0.83278626
Great Alternative to Extended cable...learning curve involved.	0.85185623	0.75614125
Glad we got it!	0.98507994	0.19827178
Great!!!!!!!!!!!	0.8957143	0.477088
Buy it its worth the price	0.933203	0.40621832
The G- BOX MX2 awsome	0.95956594	0.7116974
Works great	0.96857387	0.57880193
Good Bye Cable Bill!	0.9265162	0.5759076
Could never get XBMC to work correctly - Got an Ouya instead	0.0609732	0.37649402
Poor Choice For Experienced Users	0.10652324	0.5717538
Purchased 2 worked great, 3rd unit garbage	0.024697455	0.6412506
Decent smart tv box	0.71237975	0.31775817
Very Happy!	0.9367604	0.69748515
Dont shut off when booting or updating!!!!	0.1097617	0.6120396
Great product	0.98772186	0.55412805
Still not perfect	0.676602	0.8347036
This is the box you've been waiting for	0.94947124	0.75874144
gbox midnight mx2	0.44845015	0.5848645
Really like it.	0.9062454	0.6044228
enjoy	0.78991014	0.31927285
Horrible wi-fi performance	0.13123968	0.464315
Fun for the fiddler.	0.42059538	0.38055095
Fantastic little gadget :)	0.98572886	0.9557345
Superb Device	0.9164499	0.7064916
Can't say enough good things about it	0.9551091	0.46970245
its the best	0.9930091	0.58767694
g box	0.98766565	0.5444783
Best android box on the market...	0.97484326	0.3451785
g-box midnight 2	0.7379898	0.5867857
Midnight MX2	0.76936644	0.7576933
Perfect XBMC media player.	0.965107	0.6078132
awsome	0.9989359	0.65445876
Incredible media streamer - eliminated the need for our XBOX - WE BOUGHT ANOTHER ONE!	0.9800827	0.8532672
Poor customer support	0.042136613	0.5217155
UPDATE: $99 Android HTPC w/ custom XBMC and OTA updates	0.44160926	0.6702146
Great!	0.94978464	0.6968067
THIS THING IS GREAT!!!	0.8929727	0.7583776
See ya later cable!!!	0.9860118	0.7680598
great pick	0.7894041	0.5477463
Very good product...	0.9434734	0.68816185
best there is	0.9840895	0.73127085
Great Product	0.97973114	0.67455584
I love xbmc	0.9970504	0.6240187
Recommended G-box for everyone who want save $ for TV network	0.92375344	0.41232988
i like it much better then my apple tv 2	0.83824366	0.4657834
Love this box	0.5836454	0.370537
Not as good as XBox 1 with XBMC	0.082394384	0.5281507
Infinity!!!!	0.824305	0.6437083
Great alternative to a jailbroken Apple TV 2!	0.9805202	0.8437867
So many options- great little box	0.73300797	0.48279208
Works great for us.	0.95521396	0.6237634
Don't believe the warranty	0.005960362	0.57476205
Just what we wanted	0.96643317	0.8316856
I purchased 2 G-Box's...and after 1 week, only 1 of them works.	0.89907384	0.56284606
Not so hot!	0.011002338	0.34914
NEEDS WORK- SLOW RESPONSE TIME, FREEZES, BAD IR REMOTE....TAKE NOTES FROM BOXEE TO BAD THEY ARE GONE	0.18761003	0.5874446
bad quality: image, speed, graphical interface, stability	0.08867967	0.34741905
"This is a ""MUST"" buy buy for movie and TV buffs!"	0.9548444	0.69091934
great product! needs better remote, instructions are NOT needed. Batteries are thou. :-)	0.9835539	0.8097982
Good value, but lacking some important features	0.8667085	0.6834379
should have a custoer support service	0.026283916	0.4368489
I Love it	0.89422226	0.53759015
Great product.	0.9835935	0.5605888
Performs Great!	0.985529	0.6443506
this is a great box !!!!!	0.988781	0.3376918
Best XBMC box ever!	0.97385037	0.8784471
Amazing and better than apple tv2	0.8586806	0.7986051
G3	0.95905703	0.30595776
Definite cable killer for me, not so much for my family at least not yet.	0.7071501	0.7351696
This is the best	0.98764384	0.7702261
The Way TV Should be	0.32036638	0.292818
everybody should buy the midnight 2	0.9717692	0.7942897
Best Device on the Market to Date!	0.95801574	0.88026875
A little common sense is required	0.91635853	0.67875296
Makes my TV a Tablet	0.927864	0.40163732
Five Stars	0.53639066	0.07400944
Too complex	0.41345733	0.52444243
Great for XBMC...not so good for anything else	0.1801733	0.6042206
A month later and it doesn't work...	0.6785717	0.7954769
Wave of the future	0.93892735	0.62145615
so far so good	0.8920992	0.79756874
Get yourself a good wireless (2.4 ghz) keyboard/mouse	0.3039802	0.5953372
Dump your cable tv	0.69319135	0.5387242
Is good while it works	0.150057	0.64269507
picture not real good not easy work	0.02295488	0.2690793
Epic fail	0.013200331	0.61318785
The G-Box Midnight MX2 Android 4.2 Jelly Bean Dual Core XBMC Streaming Mini HTPC TV Box Player	0.99210453	0.5444134
great box excellent product.	0.2863436	0.24997425
excellent product	0.99904627	0.76137996
Magi chomp perhaps roku is better	0.037096914	0.31683394
high altitude issues	0.107281625	0.50536084
Awesome	0.9944989	0.48664966
The only Android HDMI TV accessory that does its job well	0.89549667	0.6081833
Wonderful box! Wonderful Service!	0.92670727	0.5863977
It works great with XBMC!!!	0.9297799	0.7975406
G box Mx2	0.9405999	0.83136743
enjoying product thus far	0.9891026	0.7372416
Five Stars	0.948935	0.23667884
Disappointing	0.01693428	0.48697963
Blank screen after update	0.39754018	0.29191935
does NOT play ISO's	0.012093867	0.57853395
Terribly bad device	0.028862858	0.571125
It's just like an Android phone	0.96668375	0.7372201
Cable killer	0.93199694	0.5535419
It's actually 3 and half stars.	0.5169672	0.38006708
HDMI connection issues is the spoiler	0.0092141405	0.54611707
Move over Apple and Roku!	0.9705493	0.6775885
G-Box Midnight MX2 Android 4.2 Jelly Bean Dual Core XBMC Streaming Mini HTPC TV Box Player	0.00072089606	0.5545318
Works great!	0.99110705	0.7278656
Love it!	0.99282587	0.73790306
Excelent HTPC!!!	0.9817598	0.4921842
very gladly impressed	0.82937276	0.8431728
Would not install Play apps	0.027844358	0.41889188
Very nice	0.9165024	0.796037
G  BOX MIDNIGHT 2 ANDROID Jelly bean dual core	0.4754266	0.49767578
I like the idea	0.053469356	0.3676146
Good value for a good product.	0.48218948	0.57865214
Not as advertised	0.24373777	0.317298
i still havent been able to use it	0.13236144	0.33028173
Great way to watch XBMC on your TV	0.6865269	0.44378263
Shut Vizio M LCD 3D TV down	0.10351449	0.40103143
Works Great	0.8505154	0.4710616
Great XBMC Box	0.89713836	0.78598964
Good product I just got a bad one..	0.27809206	0.31906477
Review I do not like this review .	0.9519034	0.4718534
Streamed fine until boot up failure	0.0493937	0.60576224
Better then Apple TV	0.5851865	0.43806526
not what I expected	0.010063716	0.5603624
Great product	0.9949891	0.7725406
The best set top box	0.8850524	0.31076157
FINALLY SATISFIED	0.9210987	0.6712755
A must have product!!	0.9788385	0.5605512
Great device!	0.8144456	0.640384
Pretty reliable	0.8219653	0.8413624
Received with a broken HDMI output and no XBMC	0.010812256	0.4657322
Save your money	0.29364398	0.63205296
do not work the way i expected	0.09168941	0.4868983
its good	0.9516103	0.58608615
Very poor quality	0.018026926	0.5414474
it is a great box	0.9955142	0.6353734
better then apple product	0.9473762	0.4606483
Great little box once you dump Android for the Linux software!	0.8403787	0.8099827
Responsive Box	0.85187405	0.46934465
Severely limited use - Very Slow - I am returning	0.011188456	0.61082184
One Star	0.016375504	0.19771653
I love a box	0.94703853	0.31319275
Perfect for XMBC, plus you get android apps on your TV	0.98953176	0.716036
GBox remote problem	0.01869799	0.31577873
Really a great product!	0.65622824	0.40917978
Four Stars	0.8556977	0.23881169
Kinda slow	0.6968109	0.64710844
Best $98 I have ever spent!	0.9190122	0.60312533
Good media streaming box	0.94112724	0.70737195
Small and awesome	0.98426235	0.5997131
I love it!!!!	0.9020053	0.5292933
The real deal	0.9849176	0.8386244
XBMC can't output 1080p	0.11951214	0.3897156
Five Stars	0.94001096	0.32460195
Lasted 3 Weeks!!!	0.0021388258	0.47756225
Great	0.9946727	0.5258131
Disappointment	0.12201664	0.6004371
A work in progress	0.25000837	0.43404853
I loved this	0.14377403	0.50636655
You get what you pay for.	0.21641612	0.50819504
"Doesn't live up to the ""just plug it in and enjoy"" claim - tech support difficult to obtain"	0.09796463	0.75148153
Great stuff	0.22571686	0.339339
Superb	0.92814636	0.5931113
I love it	0.9958255	0.680052
Slow processing but it's only a hundred bucks	0.6677463	0.71536905
Five Stars	0.55086595	0.28942695
Great buy	0.9674109	0.5949473
Worked for a few months, then firmware update and dead, dead, dead!	0.07396776	0.59909683
DO NOT BUY!-Not Impressed - Not a good product	0.027461858	0.31706798
Good product, great value	0.9940678	0.69798565
does not work	0.2804577	0.34230945
It had all what was promised/advertised	0.8594989	0.5882082
Excellent product	0.9875201	0.6343471
I do Not recommend it	0.12428168	0.43262717
Doesn't work	0.070229925	0.5474567
