summary	sentiment	genuineness
Faulty part right out of the box.	0.07675654	0.66010946
Not great for short legged people	0.90826494	0.8639809
Great compact bike for fat burning	0.98238117	0.87143797
Great spacesaver bike. Super Quiet. Easy to put together.	0.9954823	0.7230729
Very Light Duty Bike	0.20841892	0.8341051
Outstanding product	0.9629626	0.8656597
Low confidence in product. Noisy, rattly.	0.45921963	0.9081213
Space saving but sturdy	0.9929288	0.8604225
We love the bike!	0.9903685	0.7439373
Just as expected	0.92207927	0.8859376
Still lots of reasons to get this bike.	0.69792765	0.9022131
Easy to store!	0.9957794	0.79717755
Great bike only downfall is the seat	0.98477215	0.93473166
Brand new out of box and display monitor doesn't work.	0.002642227	0.85874593
I like it	0.93364614	0.74782044
A good value and a great investment in your health.	0.8976097	0.94759303
Great Bike!	0.9977483	0.7100095
Super sturdy & compact	0.8511155	0.87083125
PERFECT for an apartment!	0.83150965	0.9076449
Pretty good exercise bike	0.7181537	0.6550374
Great bike for the price	0.89787596	0.8633594
Quiet, compact, but not perfect	0.9435921	0.83336633
Essy to assemble	0.90256256	0.76874876
The seat is a bit uncomfortable for me.	0.4355152	0.8245974
Don't Buy	0.17368187	0.64298743
Buyer beware!	0.07224037	0.68658864
Cheap Quiet Exercise...	0.87123394	0.88539124
I use it all the time!	0.98497677	0.84523785
Perfect for my situation.	0.94639385	0.8531373
Excellent Machine	0.85431194	0.9064201
Easy on arthritic knees	0.98841417	0.85222036
Just what I wanted	0.43727624	0.72762865
Love it!	0.9076669	0.9296073
Not comfortable, not well-built, not worth your time.	0.010641878	0.76436675
Like it	0.98639005	0.7433073
There's reason why woman is in the picture.	0.068204395	0.3490544
Worth the Investment!	0.99978215	0.8003576
Perfect for my needs	0.8963595	0.85877544
Great bike!	0.914332	0.79407805
Some Pros, Some Cons	0.9792308	0.95410144
Love the Bike!!	0.9872295	0.8380407
Surprising quality at this price level	0.9917394	0.8646773
Missing piece!	0.10266638	0.47609234
Bummed about the electronics	0.63958764	0.80292684
Exactly what the doctor ordered!	0.9713468	0.82000726
Great bike for long legs	0.5019296	0.8311667
Great price, but...	0.05982754	0.5991748
Not disappointed with this one.	0.98285645	0.8633206
Suprised!	0.9687669	0.84276754
Belts don't last!	0.025214357	0.7237592
What the Doctor Ordered!	0.9390519	0.8550911
Started to break as soon as we got it	0.08830443	0.6808715
It arrived on time the quality great. Best of my fit on it just fine	0.985284	0.78942215
great bike	0.99683136	0.8256296
Great bike!	0.95275635	0.9153889
Good build quality	0.1693883	0.7406296
Good product	0.63905114	0.7995643
Great Buy	0.88054055	0.35957152
My exercise bike	0.9937959	0.87074137
More that I expected...	0.9287184	0.48855314
Super LOUSY customer service on an easily fixable defective product	0.019652588	0.7543632
Good quality	0.9706011	0.7980369
A great bike!	0.9729048	0.8749829
best investment ever !!!	0.9822624	0.83889157
Built to use	0.97565866	0.9140503
compact	0.42919484	0.50635886
Very good except for seat.	0.8868411	0.8950283
Strong than you think	0.9745174	0.59374607
Amazing!	0.9981669	0.8558045
Hit and Miss	0.1629526	0.70952284
Great exercise bike for the price!	0.9828531	0.91404223
Love my Folding bike!	0.9985661	0.84397715
great bike!	0.9985141	0.8219519
quiet, easy to use	0.9962239	0.87598795
happy with purchase	0.89028746	0.87083316
Great while it lasted.	0.039673742	0.7558236
Great Bike	0.9905009	0.8185775
Great Purchase	0.95150876	0.9420276
Easy to use and put together	0.937682	0.7184616
Very Sturdy	0.87791264	0.88505703
In Love with the bike!	0.75114423	0.7966498
Damaged Box and Bike	0.01526014	0.47516486
Not a good design and quality problem too	0.24733482	0.64535755
Excercize  , Live longer than your X.	0.99799037	0.805852
Needs a bigger fry holder	0.70532507	0.93062097
Excellent product.	0.9938408	0.84000665
guud	0.59980196	0.19983713
Decent bike, cheaply made	0.018694006	0.8469838
