sentiment_scores	genuineness_scores	summary
0.9943671000000001	0.8989335999999999	is your bluetooth giving you the blues then checkout samsung hm1300
0.12392783	0.614907	this bluetooth was 
0.2639121	0.5452444000000001	can t hear my caller and i don t sound clear to them 
0.64025426	0.7298693	no noise cancellation
0.9813516	0.7882591999999999	love it 
0.6678022	0.77546316	caller clarity is much better than anticipated 
0.9973023000000001	0.7676896	samsung hm1300 handsfree bluetooth headset with noise reduction and echo 
0.6798438	0.61042225	seems to be a good product
0.3401073	0.59086144	ear bug
0.61995137	0.46334916	wrong color
0.030163407000000003	0.18781194	i do not like this
0.20647371	0.56350535	no noise reduction or echo cancellation
0.25076398	0.5622090999999999	don t get suckered by the price spend a bit more and get a better earpiece
0.4143050999999999	0.6052251000000001	good
0.01996994	0.47069213	bluetooth
0.25645864	0.42178798	great product great value
0.53721875	0.78468	kind of flimsy
0.750944	0.7351337	el cheapo works however not very capable 
0.99806774	0.83862966	my 1st bluetooth headset
0.9956209999999999	0.7123049	bluetooth
0.49261758	0.6685026999999999	very low sound volume
0.96593523	0.87306035	great sound quality
0.3308475	0.47138290000000005	good but not what i was looking for
0.75851524	0.8720348	a great beginner headset
0.0018459857	0.495249	waste of money
0.10186949	0.7705857	inferior product compares to plantronics m50
0.09419149	0.5511256999999999	not good
0.7296387	0.42751378	it works
0.9994494	0.87777793	holy amazeballs 
0.0039917827	0.5315406	not happy about device
0.9776906999999999	0.7109131	great headset
0.008471668	0.7180711	i got what i paid for
0.8963251	0.7670701999999999	very good product
0.01588577	0.30437154	cannot connect to device
0.026285082	0.40100790000000003	don t waste your money
0.0073658824	0.7031504	extremely disappointed
0.99089724	0.7721096	great for the price
0.3247831	0.683221	i use it
0.9264623	0.73758686	great headset
0.98276377	0.7700816999999999	samsung bluetooth
0.99995315	0.941265	sensational simple handsfree headset
0.9980414000000001	0.9076420000000001	simply elegant
0.0048108696999999995	0.43450353	sucks 
0.9239544	0.67962617	cute color
0.04803562	0.39691198	order pink but blue came
0.023286521	0.75356483	plastic earpiece holder x2 broke within 3 days
0.2426219	0.562896	black
0.97248006	0.85163254	i love this thing 
0.95085436	0.8555822	works well good price
0.00156793	0.67812437	no good
0.48490748	0.7300114999999999	ear hook needs modification 
0.0010744929	0.6252291999999999	poor quality 
0.017967016000000002	0.35378259999999995	not what i wanted
0.48985627	0.7291416999999999	really good
0.9792960999999999	0.728739	hm1300 handsfreed headset
0.9909874	0.8598771999999999	work as advertised wooohooo
0.07324979	0.5836583000000001	easily broken
0.02458188	0.51961565	not the greatest head set
0.45635957	0.66898817	bluetooth performance
0.9846519	0.6233771	excelent 
0.3015386	0.7869578	bluetooth works well
0.8141416	0.60676473	5 stars does what it should to do
0.5242212	0.66974425	good entry level bluetooth
0.6064096	0.75098383	save your money
0.9967103	0.8911546	solid simple workhorse
0.97585106	0.7878548000000001	good solid unit
0.10612166	0.6599003000000001	does not reduce noise or echos 
0.68956804	0.70582163	not great sound 
0.0035721064	0.6240914000000001	samsung hm1300 bluetooth
0.9934206	0.711596	love this bluetooth 
0.46849668	0.6326914	not so bad
0.21233723	0.4747392	wouldn t buy again or recommend
0.04189831	0.6953666000000001	i m not one to write reviews that was the late roger ebert s job 
0.78592634	0.8403473	good blue tooth piece
0.99785143	0.85318106	samsung hm1300 bluetooth headset
0.96558136	0.8117923	crystal clear
0.07679894599999999	0.36071247	don t waste your money 
0.0026600063	0.5074031	unit defective less than one month after one month warrenty expired 
0.0018380582000000001	0.57829225	not worth it
0.96719193	0.92930025	worth the money but don t expect perfection 
0.0065072775	0.6594937	stay away from samsung 
0.9769780999999998	0.78428346	great buy
0.96151495	0.70397794	good value for the money
0.0035578012	0.5126829	not good 
0.015086173999999999	0.3131793	don t but
0.106559664	0.44959998	ok but coming up short
0.10652149	0.46557950000000003	just ok
0.14653122	0.46098822	what huh 
0.2948599	0.55842006	ok headset not the most comfortable
0.079167515	0.22616768	haven t used it yet it doesn t work if i 
0.6662038	0.7283769	poor quality
0.41589674	0.7639514000000001	not the best headset 
0.35120997	0.6316105	almost perfect
0.99802196	0.75817037	great buy worth it
0.112388015	0.51005447	hook up
0.996101	0.84372604	wife loves it
0.73994875	0.746081	serves its purpose
0.26827323	0.42929268	volume problem
0.99301624	0.69846123	great item
0.015283614	0.6049356	crappy bluetooth
