sentiment_scores	genuineness_scores	summary
0.16826546	0.41075075	wrong item
0.4689157	0.7769665	it was a necessary purchase
0.011373013000000001	0.72492045	save your money do not buy 
0.37020022	0.5611670999999999	what a joke 
0.16103205	0.50085855	good product
0.016583294	0.5512098000000001	they stole my money and did not ship the product
0.90420675	0.77581155	travel charger
0.0012330115	0.519562	would have given it 0 stars but amazon makes you give at least 1
0.93552214	0.6470151	works great
0.9767123	0.7557050999999999	good item
0.9853103999999999	0.7302999	wow its like new
0.32002175	0.8121413000000001	no issued with batteries but with charger
0.83686274	0.7385672	save your money
0.13203841	0.6403524	wrong size
0.239423	0.6518656	dont waste your money 
0.825239	0.70053506	responsible company
0.13554054	0.5207676	recieved a dead battery and the charger does not work either right out of box
0.14507774	0.66160816	i only got the charger to work one good time
0.024822831	0.6490128000000001	this is false 
0.002042234	0.61411583	batteries do not fit t mobile g2 charger is not white fail 
0.03835839	0.5807833	waste of money
0.018689603	0.752656	junk
0.92179626	0.7895361	great product great price
0.08436549	0.6104729	question
0.6072755	0.59393007	product is just as i expected 
0.06484884	0.5139213	does not fit in htc evo 4g 
0.76583815	0.7083647	2x standard generic battery and wall charger evo 4g
0.97722244	0.70875615	works great for me 
0.7514101	0.78169674	everything arrived quickly
0.99585253	0.73392034	sprint external charger and batteries
0.12940755	0.6902188	not sure what is going on
0.0017923117000000002	0.7301449999999999	really disappointed
0.0129546225	0.5422186999999999	absolute crap 
0.118962556	0.7070469	you get what you pay for 
0.015025078999999998	0.7105402	low reliabilty 
0.24520558	0.15654898	by my mistake i ordered the wrong item
0.044330537	0.69980294	evo 4g batteries
0.66281825	0.80112994	low cost replacment batteries as good as original
0.05859828	0.6846857	poor battery function
0.94650304	0.77863437	battery charger
0.50396967	0.7755661	charger
0.61368275	0.7597045	truth 
0.81143403	0.7683297	charger works fine 
0.20833429999999997	0.6646564	get what you pay for i guess
0.5107395	0.7408227	sprint htc evo 4g 2x two battery travel charger usb output sprint htc evo
0.8430158999999999	0.780596	g2 extended life batteries
0.09509906	0.7462946999999999	batteries are no good
0.8709764000000001	0.7612339	exactly as it says
0.024061024	0.7829615	awful product
0.47956509999999997	0.64929366	serves its purpose well
0.8413632	0.7992597	don t be discouraged by the price
0.8703523999999999	0.7667339	great product at a great price
0.9041505	0.6302205	gtg 
0.9007931	0.85381377	quirky but works a lifesaver for only a few bucks
0.9885869	0.6953556	must have item
0.37628675	0.4262838	worst service i ve ever had 
0.93920434	0.7762689	nice product
0.9028497999999999	0.80246437	needs more detail in picture
0.15557158	0.6946095999999999	get what you pay for
0.98836374	0.6685755	charger
0.066746294	0.6158650999999999	x2battery cool havingallmyappsdeleted not cool
0.007902592	0.60531366	horrid
0.0053887963	0.7239691999999999	charger
0.6259422	0.7911205	does not work for the thicker extended batteries
0.18653008	0.67468953	not what i needed
0.0085039735	0.55903625	not worth the money to send back
0.9107904	0.7704364	great 
0.049581707	0.622088	it was worth a shot
0.52175564	0.6317891	great price and batteries work great
0.8254492	0.8897216	first look on going in depth review
0.82954735	0.7719343000000001	great product for the price not sure about capacity
0.02153799	0.6867546999999999	dangerous
0.7969121	0.7756672	works great 
0.58909523	0.61890876	good deal for g2 battery
0.9921875	0.78187716	for the price 
0.061255664	0.7185844	does not fit htc evo 4g
0.9892559999999999	0.73996836	2 p k batteries and charger great product
0.9216671999999999	0.682739	so far so good
0.57449013	0.7304586	only 1500mah instead of factory stock 1800mah in my evo shift 4g
0.5980241999999999	0.72869754	nice
0.35194440000000005	0.6906245	gets the job done 
0.007171333	0.43554643	the wrong size
0.00040119886	0.5738789000000001	not for htc evo 4g
0.073225975	0.65567446	good charger but junk batteries 
0.038226752999999995	0.7047671999999999	this item stopped working in 3 days
0.47365212	0.7180295	great replacement no increase
0.9915859	0.7588643	affordable and fixed my issue
0.9176363000000001	0.7067060000000001	pretty crappy but you get two of them
0.97593814	0.70423824	usb port is a plus 
0.294111	0.47229084	great solution to keep you connected
0.10693836	0.552094	eh ok
0.054742575	0.37031642	charger and batteries
0.038079172	0.27802140000000003	product not received in time
0.22826442	0.6317269	convinient
0.00023886561000000003	0.7289705	not item pictured does not fit g2 
0.01486513	0.6756309	no usb output not charging
0.11213869	0.67710036	phone battery
0.98247486	0.64908046	good on the go
0.1319764	0.75439286	batteries do not fit
0.5996383000000001	0.76697206	sprint htc evo 4g 2x two battery travel charger usb output sprint htc evo shift verizon htc droid incredible sprint ht
0.0106674135	0.58908075	does not fit in my phone 
0.8415718000000001	0.7871661	charger works batteries are trash
0.11508381	0.7249002	did not work from the start
0.9470892	0.74485123	sprint htc evo 4g charger
0.98950684	0.74063665	works great
0.08701286	0.54666585	hazardous
0.011420011499999999	0.3740886	didn not work in my phone
0.020086348	0.36833933	terrible
0.0033703744	0.7449188	doesnt work
0.11432576	0.83282316	failed after a week of use no usb cable 
0.83417535	0.7360898	sprint htc evo 4g battery travel charger
0.6923468	0.71314776	updated review 
0.97350883	0.68998253	good replacement batteries
0.013166994	0.49777170000000004	doesnt work with desirez or g2
0.010749072	0.73407805	travel charger worthless
0.019420773	0.50535375	title is bs
