sentiment_scores	genuineness_scores	summary
0.0051961242999999996	0.6591668	replacing phone now for 3rd time in less than 3 months
0.96382654	0.8545767	very good balance of work and play
0.9600554	0.9212241	great unlocked smartphone for the price 
0.9784975	0.7924627	i love this phone 
0.95898044	0.83851606	a great smartphone for a reasonable price
0.9909290000000001	0.89024854	excellent phone 
0.7700448000000001	0.82244587	not for the maps
0.99578685	0.7602760999999999	excellent smartphone
0.9628601999999999	0.5803661	great phone
0.41199399999999997	0.84897995	great price features but ui left me wanting more
0.03663686	0.48129040000000006	i have had nothing but problems with this phone and with nokia
0.8621304	0.8319801	great phone 
0.97749734	0.7000899	very good 
0.04933417	0.7034688	why 
0.5834585	0.7797579000000001	it s a good phone though not a perfect toy nor a good office equipment
0.9845619000000001	0.89567316	amazing phone power user here
0.014969826	0.6927034000000001	gets too hot and battery lie miserable
0.98457223	0.78403527	solid phone great price
0.8924416999999999	0.7365354000000001	very good phone 
0.9899956	0.94443035	great best bargain out there 
0.8540363000000001	0.679894	new phone experience
0.24422889999999997	0.6704584	great phone at a great price 
0.52062464	0.6575022	very good reception
0.14886901	0.48501593	app less
0.68436426	0.72331685	good option at a good price 
0.97638047	0.6851189	great phone
0.7057021	0.8372854	excellent phone
0.80567217	0.41741508	excelente
0.9995304	0.7548826	best phone ever 
0.5909411999999999	0.7403383000000001	ok phone
0.64025337	0.58460414	un locked phone
0.37440085	0.7011265999999999	sync with outlook
0.8622905000000001	0.89317226	nokia e63
0.99285436	0.90994024	nokia e63 2 unlocked phone with 2 mp camera 3g wi fi media player and microsd slot u s version with warranty ultramarine
0.9644176999999999	0.8631876	best phone for the price
0.9529542	0.87467897	reasonable flexible useable 
0.9919319	0.8655311	great product big bang for your ups delivery unsatisfactory
0.9263728999999999	0.7902336	i simply love it 
0.6808809	0.8309101000000001	good value for your money
0.87375885	0.3286152	buen telefono celular
0.95693725	0.7075321	grrr8 fone
0.9981339	0.90847504	excellent value in a smartphone
0.9820956000000001	0.801908	good smartphone
0.54053336	0.6029211999999999	great phone 
0.98385966	0.67997396	my daddy really loves this phone 
0.98287565	0.69707936	excellent phone
0.8481189	0.84563273	great smartphone
0.89558387	0.80236274	nokia e63 good phone good price
0.98978674	0.5811261	nokiae63 unlocked
0.99786913	0.78692204	great phone
0.9839101	0.57608473	good buy 
0.9992993	0.86827457	excellent phone 
0.6818368	0.54521364	nice 
0.9886011999999998	0.8298290999999999	great mid grade phone
0.5194152	0.29221356	nokia e63 2
0.19783264	0.7242613	great phone no real problems 
0.14885786	0.4556529	nokia e63 2 unlocked phone
0.99135447	0.9068193999999999	 most affordable business smart phone 
0.91332287	0.75430626	great product good price
0.99828804	0.7483395	nokia e63
0.8849218000000001	0.76904964	great unlocked smartphone for the price recommend to buy the data cable with the phone order
0.9754248999999999	0.8333465	greate unlocked phone without 3g and gps 
0.010498136000000002	0.6916797	beaware
0.24924629999999998	0.09636104	i didn t get my item yet
0.9337959000000001	0.9247513	powerful and robust smartphone with unrivaled features
0.9986364999999999	0.82489586	poor man s smartphone
0.94474113	0.63277876	works great
0.9977703000000001	0.8161274000000001	excelent smart phone
0.7563859	0.88567555	great price vs quality ratio
0.17945394	0.46709976	dont buy it
0.7338839	0.7203126	best phone ever
0.108344585	0.55921257	is this a joke 
0.95331043	0.91715646	better with time
0.9251152	0.71925616	e63 phone and rebate
0.9712548000000001	0.7102206999999999	great phone
0.7049477	0.7192124	great phone for the price
0.88077235	0.8235427	wonderful smartphone
0.77456343	0.47111970000000003	gift
0.9402609000000001	0.73992914	great phone
0.9996513000000001	0.7958925	nokia e63 2 my cellphone
0.9926629000000001	0.7650554	great cellphone
0.9035450999999999	0.85484946	great phone
0.05858901	0.44226968	not all it s hpyed to be
0.856664	0.80577433	nokia e63 2
0.6977165	0.6880148	great phone for a great price
0.9883665	0.64712656	cell phone
0.9932846	0.89053607	excellent smartphone for the price
0.038968533	0.6582809000000001	does not work with sip phone
0.92742085	0.7839997	easy navigate
0.9978039000000001	0.9473372999999999	highly recommended nokia e63 2
0.9205934000000001	0.8468056	love the phone but some things bug me
0.0045657753999999995	0.6558114	wrong item
0.923543	0.58327466	very exciting phone
0.96609175	0.9404087999999999	great unlocked smartphone
0.6417986	0.80887854	if you want a cheaper great quality smartphone buy this
0.34990287	0.28903598	inconforme
0.999712	0.8184251	good value smartphone
0.9635168	0.85810494	great phone 
0.7108042	0.80403864	very convenient all in one phone
0.022086084	0.4802555	 stay away 
0.9699795	0.91994154	very good value
0.6147521	0.64590406	not so bad at all 
0.23146322	0.4330637	great cell phone 
0.9981711	0.7128844	great phone 
0.9476443000000001	0.9310545	e63 t mobile user best apps and quirks 
0.5762899	0.6216058000000001	nokia e63 2 unlocked gsm phone
0.9990414000000001	0.9591434999999999	great value 
0.30069655	0.47667184	e63
0.17579445	0.59024245	overall disappointment
0.01908338	0.610871	refrub or new 
0.34920162	0.57604027	roger q
0.78590584	0.47906990000000005	it s a great phone excelent 
0.9774138000000001	0.78139627	great smart phone
0.84430844	0.6278248000000001	great phone for the money
0.21768698	0.6611533	this phone has issue with basic functions like call recieving
0.8816511999999999	0.65215945	good phone with reasonable price
0.96567	0.56146723	good product for this price
0.96650106	0.9224085999999999	so far so very good
0.7445871999999999	0.75572944	unlocked nokia e63 150 00
0.99723756	0.93054473	great smartphone fro price
0.53107506	0.76036465	great basic smartphone
0.8319926	0.9232184999999999	capable smart phone for the price
