summary	sentiment	genuineness
These work great to hold it in place	0.916321	0.84699225
usefull	0.5428598	0.82301474
stay!	0.9743173	0.6250504
Works instantly	0.9919029	0.84663785
Very useful	0.9422425	0.8435479
Worked like a charm	0.9495106	0.6118375
damaged my furniture	0.015189634	0.8743556
They do the job	0.9657688	0.61710024
Great	0.99485683	0.76642466
good product for a good price.	0.9919121	0.8119585
They slip after a while	0.2803659	0.73315585
Works exactly as it should, PERFECT!	0.6873668	0.69932455
finally something that works!!	0.9894638	0.8455265
Worked very well.	0.55602354	0.5297818
Simplicity	0.9943262	0.83756375
Great product!!	0.9096655	0.90466416
worth every penny	0.9988971	0.8852487
Where have you been all this last year since I got my new mattress?	0.90945655	0.82523507
Holy SHEETS!!	0.8215422	0.8003851
very helpful	0.93074167	0.86337966
They don't work	0.16969912	0.7872402
Best few bucks I have spent on my bed	0.8807626	0.84136826
Wonderful product	0.9613053	0.8512022
works great	0.32679117	0.6728593
Five Stars	0.9810931	0.5095042
Awesome product and customer service	0.8616552	0.71201307
Better than I expected	0.06472993	0.7445036
great product	0.7775797	0.8791259
Sheets actually stay on now!	0.71338606	0.8198968
Great product!	0.9985555	0.89413536
Worked like a charm, saved my marriage!	0.7584052	0.8158263
Good Bed Bands	0.92414576	0.78571653
WOW!!	0.9892207	0.87049854
unusual use	0.9917269	0.94210327
Best purchase I have made in a while!	0.97972643	0.8403685
These are great!	0.8545744	0.8707916
Bed Bands	0.6967938	0.831226
must have	0.99371886	0.8888436
Easy to use, good price	0.84682953	0.7437436
This is EXACTLY what I needed for my sheets!	0.49360257	0.8398124
Nice tight sheets again!	0.7270393	0.776315
excellent for adjustable beds	0.78793037	0.84813625
Great product!	0.9538928	0.8599019
Great!	0.99522024	0.8054321
Does not stay on sheets..........very disappointed!	0.03111517	0.7523365
These did the job perfectly!	0.9941936	0.8420449
Works Like A Charm!	0.99840444	0.84162813
These work!!	0.10590703	0.9118897
Worked as promised!	0.6694879	0.7283344
Totally Works!	0.99384826	0.8209168
first one that actually worked!	0.92901677	0.8859551
Works great	0.9836436	0.7924283
amazing	0.23569731	0.5863865
Great Product!!	0.9937896	0.8416163
Amazing	0.9926755	0.6770878
Absolute necessity	0.0154681355	0.7529818
Great Product	0.86441284	0.8325741
Pretty good	0.9025025	0.8772881
Bed Band	0.1608336	0.79730034
Bed Band to the rescue	0.93308836	0.81193656
Holds sheets firmly to the mattress	0.737943	0.7900839
Not for old people.	0.017036723	0.5897033
Perfect!	0.9835687	0.87890697
Works great	0.9752168	0.8469187
Excellent product	0.9101788	0.8255334
Work great	0.8559823	0.8352703
Bed Band	0.69110954	0.86097443
Recommended for the tosser/turner!	0.99378294	0.873206
Does a great job	0.97909784	0.865671
The simply work.	0.49159664	0.7564838
Works!	0.947907	0.85163456
Too Short	0.085210726	0.56796294
The Best Boring Product Ever	0.9359408	0.88349
Great product!	0.82785785	0.84758055
The ORIGINAL Bed Band - Adjustable Fastener/Holder/Strap/Suspender/Gripper...	0.97309643	0.92104197
If you need sheet holders, buy these!	0.9452931	0.82764244
should've gotten these years ago!	0.9936149	0.7655935
It works!	0.17666176	0.7651986
Works better than most..	0.17230122	0.899041
Great investment	0.9990252	0.81272644
Best product ever to keep sheets on the bed	0.98657113	0.85844755
Love these	0.84017676	0.817078
They work	0.24460673	0.3738886
waiting for these things my whole life	0.98389155	0.8607198
really works	0.9323528	0.8123155
Kind of works...	0.5550732	0.807853
Very Pleased!	0.9864283	0.8925464
Rigged Reviews!	0.070153154	0.8162806
Do the Job	0.9905753	0.87349224
fastners arent strong enough	0.07837308	0.8191223
Performs as advertised	0.98021287	0.82033557
Love them!	0.9908517	0.77073246
These really work	0.10149842	0.6856264
Great product	0.99121034	0.6629838
They do the job!	0.97541714	0.8909628
OK	0.7786484	0.2386092
Bed Straps	0.9881648	0.87773746
Not as good as I was hoping for =/	0.011072572	0.71492404
Did what it said, my sheets stay on now!!	0.5639634	0.62234014
Does not do what it says	0.3719413	0.68666154
"All I can say is ""Wow!"""	0.63759106	0.84409845
Thank goodness!	0.96630603	0.8171595
Worthless	0.022045506	0.7308085
Love them	0.95863277	0.7143674
Amazing!	0.9726298	0.8784489
Love these! I used to have to re-make the ...	0.94347936	0.86211807
Finally my husband stopped complaining about the sheets!!!!	0.9960789	0.82332045
Finally I can use my non-Tempurpedic sheets on my Tempurpedic bed!	0.9799529	0.77879745
WOW	0.9893245	0.8811562
Doing a great job so far!	0.9963981	0.85931176
Worked great	0.89605856	0.8782402
Super easy to use and great results!	0.8775022	0.7891187
Does the job!	0.2727962	0.60253406
Perfect for our Pop Up Camper	0.9981988	0.9335918
Yep, they work.	0.9534978	0.3337999
They work!	0.49063993	0.7917719
Great!	0.39891618	0.7625568
Holds on sheets that I was going to return	0.1734645	0.8391147
So far so great!	0.9905838	0.89380246
FANTASTIC!!!	0.9838538	0.8776102
Good!	0.9849296	0.78806895
Gripping and not Griping	0.95374167	0.8892836
Tight Sheets!	0.99553716	0.7868006
Works Great!	0.994507	0.84621656
They work!	0.9969547	0.825061
These ARE AWESOME!!	0.23386848	0.6802756
Great Little Product!!!	0.9907775	0.9179019
wonderful product !	0.85441554	0.8095749
Finally something that works	0.9601922	0.8347557
No more frustration!	0.95252633	0.86737245
i love it	0.97798735	0.8403618
AWESOME.	0.19320574	0.6915851
Three Stars	0.7151723	0.17988898
Great	0.896336	0.87315536
Good quality	0.996296	0.85111463
Very clever design that actually works	0.8848872	0.88805014
Best thing since sliced bread	0.98873466	0.8010901
Best one I've had	0.8728843	0.84320617
Finally a mattress gripper that works!	0.9820181	0.91817266
sheet fasteners	0.04340323	0.70872045
"NOT FOR ANCHORING MATTRESS PADS - plus, ""lock"" slips"	0.49823007	0.898303
Disappointed...	0.12580746	0.8867277
great concept - but diffucult to use	0.23006064	0.84172696
Love them!	0.9705016	0.8420073
Great Product	0.8328722	0.83702093
Great product	0.966851	0.8498793
Great, Great, Great..... these are the best bed bands	0.6002251	0.43202168
Great product - very easy to use!	0.99016577	0.7304329
helps a lot	0.39492878	0.7324434
Works great	0.9836663	0.884872
These things... What an innovation	0.17604123	0.7833628
Totally worth the money	0.98836154	0.8241328
So far so good	0.63854516	0.83679056
amazing solution to slipping sheets!	0.9509187	0.8764932
Worked... for a while	0.11299561	0.8496652
Work great!	0.9767255	0.8489407
These work great!	0.5693505	0.7006059
Just what Bedmaking Needed	0.9833172	0.8899338
Eh!	0.41602838	0.64918274
"""THE BEST THING EVER"""	0.415401	0.73605114
Five Stars	0.2752896	0.548041
Excellent for Adjustable Frame beds	0.6819894	0.60415137
Fastener	0.99855095	0.85568905
Great Product!	0.99220955	0.856743
Thumbs Up	0.99023825	0.84628576
good product	0.99211895	0.8054724
Great product!!!	0.996588	0.9080865
works well	0.98277307	0.7146616
fits on all sizes of mattresses	0.9975171	0.8376751
they didnt work	0.007893616	0.7811321
easy to use	0.96956563	0.8879322
They work!!	0.96669257	0.857181
Half-Functional	0.019421723	0.8462612
Gave new life to our sheets	0.96323216	0.7779629
Bed Band	0.952514	0.8476066
Does the job pretty well	0.95189023	0.76876414
does the job	0.90141416	0.8051478
Three Stars	0.29912716	0.46298447
Okay, but not great	0.21366642	0.78504944
Happily & Totally Satisfied!	0.9413955	0.8626023
Trying these!	0.9880656	0.6025814
works perfectly	0.79564947	0.78792626
Excellent, works perfectly.	0.4618315	0.8239566
Great for teenagers	0.9578734	0.86934537
... is just what we needed for bed sheets we love, but kept slipping off the corners	0.9164964	0.8253883
Fit	0.07612345	0.55269426
Bed Bands are great!	0.3851996	0.7346249
Good product	0.45609918	0.48070693
bed bands	0.95906174	0.7989674
they work	0.6743024	0.80061615
Great product!!!	0.7381701	0.75758535
Came with good instructions	0.77665293	0.71056366
Bands Work Great	0.984026	0.87222105
Really Works!	0.82613003	0.85523826
Does as Advertised!	0.9646712	0.85932034
PENDING	0.9826933	0.05179719
