sentiment_scores	genuineness_scores	summary
0.9259757	0.75793606	essential
0.08389947	0.88860977	works great for iphone 5 about 2 1 2 charges ymmv
0.016569555	0.30085474	no clue about the actual product see full review 
0.21663955	0.32864922	mophie powerstation doa
0.93843126	0.6915854	great little battery 
0.98757446	0.69974715	does what it says it does
0.036318928	0.71232015	be careful
0.9885243	0.7590001000000001	never run out of juice
0.3115986	0.47938555	mophie
0.0023677647	0.83585405	terrible awful merchant 
0.5925729999999999	0.36660588	so glad i got it 
0.9964675	0.72852	great product came in handy during power outage in the north east
0.99424964	0.7737403	keeps my iphone working
0.97707343	0.7852321999999999	good design excellent travel tool
0.0019440353	0.55107576	doesn t work
0.6167214	0.726474	great product
0.74978185	0.7119091	don t bother
0.6207915	0.8894183000000001	mophie powerstation battery 4000 mah review by dale
0.096138835	0.5828201999999999	longevity is lacking
0.8103055	0.7332095000000001	good power 
0.01114428	0.48356193	broke and does not wrok
0.040614605	0.5427859	will not work with casio commando
0.038310766	0.8349576	good while it lasted but it didn t last long
0.9808339	0.76759636	lifesaver clutch item to have on you
0.019690543	0.5320045999999999	doesnt work 
0.98127234	0.8109187	love this mophie 
0.022836894	0.5873553	possibly a refurb
0.05834356	0.5586439000000001	beware 
0.98016596	0.672819	excellent a must have for an emergency charge
0.7097226	0.65280545	not quite there
0.047292917999999996	0.76092076	should your mophie juice product not live up to the advertising
0.22234511	0.6971754	was awesome when it worked 
0.9826220999999999	0.7446377	lots of power small package
0.99119747	0.7143509	excellent source of charger
0.07298815	0.58819467	incorrect product shipped i hope
0.27034873	0.56658137	loses charge after 24 hours
0.95185506	0.7529633000000001	works great for our vacation
0.9707203999999999	0.81700814	i owe my coachella photos to mophie
0.0153077245	0.64857715	product photo is not correct
0.004478991	0.7388255	counterfeit product 
0.8401584999999999	0.73178416	great for a day at disney
0.19318229	0.49759188	not practical for carrying around or travel
0.0075725615	0.5211122	counterfeit item do not buy from beach audio 
0.72110605	0.8022653000000001	solid
0.012034297	0.39017314	powerstation
0.05378228400000001	0.6787850999999999	good product awful service
0.046740294	0.6374628000000001	dissapointing
0.8181278000000001	0.7440448000000001	just right size and capacity for iphone beware counterfeit and take care on usb insert
0.9973533000000001	0.8423896999999999	mophie power station brilliant highly portable high powered pak 
0.9979075000000001	0.75176555	lovely piece of electronics
0.015936375	0.72523296	doa
0.41811967	0.70557714	made of glossy plastic material can t charge phone while recharging mophie 
0.006220340699999999	0.77462715	avoid
0.42739132	0.5876018	best for its price
0.99757576	0.7225783	buy it 
0.96199393	0.7834369000000001	great back up power 
0.63760185	0.53913915	decent power source but i can t stand the leakage
0.39622146	0.6799514	believe we received a fake
0.43902203	0.7057524000000001	does not fast charge 
0.0016549528	0.6136598000000001	fraud
0.09000093	0.27044070000000003	no information in package on how to use
0.030583024	0.7297073000000001	will not charge after one use
0.6864610999999999	0.5860573	after further use
0.99180734	0.73403955	as advertised
0.95793927	0.79837817	los67
0.113382995	0.7672981	okay but not great
0.9961964	0.8450484	fast charging well made and dependable
0.016174465	0.71609205	power station loses charge
0.9989872	0.8400191999999999	travel with it anywhere everywhere 
0.975822	0.68370533	super charger
0.9841566999999999	0.74934757	love this charger 
0.11661863	0.73329586	worked for about 8 months
0.15434042	0.730696	overpromises underdelivers
0.9813755	0.7103623	great for travel
0.05676371	0.5484153	terrible
0.989614	0.69715816	a 
0.9888153000000001	0.73417634	i like it 
0.057819217	0.6467248000000001	repackaged used
0.98603594	0.75339997	good product
0.83992636	0.6468887	not exactly what i was looking for
0.9988001	0.8444109000000001	magical little box of power
0.029681206	0.29510444	don t know if i am usinig it wrong
0.33884984	0.67350364	does what it says works well for android
0.97840023	0.7582064000000001	distance bike riding
0.7007354	0.5330189999999999	mophie juice pack powerstation 4000
0.11170831	0.53011864	friendly advice
0.99405015	0.70461977	quick and handy 
0.019460738	0.6000418000000001	won t charge for more than 2 seconds without pressing the status button
0.0014891028	0.45224285	another piece of junl sold by amazon and or its resellers
0.16339871	0.6904795	disappointing very small capacity 
0.46666179999999996	0.77998084	great size price not great charging
0.7557736999999999	0.68749344	good battery back up but not expected capacity 
0.33366454	0.5330309	good by looks cheap 
0.8713324	0.7070233	best purchase youll ever make
0.98870784	0.73937386	a very useful extra power boost for anything you would charge from a usb
0.99219126	0.7587752	great for other products other than iphones ipads
0.99077743	0.7583270999999999	love it
0.99036986	0.70500255	awesome
0.009705037	0.46124354	no directions or packaging
0.06634891	0.81074655	mophie not worth it for new ipad or iphone 4s
0.9953846	0.7814313	jambox
0.0011786222000000001	0.6727599	damaged
