sentiment_scores	genuineness_scores	summary
0.9979667	0.8395867	fits perfect
0.3545066	0.46433562	cute
0.0029099882	0.6460531	not happy at all
0.18846083	0.7089215	silver bling cover for galaxy s3
0.99368143	0.7525170999999999	i like uit
0.018582404	0.49430240000000003	get what you pay for
0.0031644702	0.6424608	cheap
0.46264106	0.62572676	good product for the price
0.012654543	0.614609	shattered
0.032856256	0.44968006	phone case
0.05311805	0.53494537	no
0.003932476	0.40282629999999997	horrible 
0.54629594	0.5784321	no reception
0.69898164	0.6004472	great case 
0.9905902	0.7286954000000001	phone cases
0.07189983	0.55805075	looks better then it is
0.94903314	0.71576023	bling glitter case cover
0.07882264	0.57884365	phone case review
0.021282017	0.58187	eh
0.056636482	0.5220905	ummm
0.02167201	0.66795623	silver case
0.0062442124	0.35313490000000003	just no 
0.19884129999999997	0.59633803	its ok
0.035724162999999996	0.45468903	bad review
0.0007273853	0.5307031	cheaply made
0.917299	0.7524270000000001	love
0.116681695	0.5842191	bling
0.7462429	0.6786644000000001	cute but 
0.9939665999999999	0.73989195	i recommend this item 
0.38915682	0.42868665	don t like glitter
0.23219219	0.48954293	just for looks
0.08153644	0.50954515	too much glitter
0.0080010295	0.46834970000000004	it arrived cracked
0.1959348	0.38970318	it s okay
0.003807366	0.6012561	ridiculous 
0.0030596852	0.49627772	would not recommend
0.20522961	0.6245982	beautiful
0.02078104	0.60257274	what case 
0.9929892	0.6700579000000001	bling glitter case for samsung galaxy s3
0.01770261	0.55159986	broken 
0.900753	0.72889763	great 
0.019486248	0.46921363	total disappointment
0.01471594	0.35127709999999995	don t buy
0.99560857	0.7796937	silver luxury bling glitter coated case cover for samsung galaxy s3 iii i9300
0.016900718000000002	0.44847482	worst service ever regret this purchase 
0.9882270000000001	0.79366344	perfect
0.025453568	0.5239342	broken doesn t fit 
0.19144583	0.7335881999999999	not so great
0.0044649243	0.5712993000000001	cheap made
0.85307074	0.7571883	i love this 
0.031102031000000002	0.57993585	not pleased
0.02210468	0.38527393	the case cracked the minute i put it on my phone 
0.9413339	0.47906992	glitter phone case
0.16274470000000002	0.6257343000000001	broke in 2 days
0.074154496	0.53174543	no what i had expected
0.0033043623	0.5361535	not worthy of my two dollars 
0.1308125	0.33355477	ill
0.010541588000000001	0.62446934	pretty but too small and broke within minutes 
0.044315815	0.44810137	expected not
0.34391740000000004	0.535863	cover itself is ok as expected but it cut the phone reception drastically 
0.08581886	0.5992225	beautiful case doesn t protect the phone
0.15053877	0.43566293	not what i expected
0.10728732	0.6151694000000001	not impressed
0.019047588	0.62551486	cheap
0.85323334	0.36575145	very responsive
0.21412092	0.45830360000000003	thanks for the broken case
0.9943582000000001	0.79347044	sparkles
0.039554268	0.506794	poorly made
0.08214271	0.5185316	don t buy this glitter coated case for your phone 
0.7910923000000001	0.68429923	so pretty 
0.8221290000000001	0.51755846	love my case
0.0094973445	0.5935145000000001	cheap looking
0.052757353	0.5111140000000001	broken upon delivery
0.5477359	0.5019834	loved this thing 
0.19024092	0.4865777	silver luxury bling glitter coated case cover for samsun galaxy s3 lll
0.0005246103	0.51546246	broken junk
0.9669011999999999	0.7218391	bling a ling 
0.03179741	0.4289396	samsung galaxy case cracked upon arrival
0.93338716	0.77339756	i totally love this phone case
0.13818833	0.6008245	like it a lot
0.08783439	0.53798926	not the same as pictures
0.028829068	0.7045435999999999	cheap price cheap quality
0.025163442	0.40094640000000004	pos 
0.31480777	0.5035788	glitter explosion
0.20166314	0.48609188	cracked easy
0.091358095	0.4170137	glitter everywhere
0.9994417999999999	0.8054306	i love sparkles 
0.12858066	0.6644631	pretty but not so durable 
0.44084700000000004	0.5495765	i love this case
0.05983591	0.56645477	phone
0.010018915	0.5123265	horrible 
0.079264015	0.59048593	received cracked
0.78427744	0.8057904	compliments the device
0.0560053	0.47008565	broken
0.6618465	0.6719316999999999	phone case
0.05804932	0.6754186	cute but cheap
0.96534073	0.6814489	bling bling
0.056174845	0.73389536	okay 
0.00096717477	0.47196683	cheap
0.022740543	0.47205076	cute but non functional
0.0026741028	0.5060032	broken
0.0015009642	0.6053748000000001	not satisfied at all 
0.1947138	0.57396924	bummer cracked
0.048866152999999996	0.40531144	sucks
0.9676323	0.7265495	silver glitter case cover
0.013016641	0.5853201	waste of money
0.22130746	0.58674186	glitter everywhere
0.12526375	0.4254446	i need it now not later
0.06341788	0.76349336	was not pleased 
0.87066483	0.74196523	 update 
0.9664683000000001	0.7461569	i feel pretty 
0.08113468	0.28448537	horrible
0.9088968000000001	0.6292883	glitter case
0.008396536	0.4650005	was damaged
0.0023765266	0.6068927	i don t like it
0.428597	0.5456842	good
0.14343247	0.5175761999999999	poor quality
0.019993275	0.45299155	don t purchase
0.9986403	0.8442287	like it
0.21261734	0.6356512	broken arrival 
0.9873664000000001	0.8660625	bling phone case
0.09656218	0.6748953000000001	pretty but not worth it
0.002200961	0.6721361	chaep cheap cheap 
0.00601846	0.54187024	disappointed
0.022218376	0.4086074	boo
0.99843466	0.7721939999999999	samsung galaxy iii phone cover
0.011473268	0.42662996	broken
0.075080335	0.5121202	really upset 
