sentiment_scores	genuineness_scores	summary
0.78565705	0.75581264	saved my wife s phone 
0.9998020000000001	0.9221974000000001	sturdy and pretty 
0.9274633	0.72332674	protects the phone without the bulk
0.7696122	0.69836795	lay flat
0.9979447	0.87796664	never owned a better or better made iphone case 
0.98477185	0.7909354999999999	glam case
0.9859253000000001	0.7252338	beautiful
0.14397064	0.3702506	cute but way too bulky
0.9652033999999999	0.77848107	good quality great look
0.9665562	0.6777506	cute
0.8605969000000001	0.8293562	perfect case 
0.99810255	0.8668809000000001	well protected and beautiful though a bit expensive
0.6840919	0.8200058000000001	cute but 
0.5933001	0.76462924	finally found the perfect case 
0.9021276	0.820293	a thin case that protects
0.97947675	0.90253377	very protective case not much for looks 
0.81249726	0.7660513000000001	awesome 
0.98998153	0.77281964	love this case
0.98847854	0.84613883	love the glam cases 
0.4128295	0.74878454	nice case until 
0.25583777	0.46968478	cheap
0.9365709999999999	0.8624426	so shinny 
0.02377525	0.71012044	rubber coating nice but wears off quickly
0.112814546	0.5766885	kinda disappointed
0.32664144	0.49403559999999996	eh
0.077566564	0.6174843000000001	over all good case but don t go with the white bumper
0.43146992	0.44975942	cute but cheap
0.7037544	0.7886006999999999	will protect but looks and feels cheap
0.91636086	0.8345505	so cute
0.8756375	0.67696905	iphone 5 panda case good overall
0.95534503	0.83496904	high quality case
0.996136	0.85670114	cute designs plenty of protection for your expensive phone 
0.7889522	0.7766629	feels good in the hand secure
0.99598897	0.8278883	pretty case
0.62955207	0.6753011999999999	overpriced
0.4501668	0.75108147	finish starting to come off
0.49558288	0.7617406	sparkles
0.18386075	0.7266191	matte finish wears off 
0.99688923	0.7680142	love
0.97966933	0.7349967	great case great price 
0.2718163	0.74840903	good fit but not great durability 
0.021841108999999997	0.48786396	poor design
0.9906783000000001	0.82684344	solid product
0.96691465	0.8355732	happy
0.9837655999999999	0.73284566	beautiful soft glitter case 
0.21885324	0.5964625	wasn t what i expected
0.95866585	0.76158094	great case
0.9708972	0.67599547	slim iphone 5 protection
0.3186271	0.34561586	not worth price asked
0.9482370000000001	0.77420026	my new iphone 5 case
0.9829171999999998	0.8510464	quirky design with functional use
0.8503791999999999	0.71335804	good
0.9938865	0.9219183000000001	cute functional
0.28746083	0.70924175	cute case but a dust magnet
0.10981622	0.6603368000000001	not happy
0.19802999999999998	0.7061782	not recommended for 5s
0.9931168	0.7774432	glam case
0.06707734	0.5667331	old case sold as new 
0.9500989	0.7587062	love its appearance 
0.95750016	0.75096285	not the same as before
0.9382093	0.7711631999999999	it has eeeeaaarrrssss 
0.87214434	0.77298534	the iphone is secure in my hand
0.9025190999999999	0.7903802	glam case
0.0992901	0.69642425	fatal flaw in the design 
0.99483174	0.82892686	glittery fun 
0.28606957	0.54222584	good case
0.0035531223	0.7669569	fell apart within months
0.1493037	0.59182996	pretty good
0.9992875	0.8941620000000001	amazing case 
0.9761492	0.8318591000000001	best case
0.0013671517	0.6861801	disappointed
0.9948535	0.6542536	amazing case
0.25398117	0.54187036	great case
0.18610665	0.56957614	not a good fit on the iphone 5
0.8799653000000001	0.8734271	case mate iphone 5
0.09679192	0.55848604	poor quality poor return process 
0.9592985	0.77510774	great product
0.9982667	0.8161286999999999	great case
0.9399698000000001	0.7756033	very nice but was scarred 
0.035017043	0.6692635	matte finish rubs off easily
0.1373438	0.6149895000000001	absolutely love it and the 11 price 
0.8855827	0.7142661	looks great
0.78644073	0.73137033	great cast
0.87935424	0.75939965	good case but they hose you on price 
0.16443941	0.58631307	excellent case clean look 
0.16584232	0.42879072	hope you have a bose headset 
0.88018084	0.7934413	good product
0.9874075999999999	0.61393	love love it
0.9510466000000001	0.57352555	tough enough
0.25760412	0.7842095	high expectations unmet
0.99954545	0.8745443000000002	exceeded expectations
0.9059775999999999	0.70575696	iphone 5 barely there case case mate 
0.9453220999999999	0.7534224	it is exactly what i was expecting
0.015592693999999999	0.5702986999999999	terrible 
0.8397880999999999	0.71984345	iphone 5 case
0.03187087	0.4900662	did not fit
0.9171473	0.6820168000000001	love it 
0.97943807	0.7695806	love this case 
0.15982506	0.64869213	discolored in less than a month 
0.99578494	0.8312991	awesome case 
0.35970154	0.56035036	good case
0.7040177	0.5484445	exactly what i wanted 
0.5578776	0.7846675999999999	a good case to last you for a few months
0.99750423	0.82260346	rich color case easy experience
0.48817453	0.4679147	overpriced
0.97315097	0.8235638000000001	fits great but 
0.9407312	0.86018515	truly slimline and lip protects screen
0.99873805	0.865203	glamorific 
0.99708974	0.7278358	super cute and great quality
0.9677087	0.76208484	durable and not bulky
0.8362309000000001	0.7711488000000001	sexy is the word that comes to mind when i look at this case
0.95964336	0.7503395	much cheaper price than phone store
0.9723417	0.7633635	useful stand with a great fit
0.7852395000000001	0.7787065	gold iphone necessity
0.9770981	0.6876396	my favorite case
0.9499403000000001	0.66121036	good tough case
0.55467737	0.66763395	good slim case
0.0020665824	0.5587869000000001	 very difficult to get plastic bottom cover to fit easily over rubber top cover
0.9889087	0.8923426999999999	the best
0.044945687000000005	0.34279478	did not fit my iphone 5c
0.9866568000000001	0.73330265	love love this case
0.93633425	0.8016745	ok case
0.3177725	0.6681686	great but
0.8770062	0.7099916000000001	nice case 
0.94178843	0.82873726	overall good case
0.68115234	0.72454107	beautiful 
0.984952	0.9130287	excellent quality 
0.5676916999999999	0.81401265	not created as good as it looks
0.9974273000000001	0.85728383	great case 
0.9942274	0.8214252000000001	awesome deal 
0.9867222	0.73180676	wish it came in 4s
0.99404764	0.812796	so cute 
0.9929271999999999	0.77895904	i am an uber fan of my new sparkly case 
0.99103594	0.78876626	great case with some bling 
0.99733365	0.8346478999999999	good buy 
0.41506454	0.6029978	pretty case
0.95515203	0.80698264	great protection with minimalist design
0.9704775999999999	0.789148	nice case
0.9840790999999999	0.82026994	iphone 5 phone cover
0.5234925	0.72909915	barely there great case just like the 4s model
0.7088479	0.6801488	good reliable case
0.9888203000000001	0.73843366	good stuff
0.5815904000000001	0.6931049	love it 
0.047190458	0.55116874	not what i expected
0.18742335	0.73095775	cute but not functional
0.9846847	0.81760514	great case
0.80367494	0.7143496	good case not great
0.9870434000000001	0.75535107	the best possible case
0.01492548	0.48733252	garbage
0.1845111	0.61286044	pales in comparison to the spigen saturn and spigen slim armour
0.2762243	0.6189815	wrong color
0.98761404	0.779072	love it its slim pretty and protective
