sentiment_scores	genuineness_scores	summary
0.0744209	0.31033278	a waste of money now i have a 10 worth or paperweight
0.9992447	0.8731275	great case
0.9924668	0.83766353	functional
0.97267056	0.8449177	great but could be better with some slight improvements
0.024243057000000002	0.5456739	kay s case i5 smoke soft skin
0.85510767	0.8143114	just what i needed except 
0.8425311	0.80747634	great case screen cover ok
0.9374534999999999	0.9079704	great value 
0.84677196	0.53580034	question
0.04380938400000001	0.39403093	scratches
0.8984675	0.8222593	frost clear is nice for the white iphone and it fits 
0.87345445	0.77492917	great case
0.99444944	0.89458776	perfect 
0.85072535	0.7321939000000001	nice
0.8856822	0.81276596	great case
0.019658476	0.6170958000000001	camera cut out not good but nice material and feel 
0.9784684000000001	0.8092998	good case 
0.053362757000000004	0.620039	it doesn t really fit 
0.24029520000000001	0.48809589999999997	nice case worth the money but small problems
0.9764083	0.72809654	love
0.007366419	0.66920173	build quality is bad
0.26178795	0.71455777	bulky poor finish
0.9654306	0.86219084	perfect case
0.96336937	0.8787447	was supposed to get me by but is now my permanent case 
0.96897143	0.7887991999999999	great value for case and skin protector
0.88970494	0.7498088	never buy a white case again 
0.92687863	0.78916967	great case for reasonable price 
0.0035348535	0.738913	cheap transparent plastic sides 
0.84662944	0.7557894000000001	slim and perfect fit for i5
0.042556614000000006	0.6399673	yellowed after several months
0.99951184	0.5930922	the only case i buy for my iphones
0.36729258	0.6439978	prime shipping is false advertising took 8 days
0.89532185	0.7087512	good light weight case
0.9541255	0.7929958	nice case for the money
0.94094634	0.8587691999999999	perfect case for my t mobile s3
0.006253779	0.69135594	ugly color
0.9711068000000002	0.8947994	kayscase vs luvvitt vs diztronic
0.997403	0.7517849	it s a great case fit my iphone5 perfect 
0.94162536	0.7212191	iphone 5 cover case
0.9977362	0.8380723	great case to protect your investment
0.13608465	0.5411024999999999	white to black
0.7405444	0.64276063	does the job but lacks class
0.08780524	0.51994157	somewhat poor quality
0.36076498	0.6454376000000001	not good
0.2824342	0.62624764	i expected better
0.9850768	0.8161039000000001	iphone case snob
0.028263986	0.75617063	case has changed from previous descriptions now has branding poor molding black version is not see thru
0.8989159999999999	0.89045703	great case good screen cover
0.5971879	0.636749	super case 
0.99040246	0.865139	surpisingly excellent quality
0.7667146	0.6295937	like the soft touch
0.91789925	0.788429	decent case for the price
0.9796853999999999	0.8335140999999999	really nice and low cost
0.7878649	0.50930977	great
0.79333484	0.9228083	buttons hard to push poor longitudinal structure on screen side 
0.9944917	0.85763264	just what i needed 
0.84511554	0.7696812	not bad but average 
0.005408615	0.71632975	defective case
0.93385226	0.72979033	good case
0.6690881999999999	0.8100447	temporary protection until i find a better one 
0.9511484	0.70822287	this product is amazing
0.1687924	0.5657515000000001	too thick and too heavy
0.81013215	0.78122044	great case highly recommended 
0.9920125	0.6369239999999999	great product with great price
0.94474643	0.8388704	better than expected
0.9935796	0.67540824	perfect fit 
0.9950825000000001	0.8397348	iphone 5 kays case
0.98975897	0.84956634	excellent fit for iphone 5
0.5195113	0.5100357	leaves a bad taste in my mouth
0.7072474	0.5895443	perfect 
0.34524920000000003	0.6395793000000001	i like it
0.06973338	0.42722899999999997	 
0.5894202	0.76685053	fits phone but off centered on buttons
0.94731146	0.5462769000000001	its alright
0.3138387	0.6638293000000001	okay but wrong color
0.7096803	0.63970995	it fits
0.20449045	0.74393916	you get what you pay for 
0.95472777	0.922891	an excellent iphone 5 case for those seeking a minimalist design 
0.9617604999999999	0.7663813	super nice snug fit 
0.99782825	0.86977243	great minimal case 
0.26782656	0.7042425	poor quality and white color became dirty in 2 weeks
0.0010595918	0.7335935	doesn t fit and not the advertised color
0.9255491	0.77712893	perfect case 
0.85327625	0.7935033	tight fit solid case
0.008560628	0.63362485	not as described 
0.8641194	0.82471657	fits well but experiencing discoloration from light use 
0.91772664	0.7110506	great case but no screen protector provided updated
0.06289148	0.62301195	great style but one huge problem
0.2393558	0.55855715	love and hate the color
0.057629257	0.5341045	right to the garbage
0.30566964	0.5367379	case for iphone 5
0.536528	0.35981438	a good product for the price 
0.0009004175699999999	0.34159383	horrible
0.46812293	0.4078742	why conflate the s3 and s4 products 
0.3828259	0.50380355	serves it purpose
0.006513566	0.39020476	free screen protector not included 
0.94685566	0.797913	this case saved my iphone 5 
0.97731054	0.82705545	great case and excellent customer service
0.11434069	0.61410093	turned yellow after few months 
0.9964373	0.86903584	great buy
0.8997226	0.89202607	exceeded my expectations
0.9540086999999999	0.8317216999999999	nice case but beware
0.09325445	0.5344703000000001	ok for the money
0.9680694999999999	0.9206945	 review kayscase slim soft skin white 
0.8903388000000001	0.6499752	worth it 
0.83023846	0.76910615	exactly
0.09155777	0.47496408	the slots were misaligned i could not plug in my ear piece
0.7902541000000001	0.81798196	near perfect case for me 
0.7036479999999999	0.792079	matte back shiny and sticky sides
0.059821844000000006	0.5790665	not as advertised
0.9949617000000001	0.84291977	impressive
0.7916850999999999	0.765746	very well made product highly recommended 
0.9506349000000001	0.7952897	nice product
0.93016255	0.7212677	great case
0.90030074	0.7855761	excellent case
0.99249274	0.8165305	clean still soft very good case also screen protector 
0.9443115	0.6672083000000001	really good customer serivce
