summary	sentiment	genuineness
Best Small Recumbant Bike	0.9294448	0.792084
Great product and price!	0.8936801	0.8500305
Love it love it love it	0.94768274	0.90742236
Exerpeutic Folding Recumbent Bike	0.98804027	0.7335261
Just What We Were Looking For!	0.8784157	0.8353525
Very Nice Bike	0.9687659	0.6306402
We love it	0.95605344	0.82304364
Great gift idea	0.990244	0.72302955
Great little bike for the money!	0.9934962	0.83889174
Great purchase	0.973743	0.8875536
"At 5'10"", bike not big enough for me."	0.66552866	0.8107665
Great product but don't push on screen.	0.9442644	0.8528178
Very nice piece of equipment	0.9933236	0.9133415
Le sigh	0.0491128	0.9239254
works as advertised	0.98377556	0.85629076
Bike	0.9930854	0.7183574
Great workout and well worth the money.	0.9659498	0.9167159
Great product.	0.961498	0.8363825
Great Value!	0.98176414	0.9027248
LOVE IT!	0.9551716	0.79594254
Good for casual exercising	0.9580413	0.77684623
A Serviceable Exercise Bike	0.95424074	0.90766114
Worth every penny!!!	0.99904627	0.8433262
Foldable Recumbent Bike	0.97595483	0.69500065
Great Bike - No Regrets	0.98952484	0.9628397
Great Bike for Short People too!!	0.9701277	0.7857512
I was worried just like you, but don't be.	0.9851842	0.8948022
Terrific Value, High Build-Quality	0.9933227	0.9269835
For daily use	0.9681131	0.7669991
Exerpeutic 300SR Foldable	0.832461	0.9092509
4 weeks of use	0.5530514	0.65052414
Great bike, no matter your fitness level	0.5907448	0.7804133
SUPPOSED TO BE RECUMBANT...NOT SEMI RECUMBANT!	0.99994564	0.008619202
quality and quiet	0.92586213	0.80917305
Good for what you pay.	0.9158569	0.84556675
Great bang for the buck	0.9735206	0.6686507
Great workout for a bike!	0.84867567	0.96473765
Just what we were looking for.	0.9941397	0.86040235
Great little machine	0.92839843	0.6889016
recumbant bike	0.9755256	0.81966347
Easy to store	0.9920242	0.79751945
"Sturdy, quiet & easy to assemble. Use for taller folks (6' 2"") questionable. Read why."	0.9880123	0.9870072
Worlds most comfortable bike	0.7621978	0.897005
Exactly as advertised	0.5892785	0.651611
One year later, still a good exercise	0.9842243	0.85486543
Feels Soooo Good	0.9281401	0.91921943
Beyond my expectations	0.9883575	0.86438435
So far so good	0.980361	0.8437889
Love it!	0.94733864	0.804574
Quiet and Easy to Use	0.9728272	0.8798869
Very Disappointed!	0.019535065	0.8052042
Great work-out at a great price	0.6904985	0.93200934
High Quality	0.99500185	0.7472458
Easy build, great bike!	0.9508913	0.935301
Great beginner/rehab bike	0.7405849	0.8172782
Fantastic buy	0.952675	0.9296104
Awesome bike!	0.9834079	0.7530076
Love this	0.9902778	0.8876381
Love this exercise bike!	0.9417583	0.93684465
Unbelievable value!	0.9979722	0.8461121
Fantastic Bike	0.98537296	0.8967424
Recumbent bike benefits	0.99716127	0.908275
Woo! I'm Loving This Bike!	0.8548009	0.9356649
