sentiment_scores	genuineness_scores	summary
0.5029429	0.6444616	jell covers
0.07748887	0.7019449999999999	not worth it
0.014819771	0.33412516	baddddddddddddddd
0.9943006999999999	0.81657654	nice 
0.99494034	0.79297584	works great
0.12675405	0.37578437	chafa
0.99886435	0.75964534	great product 
0.38931486	0.63904536	just for looks
0.026621073	0.44131190000000003	crappy 
0.0079758465	0.45384616	doesn t fit
0.014653325	0.43394116	nope
0.9604775	0.7123851	better than expected
0.05888018	0.23157585	still waiting
0.031060964	0.46261218	no show on products from this company
0.0046064854	0.69164145	brittle not soft rubber 
0.006984323299999999	0.64606076	awful fitting
0.0013612807	0.5456201	horrible
0.007664174	0.5290145	does not fit iphone 4s
0.9986074	0.8305421999999999	iphone cases
0.8861654	0.8042385	it s a good deal 
0.89802265	0.44460338	eforcity comatible with appl iphone 4 4s cases
0.8384483	0.55056334	cool 
0.08782774	0.48895535	do not bother 
0.8154595	0.7702171999999999	awesome colors
0.0018487573	0.61405355	dissapointment
0.99801546	0.8050307	best deal 
0.05186310400000001	0.50315064	doesn t exactly fit on the phone 
0.22778374	0.53046036	too small
0.008670925999999999	0.590971	unimpressed 
0.98808056	0.77813673	great iphone 4 case
0.95469815	0.73775584	good 
0.995708	0.84222853	great for the price 
0.9865955	0.8231044	tpu rubber skin case combo 6 pack
0.46737003	0.6170224	love these 
0.9879379	0.7612098	satisfied
0.0027838051	0.48141378	not such a good deal
0.9918377	0.77988017	wife loves it
0.9991363000000001	0.8363364	tpu gel rubber cases
0.44457552	0.16023499	have yet to receive it 
0.9995563000000001	0.84488904	good product great price
0.99451506	0.8462980999999999	just what i expected
0.83682656	0.6606609999999999	good cases
0.9947429	0.81735325	wow 
0.028122604	0.44236737	not what i expected
0.01384902	0.47868553	beware 
0.8105241	0.7976247	perfect for the i phone 4s
0.14031753	0.3006245	still waiting
0.9577860999999999	0.7455491999999999	great bargain for the 
0.045004964	0.55338013	the pictures are fake scam
0.10538274	0.5254744	the fit was very disappointing 
0.0853959	0.46964409999999995	ehh
0.005912572	0.39068702	does nt fit
0.7705191	0.70047903	doesn t fit right
0.99275535	0.82586086	good for the price
0.010133892	0.6720154	what started off as a good deal is now a waste of money 
0.9534886999999999	0.7325611	excellent buy 
0.04390976	0.7154931999999999	does not fit well poorly designed 
0.6333981	0.4293802	i phone
0.46168125	0.42421153	unhappy
0.47736624	0.7038976	discouraged
0.7967768	0.7600806999999999	good but not great 
0.6098339	0.6580851	1 3
0.9537046	0.7610501000000001	i love them
0.85575175	0.7488544	like the case
0.9063300999999999	0.7237574000000001	love these cases 
0.09047836	0.559856	makes my hand burn
0.055803597	0.6796171	not as advertised
0.8149031999999999	0.6896524	not a good purchase 
0.06572914	0.49194023	i m not overly impressed with these cases the fit to tight 
0.7494462	0.20535997	hello 
0.54477113	0.6097517	fitting issue 
0.82861817	0.5636796	mmm not good at all
0.06606677	0.52997464	disappointed
0.8383371999999999	0.5652047	great 
0.0038606523999999997	0.50849885	they suck
0.9956668	0.84991	finally 
0.9142814	0.7413993000000001	can t complain
0.024894595	0.5394518	not rubber don t waste your time and money
0.017312795	0.29710048	poor quality and horrible customer service
0.11770448	0.29981863	 128078 
0.9981409	0.8361917	review for cases
0.0023464262	0.4290476	wtf
0.99723357	0.79723793	great cases
0.15940821	0.47527520000000006	bad
0.00025102496	0.5118946	garbage material poor quality
0.8458836	0.6576460999999999	great cases 
0.11429837	0.52446204	its okay
0.17169720000000002	0.5990618000000001	fits well looks dirty on the back 
0.0032697617999999998	0.62240034	don t buy from them
0.0066250563	0.40724653	bad seller 
0.99611557	0.8479356	suprisingly pleased 
0.85684884	0.8154645	took forever to get but great value
0.9001889000000001	0.7056548	okk
0.9807370000000001	0.7786036999999999	awesome
0.009978414	0.59390795	these are not even worth a penny
0.99498343	0.78603864	iphone cover
0.81815684	0.72384745	love the multiple colors
0.33205897	0.41722029999999993	when 
0.96957475	0.8549683000000001	perfect cases
0.99682635	0.8176451	high quality a bargain for the price
0.9643465	0.8474695	super cute little protection
0.01586771	0.47365922	disliked item
0.9685223	0.66709614	great iphone case
0.18947789	0.5959438	says you get three only received one
0.9996507	0.9003037	perfect fit 
0.97998	0.8057835	3x frost tpu gel rubber skin soft cover case
0.7784854	0.24649003	phone cases
0.77398336	0.73454624	too snug
