sentiment_scores	genuineness_scores	summary
0.040256202000000005	0.45966637	good headset bad packaging
0.0356279	0.46692926	new vs used bluetooth
0.08615449	0.7195710999999999	didn t work well for me jawbone prime still my favorite 
0.9488247999999999	0.8836703000000001	excellent no fuss headset
0.3104732	0.71879244	it did not work
0.7205332	0.6892417	lg h17 review
0.98782265	0.77423954	motorola h17
0.05617258	0.60197	breaks easy and better alternatives
0.0070743263	0.53860885	motorola h17
0.67228997	0.7057114999999999	it s great until it breaks 
0.01126039	0.3919091	does not work well together with ps3 and phone
0.18901235	0.47472134	earpieces
0.9736969999999999	0.884376	best most comfortable bluetooth
0.5140427	0.45355824	earpiece uncomfortable
0.8681846	0.8954616	edited review 
0.16556191	0.817086	poor fit low volume poor battery life
0.98614496	0.8204157	h17 bluetooth by motorola
0.9600158000000001	0.8288796999999999	motorola h17 bluetooth i think it s great
0.044441372	0.59648913	the microphone broke
0.32919317	0.7396834	motorola bluetooth h17 headset
0.9868039000000001	0.8041478	great product 
0.0026006997	0.66831803	broken after 9 months motorola warranty useless
0.06197136599999999	0.5441264	first bluetooth
0.5740642	0.79301393	bad design
0.32503122	0.41009504	so so
0.056921154	0.3969248	looking for the real h17txt that speak texts this isn t
0.9789599	0.8551394	best bluetooth headset i ve ever owned on off switch is the best 
0.97495425	0.87334096	unbelieveably comfortable
0.1599504	0.7885591	very small great on off flip boom 9 months later it s broken
0.023993402999999996	0.7077108	not in manufacturer s packaging vital elements missing
0.99444807	0.77895236	motorola h17
0.9819543	0.5940015999999999	superb product and shipping
0.4069394	0.7432333000000001	excellent product for the price
0.022254646	0.82560694	great but battery died too soon
0.99623454	0.9095911	best bluetooth i ve owned
0.50657094	0.7458632	neet little earpiece thats clear and crisp
0.9976636000000001	0.89112496	great headset 
0.40784907	0.8089390999999999	great sound battery but don t perspire with it on
0.4031248	0.7840145000000001	ear clip breaks
0.9808966999999998	0.9143273999999999	works with hearing aids great sound 
0.8494915000000001	0.84815466	great design
0.88513684	0.8863728999999999	great item 
0.7044909	0.37857354	my favorite bluetooth not iphone 5 friendly
0.24621272	0.3267144	i d pass if i knew then what i know now 
0.86417735	0.7485079000000001	nice device nice price 
0.8418950000000001	0.68131405	masterpiece of engineering
0.9889363999999999	0.8553703000000001	excellent bluetooth for the price
0.9992757	0.88652164	one of the best 
0.40664008	0.828313	so near to perfect 
0.33251970000000003	0.7469473000000001	fragile
0.79625404	0.79875267	good headset for the price 
0.33848357	0.6431347	very poor performace
0.93649673	0.8012669	best bluetooth headset better than jaw bone 
0.9720040000000001	0.88637173	moto h17 review
0.07525164	0.7318804	disappointed
0.98295915	0.7439755	good product
0.97877324	0.83947885	wow best ever 
0.98785275	0.83946955	motoral h17 great 
0.98765135	0.7983485	h17
0.9412383	0.7737721	works very well
0.008417845	0.8214495	mouth piece broke within 6 months 
0.07427192	0.43142176	not ipod compatable
0.9199586	0.7233323	blue tooth motorola h17
0.013243228000000001	0.51929265	not a headset awful customer service
0.18346488	0.82692415	not suitable for one handed use 
0.10289609400000001	0.44023913	for the hard of hearing
0.99823034	0.9107987	very good very small headset former h715 user 
0.08943826	0.65536904	loved it up until it broke 
0.17217919	0.69294345	poor packaging by retailer
0.17478698	0.6485748	over priced under performs why the huge box 
0.23235512	0.7117952	ok bluetooth device
0.95559746	0.8669197	motorola h17
0.14611879	0.7738223000000001	good unit but some fatal flaws at least with my phone 
0.0037582517	0.7933001999999999	the price is very attractive but spend your money else where
0.9933202	0.9243296999999999	very comfortable and excellent sound quality 
0.99841166	0.8361091	great little ear piece
0.3211819	0.7065509	not as advertised
0.45350102	0.8067419	best bluetooth ever
0.9894265999999999	0.8082789	very satisfied
0.9978238000000001	0.8629187	i love love love this product
0.9155834999999999	0.88162947	amazon states no ac charger with h17 retail packaging updated
0.3780381	0.40463048	awsome service 
0.92900205	0.80752003	h17 bluetooth headset
0.3102278	0.7478517	sturdy with great range
0.982049	0.8624221	great product
0.048747837999999995	0.8744155999999998	great technology couple very annoying features
0.8952619	0.60316527	great for a year
0.9668356	0.8367127000000001	ear bud
0.8110991	0.8255832000000001	motorola h17 bluetooth headset
0.35886794	0.5346953000000001	be aware the h17 has two models
0.98436415	0.83185387	good bluetooth headset
0.8686197	0.8084581000000001	best ever 
0.99121964	0.83760095	really like the h17 headset
0.04577753	0.8207863000000001	ear wire breaks so easily
0.0027346313	0.5896178000000001	very uncomfortable and not loud enough 
0.071266025	0.50540507	sad example of bad engineering and worse customer service
0.04300329	0.59291625	wth this is supposed to be a gift 
0.026907146	0.65143263	a piece of junk 
0.99901474	0.8169373000000001	great product
0.0040355623	0.5616296	returned 
0.051932365	0.6119832	difficult to use
0.0030977428000000004	0.42527429999999994	cannot use to listen to audio books
0.98949033	0.8717940000000001	moto h17 features sound comfort price battery life
0.015050232	0.591478	battery lasted 5 months
0.98643124	0.8404629000000001	great bluetooth headset 
0.99889886	0.9146700999999999	excellent sound and battery life
0.9981204	0.8807946	good headset
0.028671026000000002	0.5734553000000001	no good 
0.045882045999999996	0.5811062	h17 bluetooth headset
0.59132546	0.725823	h17 review
0.9497776	0.724143	best blutooth yet 
0.78860766	0.83306205	flip open mic is great
0.9738015	0.85136247	love the size
0.035830736	0.70828676	nice headset beware not retail packaging
0.98705524	0.92285097	great little headset
0.060125858	0.6274945	baught and returned
0.006165594	0.6374835999999999	very poor ear hook
0.05846959400000001	0.6783483	very poor range
0.9908893	0.89154166	best ever 
0.21044281	0.7037326	not all i d hoped for 
0.99424076	0.8167565999999999	motorola h17 bluetooth headset
0.0041890441999999995	0.49820638	not worth the money
0.9902591999999999	0.7890017	motoroal h17 bluetooth headset
0.6761589	0.62075037	works for me 
0.85256064	0.75748765	works perfectly but design slightly flawed
0.9312140999999999	0.7739511	 finally 
0.31831062	0.47433347	random disconnection
0.9364541999999999	0.7982909	great blue tooth
0.9990636	0.9078666	best bluetooth available 
0.9745951999999999	0.8582690000000001	great little headset
0.16256341	0.7828876	if you buy it be prepared to replace it
0.20197204	0.8049019000000001	almost perfect but unusable
0.9329653	0.80734205	very nice noise cancellation
0.06890464	0.74736756	mechanical voice
0.7800696	0.7406849	h 17 bluetooth excellent
0.9471555	0.7537173	good headset
0.088884294	0.74492913	great if you can turn it on 
0.99726486	0.82758415	motorola h17 review
0.38603306	0.6336480999999999	awesome buy
0.04163906	0.6949975	won t hold charge gives false readings
0.83867496	0.7593568	a bluetooth built to last 
0.59202534	0.7923708	good news bad news
0.6071744000000001	0.7784225	motorola h17 bluetooth headset
0.01415357	0.561192	bullet proof packaging requires sledgehammer to open
0.9365983	0.83334374	it actually works 
0.99157965	0.8582071	great bluetooth headset
