asin	summary	sentiment	genuineness
B00A29WCA0	Very Pleased	0.9877584999999999	0.70645446
B00A29WCA0	took a beating and stills works	0.87500906	0.60813993
B00A29WCA0	excelent	0.99865985	0.7513814
B00A29WCA0	NO 3G IN LATINAMERICA	0.0045874417	0.5432942
B00A29WCA0	excellent	0.9980679	0.7627624
B00A29WCA0	Best phone n service	0.986944	0.744576
B00A29WCA0	Excelentte!!!!	0.99164146	0.5911215
B00A29WCA0	good phone	0.9886693999999999	0.758803
B00A29WCA0	Very good	0.9374574000000001	0.46394104
B00A29WCA0	Not the Best Cell Phone	0.8626534	0.50747406
B00A29WCA0	terrible	0.035163134	0.4880877
B00A29WCA0	Funciona perfecto / Works very well in venezuela	0.9168120000000001	0.7673255
B00A29WCA0	Not what I thought I would get...	0.01661387	0.75397944
B00A29WCA0	Stop	0.0008340478	0.28908333
B00A29WCA0	Great Gift	0.98585767	0.69601226
B00A29WCA0	I love it.	0.9226706	0.6542515
B00A29WCA0	Excellent Smartphone!	0.99945843	0.8091314000000001
B00A29WCA0	recomendado 100%	0.8737107	0.25608277
B00A29WCA0	Excellent smartphone	0.87832916	0.7685715999999999
B00A29WCA0	samsung galazy mini s3	0.98313236	0.32618982
B00A29WCA0	The worst purchase I've ever made	0.008938521	0.55853635
B00A29WCA0	Loving it	0.9720384	0.71644187
B00A29WCA0	first impression: great phone!	0.44938058	0.7222381
B00A29WCA0	I am in love with my S3 mini	0.9720571	0.5833742
B00A29WCA0	Nice, but not very impressed	0.39694965	0.46540898
B00A29WCA0	Nice phone so far, just be aware it's not a US model	0.7232156	0.8704436
B00A29WCA0	good small	0.8808348	0.46789855
B00A29WCA0	All accessories are wrong. How could this happen?	0.01598835	0.6152456000000001
B00A29WCA0	Not too bulky	0.8007529999999999	0.6147507
B00A29WCA0	THE BEST PRODUCT Works with MetroPCS	0.9995700999999999	0.76158226
B00A29WCA0	Samsung Galaxy S3 Mini	0.91276056	0.80348897
B00A29WCA0	PHONE USED OR BAD CONDITIONS	0.07117665	0.613825
B00A29WCA0	was not as described	0.12281683	0.48738527
B00A29WCA0	It is a very good phone but	0.5273901	0.47790003
B00A29WCA0	the phone that was original purchase	0.009314239	0.59018457
B00A29WCA0	the worst buy I ever made	0.003081262	0.48636442
B00A29WCA0	Espectacular	0.80516386	0.41038245
B00A29WCA0	ANDRES BERRIOS.	0.5726528000000001	0.37046492
B00A29WCA0	battery dont work	0.13782826	0.24800298
B00A29WCA0	BEWARE as fragile as glass	0.010034590999999999	0.6443786
B00A29WCA0	Bad Luck???	0.0074731708	0.5695078
B00A29WCA0	excellent purchase	0.992401	0.6814998000000001
B00A29WCA0	It is not necessary to trick people with used cellphones.	0.05809903	0.42531610000000003
B00A29WCA0	great phone!	0.9307917	0.71078944
B00A29WCA0	Galaxy s3  mini	0.95698303	0.5450233
B00A29WCA0	not have the usb cable in the box	0.311051	0.44217107
B00A29WCA0	Nice size phone	0.41691459999999997	0.45356187
B00A29WCA0	Came whit a damage software!	0.24223143	0.5579481
B00A29WCA0	Think twice before purchasing!	0.002046138	0.7145504
B00A29WCA0	So far I like my phone	0.8877017	0.571904
B00A29WCA0	The Charger!	0.03573969	0.45276819999999995
B00A29WCA0	Bien	0.9992489	0.6729295999999999
B00A29WCA0	Cool gadget for a great price!	0.9622166999999999	0.85824883
B00A29WCA0	Perfect	0.96242017	0.72404474
B00A29WCA0	Good phone	0.6918430999999999	0.38123909999999994
B00A29WCA0	Good For Three Months	0.021128327000000002	0.8049636
B00A29WCA0	Samsung Galaxy s3 Mini - After All, Is The Little Brother!	0.3953093	0.7168544
B00A29WCA0	Perfecto	0.7787449000000001	0.41380438
B00A29WCA0	Review	0.99873674	0.81777394
B00A29WCA0	Poor connectivity	0.0044580996	0.737698
B00A29WCA0	bad	0.0035549402	0.57452697
B00A29WCA0	i cant even figure out how to use this phone ...	0.023243725	0.30071378
B00A29WCA0	just Great!	0.9929831	0.61581135
B00A29WCA0	Samsung Galaxy SIII Mini- As expected!	0.93387187	0.79927266
B00A29WCA0	Beautifull	0.87290287	0.56465983
B00A29WCA0	DOES NOT WORK PROPERLY!	0.009510666	0.5903560999999999
B00A29WCA0	saludos	0.8243659	0.30949699999999997
B00A29WCA0	reclamo	0.11211595	0.47595078
B00A29WCA0	Do not buy it. Not 8GB. I comes with 4.5GB	0.011802614	0.46949416
B00A29WCA0	Good	0.44631755	0.36230743
B00A29WCA0	Great Phone!!!	0.98749447	0.7291251
B00A29WCA0	Very pleased!	0.9908925999999999	0.8976947
B00A29WCA0	took two weeks to get to me...	0.10230869	0.49360293
B00A29WCA0	Muito bom	0.91825163	0.34305882
B00A29WCA0	Gracias, todo bien. Vendedor muy responsable.	0.70574963	0.44707650000000004
B00A29WCA0	Four stars	0.26397866	0.6684635999999999
B00A29WCA0	could use some work	0.4453986	0.5385727
B00A29WCA0	I used it with no good convenience	0.16149837	0.4637738
B00A29WCA0	My perfect little Mini	0.51521933	0.6180448000000001
B00A29WCA0	Fake product	0.009511173000000001	0.5418906
B00A29WCA0	Just Right	0.56343293	0.66642576
B00A29WCA0	Hi Everyone	0.9988231	0.69449997
B00A29WCA0	Excellent phone	0.9129472	0.73102635
B00A29WCA0	Defective phone or sim	0.5173022	0.63720477
B00A29WCA0	Samsung S3 mini unlocked.	0.024033099999999998	0.7896496999999999
B00A29WCA0	Excellent product, I recommend it!	0.99289906	0.6258759
B00A29WCA0	&lt;3 this	0.9964788	0.78056663
B00A29WCA0	Love it	0.88143915	0.43467219999999995
B00A29WCA0	It was refurbished	0.1931974	0.7958797
B00A29WCA0	Samsung Gs3	0.987764	0.7861306
B00A29WCA0	Beware!!! Amazon False advertisement!	0.9007456	0.86932087
B00A29WCA0	excelent	0.9719216999999999	0.67704606
B00A29WCA0	just right for my needs	0.9610535	0.8100878
B00A29WCA0	Samsung I8190 S3 Mini Unlocked White Android - A Detailed Review	0.9994681999999999	0.9820293
B00A29WCA0	Excellent	0.9979200999999999	0.8063313
B00A29WCA0	I enjoy this smartphone.	0.55129594	0.6112728000000001
B00A29WCA0	Excelente	0.73543817	0.25790977
B00A29WCA0	I love Samsung!	0.9424800999999999	0.5127339
B00A29WCA0	Worst Android Phone I've ever owned	0.021340221	0.60480815
B00A29WCA0	Sansung Galaxy	0.99551666	0.680334
B00A29WCA0	This item is not a real samsung	0.0372414	0.6292183000000001
B00A29WCA0	DAMAGED PHONE	0.0730848	0.4625984
B00A29WCA0	Excelent	0.99844277	0.75460935
B00A29WCA0	Not NEW, previously used or opened.	0.1502923	0.5505389
B00A29WCA0	nice	0.8676663	0.66815317
B00A29WCA0	Excellent	0.8247969	0.5729023
B00A29WCA0	BATTERY CHARGE DOESNT LAST	0.12199864	0.5702672
B00A29WCA0	Daughter loved it!	0.9871743000000001	0.6856974
B00A29WCA0	False advertising - I received a locked phone	0.018988758	0.6236062
B00A29WCA0	LOVE IT!	0.9814392	0.8617336
B00A29WCA0	buenisimooooo	0.97754604	0.4690175999999999
B00A29WCA0	Received phone today	0.9810798000000001	0.75891006
B00A29WCA0	great phone but needs better battery life	0.9361870000000001	0.70432657
B00A29WCA0	Great Phone	0.7558199000000001	0.57388145
B00A29WCA0	Amazing phone	0.99153626	0.70692265
B00A29WCA0	Good unlocked phone..	0.48035237	0.6825836
B00A29WCA0	craptastic and frustrating while it lasted	0.14778778	0.4413669
B00A29WCA0	is very good	0.99852026	0.74527425
B00A29WCA0	excelente producto	0.9182973	0.5186858
B00A29WCA0	good treat	0.7270064	0.3682891
B00A29WCA0	Definitely a good purchase!	0.9953189	0.8334669
B00A29WCA0	Came with network lock for Telcel	0.44058859999999994	0.771533
B00A29WCA0	beware of return policies by SHOPBEST	0.014335661999999999	0.58069736
B00A29WCA0	GREAT	0.9935656999999999	0.71390235
B00A29WCA0	its good	0.92672807	0.56023157
B00A29WCA0	samsung I8190 Galaxy S III Mini Unloked	0.7430408000000001	0.2868667
B00A29WCA0	Just what I need	0.9276966999999998	0.70394766
B00A29WCA0	Great Phone!	0.93846023	0.8348855
B00A29WCA0	falla equipo - equipment failure	0.1043677	0.5627719
B00A29WCA0	Does not charge properly	0.07217404	0.73222685
B00A29WCA0	Amazing perfect sized phone	0.99024296	0.86670583
B00A29WCA0	looks good, is as advertised	0.8592235	0.70515376
B00A29WCA0	Affordable GS3 in a smaller form factor!	0.9162696	0.9634204
B00A29WCA0	Really good	0.9454696	0.6807255
B00A29WCA0	Nice phone	0.9305674999999999	0.7742229
B00A29WCA0	Don't let the reviews fool you	0.48521197	0.6971142
B00A29WCA0	Excelente	0.8945780999999999	0.43225706
B00A29WCA0	Samsung Galaxy S III Mini	0.028341382999999998	0.7711136
B00A29WCA0	Amazing phone	0.99977016	0.77206385
B00A29WCA0	Second Smart Phone, Ever and I Love It!	0.9849937	0.8471248
B00A29WCA0	It's a nice, sleek phone but...	0.34518522	0.53323275
B00A29WCA0	it's Okey	0.14936617	0.61866766
B00A29WCA0	I AM VERY  DISAPPOINTED	0.02700156	0.561188
B00A29WCA0	NO NFC	0.15378019	0.46499179999999996
B00A29WCA0	Love the little perfection...(not a good charger)	0.45196798	0.4914550999999999
B00A29WCA0	Surely not as good as iphone	0.45044520000000005	0.72261673
B00A29WCA0	Great Phone	0.9893168	0.82985723
B00A29WCA0	Good phone	0.16929495	0.5046474
B00A29WCA0	French phone company LOGO on the back!	0.40407708	0.6208011
B00A29WCA0	complete rip-off	0.012885898	0.5323956999999999
B00A29WCA0	perfect for my wife	0.98894143	0.6779664000000001
B00A29WCA0	Truly amazing device	0.99591506	0.8232439
B00A29WCA0	oooooooh shiny!	0.29469827	0.63638455
B00A29WCA0	This phone looks awesome	0.98565114	0.75264
B00A29WCA0	GREAT PRODUCT...	0.9942723	0.7689971
B00A29WCA0	Great	0.9457669	0.45074248
