sentiment_scores	genuineness_scores	summary
0.8498950000000001	0.68112665	best 20 blutooth speaker on the market
0.11255639999999999	0.69783485	its okay
0.9756309000000001	0.79032004	wonderful so far 
0.013703166999999999	0.39208752	pretty poor quality
0.8787356	0.85695136	pleasantly surprised 
0.9613136	0.7045033	magnificent
0.99190116	0.7257638000000001	great sound out of a cheap speaker 
0.9987511999999998	0.81475407	great
0.9987034	0.7889789	awesome bluetooth speaker 
0.015123427	0.32170045	only worked once
0.48883763	0.73144317	meh
0.9978640999999999	0.7760408000000001	makes a great christmas gift 
0.76797795	0.46025205	mighty
0.43512785	0.2137967	i purchased serveral this product for multiple connecting with one bluetooth but doesn t work 
0.15576622	0.45291752	ok
0.96963847	0.6237514000000001	you cant beat the quality for the price 
0.9593072	0.8232659	you will not believe how good this device sounds 
0.15695265	0.4247126	i dont know
0.32575113	0.35143682	unexcusable customer service
0.99630904	0.84574646	better than expected
0.9790664000000001	0.71588856	awesome product
0.9866915999999999	0.80077386	this thing is geat 
0.8065164	0.66840494	economical portable bluetooh speaker
0.9440745999999999	0.7274685000000001	holy shnikes 
0.0020950735	0.45042452	not worth the time or effort 
0.0055113435	0.6025009	horrible product
0.24767324	0.5030462	cheap and doesn t cost much either 
0.9936122	0.78736615	what a steal
0.9988849	0.74756265	awesome sound for the price 
0.84124076	0.5668986	worth the 18
0.90904474	0.6705059	the product works as expected
0.008114248499999999	0.67947626	junk
0.0062326790000000005	0.3417992	don t buy it
0.036931843	0.2968087	this is not what i buy buy rechargeable portable bluetooth speaker for ipod mp3 mp4 cellphones many iphone do not buy more at
0.028067619	0.5372507	defective battery won t charge audio skips
0.99255025	0.77247965	thoroughly shocked 
0.019583523000000002	0.52255344	piece of junk
0.009691358	0.58833516	bluetooth does not work spotty customer service
0.9553729	0.66495204	i love this 
0.0008794069	0.62295866	trash
0.9620341	0.84619164	not bad at all for 25 bucks shipped so far so good 
0.9689251	0.76138765	great little speaker
0.93265104	0.73531336	great speakers
0.102968276	0.3788699	defective item
0.99095047	0.8817210999999999	decent sound quality good features low price great value
0.9147755999999999	0.76453555	exactly as expected
0.98805374	0.83402824	price is right 
0.9698778	0.7591647	iphone speaker
0.9971808000000001	0.7901373	love it
0.049274295999999995	0.6369883000000001	its alright for the price 
0.94886625	0.7978295999999999	nice sound
0.9184989	0.74099517	perfect for video shoots
0.7171090999999999	0.6663852	it s ok but culd have more bass sound
0.88581896	0.82728124	excellent
0.07276842	0.5812408	no not good maybe you should buy something else
0.9646374	0.8589747999999999	great bt speaker 
0.95279276	0.7977525	dope little speaker
0.2987882	0.7249309	cheapest bluetooth speaker in the world and not bad 
0.0755049	0.42253336	low volume and difficult to use
0.00032749772	0.7229095999999999	doesn t work going directly into the trash
0.028344393	0.54912174	cheap
0.055709987999999995	0.6292245	plays out of tune
