sentiment_scores	genuineness_scores	summary
0.005055934000000001	0.4717214	terrible 
0.24988702	0.40425667	horrible quality glass foggy and scratched definitely not a new piece 
0.9603865	0.6584945	replacement glass
0.82828295	0.5615349000000001	perfect
0.9794235000000001	0.82931143	patience pays off
0.5026891	0.57188	remove 3rd piece of plastic on glass
0.03273046	0.37517154	not satisfy
0.42926729999999996	0.5951915	not very good
0.8218290000000001	0.7255373	happy with purchase
0.9679358	0.82236147	perfect did the job well 
0.9551638000000001	0.81293	great replacement for the price easier to do than i thought 
0.9150356	0.7821658	great replacement
0.76608056	0.6704776	works very handy to have the included perfectly templated adhesive 
0.6031496999999999	0.44205209999999995	not easy as it says to replace
0.72221607	0.7787616	works with some skill required 
0.5159617	0.4158314	good glass replacement bad adhesive 
0.39751179999999997	0.5695861	saved me 120 
0.9951015999999999	0.739213	i like it
0.88604283	0.7310913	worked good
0.86819386	0.7830075	i m cautious but try this just as your last resource
0.97472197	0.7421542	excellent product
0.98740244	0.7469579000000001	carlos
0.82865274	0.7867528	almost gave it one star because of a mistake
0.48973358	0.5181886	excellent
0.88887143	0.7369909	perfect solution
0.7487903	0.6524993	simple and easy 
0.006301254	0.60656434	it might have worked
0.05866602	0.35635459999999997	instructions are misleading and resulted in damage to lcd
0.2598475	0.49724162	not for amateurs
0.9979066999999999	0.8377667	perfect 
0.0067012009999999995	0.42520952	prokit for samsung galaxy s3
0.49112818	0.49269116	bad quality
0.35366297	0.4603498	glass had imperfections
0.74969566	0.28630490000000003	great product
0.7568735	0.54646873	quick simple can t ask for more
0.009814978	0.31275642	waste of time and money 
0.07513499	0.27731609999999995	replacement screen nightmare
0.983492	0.7352201	best s3 screen replacement
0.3050006	0.3694281	poor product description
0.972016	0.689451	exactly what i wanted
0.8535143	0.7530091	good option if saving money is key
0.9845619000000001	0.9102409	awesome kit it works
0.53766596	0.5666996999999999	never got to use it
0.6563239000000001	0.5712318000000001	glass was flawed
0.383139	0.45629296	everything as expected
0.78023374	0.61344707	excellent customer service
0.7608599	0.68730193	works perfectly
0.28636086	0.6106411999999999	not dust proof
0.9965298	0.84231937	direct replacement of oem part great fit and super easy to install
0.84160376	0.84596896	excellent product
0.9964225	0.82673264	easy as po0p
0.028885156000000002	0.35378575	not all information was given
0.97169924	0.69276863	samsung galaxy s3 screen kit
0.7039255	0.60993445	product works as it should
0.009796619	0.39541948	junk
0.05507204	0.43401759999999995	it fit
0.98442966	0.68603027	just what we needed
0.009583592	0.24652603	stop and read the bad reviews save your money and time 
0.9759281999999999	0.90073955	so easy a caveman can do it well maybe not all cavemen 
0.045260668	0.3472088	i did not recive all of the tools only half of the tools were shiped in the box
0.99543655	0.75264895	perfect
0.47996897	0.65608144	its a good replacement
0.093256325	0.31974775	dissappointed
0.27776423	0.4031591	great until you look at the glass screen
0.06192434	0.36425304	forget 1 star i would like to give this zero stars 
0.99570227	0.7740474	saves tons of money
0.41947870000000004	0.39250967	one star
0.89468163	0.8186821999999999	watch youtube vids first
0.9636749	0.8372543	scratches easily
0.2511779	0.6002329000000001	complete disaster not worth the risk 
0.027332336000000002	0.51711404	it was horrible
0.09156403	0.57507885	missing parts
0.19446418	0.46990442	good quality screen bad tools and instructions
0.9479728999999999	0.684322	like new
0.9903283000000002	0.64675397	easy as advertised
0.9949889000000001	0.6033753000000001	excellent customer service
0.82902545	0.7669600000000001	great product
0.90697914	0.80760086	this is awesome 
0.18632054	0.45738035	real deal holyfield 
0.68281	0.68717885	did not have all the parts
0.70697343	0.60619825	need better instructions
0.7366902	0.71745825	takes time but good quality
0.9343575000000001	0.741395	works great but ran into problems
0.9877819	0.6795734	holy carp i fixed it 
0.7361589	0.36628097	good repair kit 
0.07892144	0.48780909999999994	not great quality
0.8636847	0.5694385999999999	didnt get to use it but everything came as promised
0.017548948999999998	0.34640622	buy it from someone else 
0.44103098	0.58298796	lost touch screen sensitivity
0.00055381656	0.39604473	crap 
0.009633005	0.36134312	horrible
0.99289083	0.78047913	this kit made a stressful situation go away 
0.07340139	0.24253279	no instructions kind of worthless if there are no instructions included 
0.77185345	0.5386576	beware not as easy as it looks on videos 
0.97940254	0.6554869000000001	best 20 i ever spent 
0.02990964	0.40570059999999997	not as simple as the video stated
0.0068145692	0.30168864	instructions are bad 
0.057279617000000005	0.42352217	85 of the new screen s sensitivity is gone waste of 
0.051076353	0.44715717	not working
0.051116616	0.5062907	beware false sense of confidence
0.0077123344	0.5199582	dislike
0.9513761000000001	0.70961547	saved the phone
0.0044986308	0.445862	bad product
0.018202096	0.67975354	glass cracked on its own within 2 weeks
0.99479795	0.81824154	just like oem with fast processing shipping
0.09045118	0.2322638	nice kit but
0.3722327	0.2753144	you can t use this
0.7339004	0.53713757	complete kit remember the third film 
0.99931586	0.81010056	would buy again
0.99196106	0.66545033	i recommend this 
0.81678766	0.7834799	great kit 
0.99705267	0.9220178	yes you can but do your homework and take your time
0.14510247	0.32602572	no instructions booo 
0.11753881	0.35332040000000003	ehh
0.9585638000000001	0.78570056	excellent fix
0.9732684000000001	0.7717681	patience is the key but it works great 
0.7723958000000001	0.7080158000000001	one word awesome 
0.19971982	0.49101013	meh
0.014704168	0.3595099	was ok 
0.6107803	0.6311413	decent
