summary	sentiment	genuineness
Garmin nuvi 1450 lmt 5 inch portable GPS	0.93856704	0.7371639
nuvi 1450LMT	0.72513586	0.91247547
Don't waste money on TRACKING	0.5750672	0.49899566
Garmin NUVI 1450 LMT	0.86522835	0.81166506
Overall pretty good, some quirks -update- returned	0.7274632	0.9431003
Great GPS with Great Features	0.8763937	0.8874058
I vastly prefer my 2.5 year-old Tom Tom One	0.21210301	0.9571753
Be Careful	0.055450607	0.6258983
Nice product	0.9671199	0.64328146
Hangs often!	0.4493089	0.91911256
broke down in 8 months	0.03488661	0.57842135
Best tool for New Drivers	0.96606576	0.7849704
Great product	0.94591343	0.9458781
Great Product	0.99126875	0.90188247
you won't be lost but..	0.44753858	0.6798564
Love the Lane Assist	0.89946526	0.8405102
Very nice.	0.9513311	0.8062719
Okay for urban use - useless for rural	0.0041202004	0.86482626
Pretty Good GPS	0.92359513	0.7656792
love it despite poor traffic info	0.8797687	0.8060378
Bad GPS	0.0053265914	0.17956947
An ideal GPS at a phenomenal price	0.95168126	0.47208795
Outdated product	0.036436625	0.72146285
Good GPS for the money	0.6160236	0.7171024
why?	0.07034767	0.66220105
WHEW!!!!!  Great experience, so far	0.994177	0.9500989
Pleasantly Surprised!	0.84854215	0.7073232
I love my Garmin nuvi 1450LMT	0.8272166	0.74658346
what they don't tell you	0.016260443	0.66850895
Muy bueno	0.98020375	0.22596219
"""Carmin"" from Garmin"	0.9956852	0.4978951
Best value for the money	0.9530069	0.9179258
star of the show	0.9664207	0.79353637
GARMIN GPS EASY TO USE	0.56860346	0.5234482
shut down completely during 2nd use	0.016957888	0.6196716
disappointed in the ads	0.13271673	0.677622
Garmin GPS	0.9899357	0.85258937
Who Knew I Would Love a GPS Machine	0.96554404	0.693855
set up problematic	0.45697114	0.774754
Adequate but disappointing and frustrating	0.014154709	0.85979843
Doesn't Get Much Better	0.9977447	0.8667393
Garmin 1450LMT	0.99210995	0.7876798
Nice navigator	0.99592674	0.7482274
Big disappointment	0.022907529	0.83452517
Garmin nuvi 1450LMT	0.90362406	0.87385386
Garmin 1450LMT  5 inch portable gps	0.71466184	0.76387
