summary	sentiment	genuineness
TOO noisy for the price	0.81619936	0.74582356
Smelly and loud is someone else review and it's spot on	0.0048122825	0.842179
Honeywell 50250-S 99.97% Pure HEPA Round Air Purifier	0.9723893	0.85716814
Don't waste your time	0.15329213	0.583526
We Love ours	0.9672482	0.82408357
shakes at lowest setting - fan out of round	0.02503771	0.8578904
Poor cheap construction, disintegrated after several uses	0.002455336	0.7973963
These work exceptional	0.97583586	0.82876444
Keeps my bedroom fresh, newer models have an LED which I despise	0.6960978	0.77402663
Noise is intolerable	0.5638119	0.23270266
Solved Ny Wife's Stuffy Nose Problem	0.83247036	0.892291
We were disappointed.	0.3205667	0.58772784
AWESOME FOR WHITE NOISE & CLEANING THE AIR AT THE SAME TIME!!!	0.52500546	0.7997679
Way too loud!	0.49169075	0.79905057
Not as noisy as my old filter.	0.8087276	0.8174458
A Great Purifier!	0.9433561	0.90470845
Good for the price	0.841044	0.87394786
Its good..	0.6250478	0.6223533
Good filter, WAY too noisy for the sf it is meant for	0.78423566	0.8702701
Gets the job done + You can vacuum the Hepa filter so you never have to replace it.	0.76405483	0.76101726
Bright Light	0.52206576	0.6243179
Excellent for Dust and Dander	0.9601485	0.9231139
Noisy, but very efficient	0.9169035	0.86327946
Excellent Air Purifier	0.53421414	0.7281759
A little loud	0.39443138	0.7061248
Wont startup	0.3711037	0.6045003
Extremely dissatisfied	0.18719071	0.3081097
Imagine clean air like Mt Everest	0.75165284	0.8775509
Effective, but noisy	0.9804474	0.77681774
Great for Allergies, and dust control	0.76687074	0.8446508
HEPA Filter info misleading	0.5223387	0.8933397
Not as nice as the older models	0.037187237	0.862386
Yes, it is loud, BUT....	0.7399109	0.8905174
Too Loud	0.20890467	0.7455492
Nice and loud, but some erratic noises	0.29480827	0.85928744
Not what I expecited.	0.15874445	0.51389116
Great, Affordable HEPA Option	0.354427	0.7410196
Get it if you have alleries.	0.9660846	0.8588973
Works, it makes noise, but that's how you move lots of air!	0.88529694	0.84488183
Relief after living next to a quarry....	0.989893	0.8939842
This is my second one	0.95602405	0.8482032
decent purifier	0.88801295	0.87282014
Fantastic Air Cleaner!	0.81851244	0.9385974
dandergone	0.96909183	0.85890067
Great for my allergies	0.66758955	0.8401455
Vibrating	0.32396355	0.18833217
It does the job, but is a noisy...........	0.6870604	0.86705446
Works just fine + permanent HEPA filter	0.73392963	0.80642897
It does the work, but too loud	0.18242458	0.78523254
Look forward to TOXIC Filter Replacements.	0.12029239	0.8646224
Received wrong model	0.52391136	0.7846301
Great	0.9132555	0.58700633
Every powerful but Loud.	0.6896698	0.76614594
The Duracraft HEPA 200, I will miss it	0.583265	0.7854933
Great product	0.89226186	0.8766908
Gets out the mold smell. Loud, but does what it is indeed to do.	0.9562433	0.8515399
Chemical smell/Problem with filter	0.05477505	0.61082476
Great Air Filter, Also a nice sound machine :)	0.9693666	0.8390288
Great air filter/background noise machine	0.9048905	0.8682836
Clean air...a bit noisy	0.7795939	0.61950076
Smoke with impunity!  WHAT?  I said, SMOKE WITH...	0.9058074	0.72432864
Honeywell 50250-S Pure HEPA Round Air Purifier	0.14585851	0.6132797
works, but is noisy as heck	0.332602	0.8326697
Does not clear cigarette smoke as claimed	0.46069595	0.7357637
Wonderful for Apartment Dwellers!	0.85859185	0.7781608
Good product	0.9195428	0.70258915
Still deciding whether to paint it to look like R2D2 or not..	0.744092	0.6236913
This is a great air purifier and I'm glad that it is loud!	0.9744178	0.8187153
Works Great! Love it!!	0.988777	0.8638252
works great but loud	0.22090985	0.6549738
Honeywell 50250-s is GREAT	0.9781129	0.84623045
Allergies Improved	0.997962	0.79084504
Best purchase yet from Amazon	0.99471515	0.79569775
Honeywell Pure HEPA ROund AIr Purifier	0.91233456	0.7209098
50250-S & 50250-N are exactly the same!	0.9681737	0.8937244
Large and quite noisy	0.11647213	0.6255457
Amazon ships the permanent filter, I think?	0.5946407	0.86166996
Easy to set up	0.91865087	0.73508716
A great product	0.96820617	0.8605519
Works well but LOUD	0.95151097	0.85231405
Honeywell Air Filter -- Excellent	0.993497	0.8912377
Does as advertised	0.9088596	0.7626293
Okay, but a little loud and larger than I expected.	0.5037432	0.6918843
"""Lifetime"" filter -- bah!"	0.051021207	0.8276907
Noisy but it works	0.98030543	0.86477846
I love them.	0.8905921	0.830414
works well	0.48352423	0.782159
Huge	0.22430456	0.618153
Loved it, until it quit working.	0.031180784	0.8499861
smells awful	0.013097107	0.6936796
Noisier than I wanted	0.27369836	0.80665
Failed after nearly 4 years of every day use.	0.71322274	0.8532375
Cleans the air if you don't mind living next to the airport	0.90372175	0.8169494
Very pleased with this product	0.9885048	0.8990702
Extremely noisy	0.12485316	0.7492882
Bought for baby's room but used everywhere.	0.98925155	0.921019
Works as expected	0.8034142	0.78871226
I changed the vacuum bag _without_ needing my inhaler!	0.75170475	0.62850815
Air Purifier Under Heavy Load	0.80091506	0.8332216
Works well	0.9426489	0.8015194
Cleans the air-You Bet!	0.969132	0.8972703
Great product	0.79743105	0.612044
Very loud	0.37451476	0.64917266
Highly recommended for allergic people	0.99413896	0.90671587
Excellent Product	0.9485695	0.73748654
Great HEPA filter	0.89024156	0.89226377
Works wonderfully!	0.9092581	0.8273568
Probably works but sounds like a plane	0.2006197	0.6734891
Great Purifier!	0.9392006	0.57846403
awesome air purifier!	0.99242944	0.83516073
No allergy relief	0.12797886	0.47114104
Noisy and Smelly	0.020492245	0.8267447
Good quality product	0.8943703	0.8094148
This machine did what I had hoped. This is located in our almost dry basement. We run a dehumidifier and this air cleaner. The	0.9965689	0.81991845
Great!!!!	0.7072834	0.74825865
If you're looking for LOUD, this is it!	0.056252163	0.7228356
honeywell wellness	0.94359916	0.43419737
Really Clears the Air	0.9894421	0.8603237
Honeywell 50250N 99.97% Pure HEPA Round Air Purifier	0.9865045	0.66498965
Like sitting in the front row of a Spinal Tap Concert	0.9012345	0.8561784
great filter	0.68831855	0.8315838
You've found the right page	0.92144006	0.87156427
So far so good	0.8571374	0.83008516
Good Performance and Reasonable Price	0.96968544	0.7938693
Keeps our house smelling clean!	0.9896465	0.83594805
Highly Recommend	0.94530946	0.8541974
Great little Air Purifier	0.99609154	0.8859735
Noisy albeit somewhat effective	0.419086	0.72624594
Finally allergy relief!	0.9836713	0.8884368
No per filter	0.86714417	0.67267495
Don't Buy	0.012592903	0.8110587
Love the filter, hate the BLUE GLOW	0.9105349	0.8468803
excellent filter	0.92010355	0.87991387
Works great but loud!	0.9385665	0.74660176
Already can tell a difference...	0.692794	0.7386961
Great Performing Air Purifier	0.9636002	0.8210393
The Honeywell 50250-S 99.97% Pure HEPA Round Air Purifier Delivers!	0.9343752	0.9109074
Still going strong 2 years later	0.93204695	0.81618655
Great item - I bought two	0.99464816	0.801886
I can breathe!!!	0.78367114	0.84541345
Highly recommended.	0.9847401	0.826372
Honeywell 50250-S	0.31954616	0.61451805
Love it!	0.9890526	0.85821587
Need Earplugs to Use	0.05442438	0.75016373
Great, High-Quality Product	0.96782994	0.83241093
OK	0.85098183	0.74031454
Easy to use. Easy to breathe.	0.84408426	0.6912371
no more allergies	0.7707328	0.8535115
very noisey on hi setting!	0.74431634	0.7901032
It works	0.8493213	0.722942
Thanks from an allergy sufferer.	0.9208632	0.619484
Very good	0.87481654	0.7989191
pretty decent air cleaner, but loud	0.9491173	0.8681555
Works like a charm.	0.9217471	0.58607453
Great Buy	0.9907967	0.8843976
Loud but undeniably Effective	0.89345807	0.8610624
Efficient and quiet enough. Never slept better.	0.7853849	0.80770814
LOUD & HUGE	0.11150871	0.45492318
Air purifier	0.98189354	0.6190823
Quick Review	0.64851683	0.86569834
Great product	0.87700784	0.762878
great product with great price	0.9479282	0.71471435
probably would not have purchased it if I could have tried it out first	0.23443732	0.6092367
Great product but functionality varies by the time you receive them.	0.23212375	0.8579097
Def Breathing Better at night	0.15475497	0.6425799
Honeywell 50250N	0.9728469	0.865696
Honeywell 50250 Air Purifer	0.9700366	0.8458898
Great filter!	0.9893506	0.83077085
Decent	0.8585344	0.8095082
How Well Does It Really Work?	0.98153037	0.9020226
Best for the price	0.7933659	0.78689855
Works fine, clear nose and head!	0.8614386	0.8217162
no good at all	0.11032156	0.72806334
Beware, I received used items	0.011878974	0.67674345
I was going to buy this Air Purifier..	0.031694252	0.539899
All stars on the Air Purifier.	0.87588245	0.6286417
I'm happy with it but.........	0.8922781	0.8884452
makes air clean	0.8683356	0.81892097
Huge & Awesome	0.9971501	0.841172
Great for babies room!	0.9871727	0.8434753
Large, but solid, easy, and effective	0.93451244	0.9374085
Not sure about dust, but great at odor control.	0.9848859	0.9337719
Very loud	0.65389	0.7236932
No Support	0.121832825	0.74549943
Works for Us	0.96668476	0.8924481
Works great when it works	0.019634103	0.8698602
Great performer	0.97138256	0.829851
Need for Allegies	0.1708403	0.75093985
Good purifier	0.9511148	0.79247946
Chain Smoking Air Polluters	0.8019877	0.8778826
Spectacular	0.9975872	0.88145095
I CAN BREATHE!	0.9742028	0.82596785
my favorite for sure	0.98239106	0.74229896
Very pleased with this purchase...	0.96747166	0.92030627
Loud but	0.6471871	0.5626597
Do not buy from Beach Camera	0.026197445	0.58759815
works well for what I needed.	0.7984294	0.78275484
works great	0.9260686	0.84317744
I can breathe	0.9270134	0.7643535
NOISY!	0.61014134	0.88372535
Sure cleans the air but way too loud!	0.13919517	0.3244397
Made a huge difference in my living room	0.8120334	0.79971915
Review for Honeywell 50250-S 99.97% Pure HEPA Round Air Purifier	0.98994666	0.8342996
it does the job!	0.950818	0.7377506
honeywell air purifier	0.9997484	0.2557366
Decent air purifier	0.92049974	0.82416445
Wife cant breathe	0.584557	0.6469544
TO SOON TO TELL	0.993982	0.07829609
Bright Blue LED Light on an Otherwise Good Air Filter	0.33881977	0.6114627
Great Air Purifier	0.9978357	0.81446284
Removes odors and keeps your house fresh.	0.99417454	0.8803689
I LIKE IT A LOT but there are SOME ISSUES	0.3369806	0.88511497
Defective right out of the box	0.16100672	0.672992
Good but LOUD.	0.905973	0.72959167
Just what I expected	0.9383623	0.93925685
Nice product	0.98866767	0.8310253
Oh Yeah.	0.941375	0.8096598
Great	0.93199134	0.7545145
The Essence of Fresh Air	0.9961569	0.8439578
Stinky and Cold!	0.15796286	0.7816714
Too loud for bedroom.	0.08625573	0.4996919
Four 1/2 stars	0.9985655	0.8811216
Yes, it works, noise and first &#34;new&#34; odor as expected	0.7831837	0.7473214
Honeywell Hepa Air Purifier	0.9898023	0.76831293
love it	0.96590906	0.74186534
Great, Fast Air Purifier!	0.9991239	0.85192084
Best Purchase I've EVER MADE, Allergies and Asthma GONE	0.82096887	0.73548317
Worked great for a while...	0.06167669	0.6880447
Proven excellent	0.9476593	0.7263784
One of the best (if not THE best) in this price range!	0.9911776	0.9293288
